MaizeGDB: Details of Map Genetic 7
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence
GRMZM2G104299	82.30		GRMZM2G104299	Chr7	133413914	133434213	Zm00001d020951	Chr7	137493946	137514552	Zm00001eb316850	chr7	138760974	138782364																	
npi394	82.65		GRMZM2G043254	Chr7	133486108	133489711	Zm00001d020953	Chr7	137599102	137608563	Zm00001eb316860	chr7	138866039	138875586																	
c3h40	82.70		GRMZM2G177229	Chr7	133562993	133564875	Zm00001d020954	Chr7	137626105	137626968	Zm00001eb316870	chr7	138892530	138894412																	
wakl38	82.71		GRMZM2G077655	Chr7	133596621	133599404	Zm00001d020955	Chr7	137670000	137672835	Zm00001eb316880	chr7	138936978	138939870																	
Zm00001d020956	82.71		GRMZM2G380014	Chr7	133600741	133601211	Zm00001d020956	Chr7	137673967	137674482	Zm00001eb316900	chr7	138941155	138941517																	
gpm248	82.72		GRMZM2G050076	Chr7	133637359	133639735	Zm00001d020957	Chr7	137711314	137713490	Zm00001eb316910	chr7	138978195	138980613																	
LOC100284190	82.73		GRMZM2G016836	Chr7	133655727	133657708	Zm00001d020958	Chr7	137739132	137740896	Zm00001eb316920	chr7	139006085	139007946																	
LOC100282228	82.73		GRMZM5G860241	Chr7	133835315	133840443	Zm00001d020960	Chr7	137934293	137939512	Zm00001eb316930	chr7	139201241	139206580																	
LOC103632940	82.73		AC234526.1_FG005	Chr7	133901563	133903865	Zm00001d020961	Chr7	137989627	137992577	Zm00001eb316940	chr7	139256603	139259621																	
LOC100275001	82.73		GRMZM2G536099	Chr7	133914200	133925520					Zm00001eb316950	chr7	139269670	139277367																	
Zm00001d020963	82.74		GRMZM2G001645	Chr7	133972700	133976990	Zm00001d020963	Chr7	138057377	138061501	Zm00001eb316960	chr7	139324106	139328764																	
cl25446_1	82.75		GRMZM2G101711	Chr7	134040253	134046402	Zm00001d020965	Chr7	138116641	138122918	Zm00001eb316990	chr7	139383708	139390031																	
umc1456	82.77		GRMZM2G004990	Chr7	134112219	134116611	Zm00001d020969	Chr7	138202794	138208053	Zm00001eb317030	chr7	139469862	139475125																	
dfr1	82.78		GRMZM2G004683	Chr7	134116825	134118763	Zm00001d020970	Chr7	138208287	138210135	Zm00001eb317040	chr7	139475355	139478085																	
ij1	82.79		GRMZM2G004583	Chr7	134118864	134129700	Zm00001d020971	Chr7	138210336	138221164	Zm00001eb317050	chr7	139487320	139488123																	
nactf79	82.80		GRMZM2G004531	Chr7	134132129	134135181	Zm00001d020972	Chr7	138223556	138229618	Zm00001eb317070	chr7	139494515	139496807																	
dnaj162	82.87		GRMZM2G168397	Chr7	134157339	134164093	Zm00001d020973	Chr7	138248896	138256381	Zm00001eb317080	chr7	139515966	139522756																	
bk4	82.90		GRMZM2G168364	Chr7	134168464	134170246	Zm00001d020974	Chr7	138260086	138261759	Zm00001eb317090	chr7	139523498	139528852																	
T7-9a(7)	83.00																														
mbd108	83.00		GRMZM2G168269	Chr7	134171280	134175278	Zm00001d020975	Chr7	138262824	138266459	Zm00001eb317100	chr7	139529810	139535367																	
LOC100276373	83.06		GRMZM2G038931	Chr7	134316340	134318045	Zm00001d020977	Chr7	138407898	138409603	Zm00001eb317130	chr7	139674964	139676669																	
Zm00001eb317150	83.46		GRMZM2G380297	Chr7	134599602	134603704	Zm00001d020979	Chr7	138692805	138696697	Zm00001eb317150	chr7	139961947	139963794																	
LOC100284966	83.48		GRMZM2G080243	Chr7	134604932	134607849	Zm00001d020980	Chr7	138698158	138702131	Zm00001eb317160	chr7	139965162	139969236																	
nactf56	83.50		GRMZM2G386163	Chr7	134727893	134737413	Zm00001d020982	Chr7	138832493	138835958	Zm00001eb317170	chr7	140099430	140103250																	
Zm00001d020983	83.52		GRMZM2G152599	Chr7	134911794	134917508	Zm00001d020983	Chr7	139018844	139024560	Zm00001eb317180	chr7	140285989	140291703																	
pco143515	83.60		GRMZM2G052266	Chr7	135004533	135006737	Zm00001d020984	Chr7	139074709	139076907	Zm00001eb317190	chr7	140341852	140344052																	
Zm00001eb317200	83.63		GRMZM2G340139	Chr7	135180500	135238697	Zm00001d020985	Chr7	139305004	139364561	Zm00001eb317200	chr7	140572304	140631396																	
pco084347a	83.64		GRMZM2G044968	Chr7	135242017	135245316	Zm00001d020986	Chr7	139367277	139370608	Zm00001eb317210	chr7	140634391	140637696																	
IDP7891	83.66						Zm00001d020994	Chr7	139726472	139728690	Zm00001eb317250	chr7	140978884	140995835																	
pco149386b	83.67		GRMZM2G012891	Chr7	137860954	137862395	Zm00001d021006	Chr7	140181294	140182626	Zm00001eb317350	chr7	141448199	141449796																	
IDP4333	83.67						Zm00001d020995	Chr7	139766357	139770312	Zm00001eb317270	chr7	141034163	141037819																	
GRMZM2G000264	83.67		GRMZM2G000264	Chr7	138130886	138155635	Zm00001d021000	Chr7	139890422	139921005	Zm00001eb317300	chr7	141155439	141160134																	
Zm00001eb317280	83.67		GRMZM2G014777	Chr7	138217892	138221253	Zm00001d020996	Chr7	139823519	139828471	Zm00001eb317280	chr7	141090045	141093985																	
LOC103632994	83.67		GRMZM2G363173	Chr7	137938231	137939728	Zm00001d021005	Chr7	140103981	140104791	Zm00001eb317340	chr7	141345153	141371942																	
fat5	83.67		GRMZM2G700221	Chr7	137964604	137966871	Zm00001d021004	Chr7	140077845	140079070	Zm00001eb317340	chr7	141345153	141371942																	
rlr1	83.68		GRMZM2G066202	Chr7	137554727	137555988	Zm00001d021017	Chr7	140503264	140504082	Zm00001eb317440	chr7	141770375	141771645																	
Zm00001eb317420	83.68		GRMZM2G423575	Chr7	137575620	137577886	Zm00001d021015	Chr7	140479942	140497099	Zm00001eb317420	chr7	141747209	141764376																	
Zm00001d021018	83.69		GRMZM2G065868	Chr7	137550617	137552492	Zm00001d021018	Chr7	140506559	140508508	Zm00001eb317450	chr7	141773763	141775738																	
bhlh136	83.70		GRMZM2G144275	Chr7	137522634	137525144	Zm00001d021019	Chr7	140533153	140535630	Zm00001eb317460	chr7	141800352	141802904																	
cl1797_1e	83.72		GRMZM2G115901	Chr7	137497008	137498851	Zm00001d021020	Chr7	140560504	140562258	Zm00001eb317470	chr7	141827714	141829557																	
pco107138	83.73		GRMZM2G115757	Chr7	137491971	137496774	Zm00001d021021	Chr7	140562622	140567401	Zm00001eb317480	chr7	141829833	141834626																	
cl11280_1	83.74		GRMZM2G070515	Chr7	137371310	137376978	Zm00001d021023	Chr7	140682154	140688142	Zm00001eb317490	chr7	141949496	141955239																	
pdcb39	83.75		GRMZM2G458164	Chr7	137312294	137316102	Zm00001d021024	Chr7	140750988	140754908	Zm00001eb317500	chr7	142013797	142017764																	
Zm00001eb317510	83.77		GRMZM2G128935	Chr7	137198688	137200627	Zm00001d021025	Chr7	140788218	140790075	Zm00001eb317510	chr7	142050974	142053196																	
GRMZM2G429118	83.78		GRMZM2G429118	Chr7	137205017	137207131	Zm00001d021026	Chr7	140795172	140796635	Zm00001eb317540	chr7	142057579	142059596																	
cyc12	83.80		GRMZM2G408242	Chr7	137132640	137137679	Zm00001d021031	Chr7	140949104	140954205	Zm00001eb317580	chr7	142211697	142217496																	
ring442	83.80		GRMZM2G105999	Chr7	137131055	137132080	Zm00001d021032	Chr7	140954748	140973549	Zm00001eb317590	chr7	142217610	142236552																	
Zm00001d021040	83.81		GRMZM2G392554	Chr7	137051509	137053195	Zm00001d021040	Chr7	141043659	141044789	Zm00001eb317650	chr7	142304092	142309800																	
fat9	83.82		GRMZM2G143955	Chr7	136898993	136902620	Zm00001d021046	Chr7	141160173	141163742	Zm00001eb317680	chr7	142423003	142426546																	
Zm00001d021050	83.83		GRMZM2G083102	Chr7	136777145	136781414	Zm00001d021050	Chr7	141288160	141292427	Zm00001eb317710	chr7	142550887	142555365																	
umc2641	83.84		GRMZM2G074386	Chr7	136605465	136608890	Zm00001d021051	Chr7	141401773	141405263	Zm00001eb317720	chr7	142664641	142668087																	
dek41	83.85		GRMZM2G127015	Chr7	136424792	136426612	Zm00001d021053	Chr7	141602512	141603882	Zm00001eb317730	chr7	142848972	142850973																	
Zm00001d021055	83.86		GRMZM2G472031	Chr7	136394329	136396945	Zm00001d021055	Chr7	141631184	141633800																					
sbp34	83.87		GRMZM5G806833	Chr7	136363257	136364624	Zm00001d021056	Chr7	141662438	141666340	Zm00001eb317760	chr7	142908402	142913001																	
zmm7	83.88		GRMZM2G097059	Chr7	136296029	136307251	Zm00001d021057	Chr7	141716954	141728132	Zm00001eb317770	chr7	142963674	142975139																	
sacd8	83.90		GRMZM5G883417	Chr7	136213370	136214936	Zm00001d021059	Chr7	141819946	141821175	Zm00001eb317790	chr7	143066599	143068418																	
magi99589	83.95		GRMZM5G870752	Chr7	136181558	136183995	Zm00001d021061	Chr7	141851056	141853484	Zm00001eb317810	chr7	143097907	143100378																	
saur63	83.96		GRMZM2G430052	Chr7	136176709	136177509	Zm00001d021062	Chr7	141857876	141858286	Zm00001eb317820	chr7	143104362	143105204																	
sweet11b	83.98		GRMZM5G872141	Chr7	136059934	136062148	Zm00001d021064	Chr7	141949476	141951690	Zm00001eb317850	chr7	143196678	143198542																	
pat31	83.98		GRMZM5G868588	Chr7	136050602	136057068	Zm00001d021065	Chr7	141953686	141960985	Zm00001eb317860	chr7	143201415	143207938																	
nactf63	83.99		GRMZM2G054277	Chr7	135925560	135927070	Zm00001d021069	Chr7	142080504	142083844	Zm00001eb317890	chr7	143327976	143329299																	
sl1	84.00																														
va1	84.00																														
pdh4	84.00		GRMZM2G128121	Chr7	135870838	135874027	Zm00001d021070	Chr7	142133051	142138801	Zm00001eb317910	chr7	143379868	143385705																	
si946058c07f	84.02		GRMZM5G843213	Chr7	135859599	135867501	Zm00001d021071	Chr7	142141971	142150217	Zm00001eb317920	chr7	143388870	143397096																	
Zm00001eb317940	84.06		GRMZM5G817559	Chr7	135842738	135848691	Zm00001d021073	Chr7	142161083	142167277	Zm00001eb317940	chr7	143407839	143414277																	
miR169k	84.25		zma-MIR169k	Chr7	135740648	135740780	zma-MIR169k	Chr7	142286603	142286735																					
cl5360_1	84.30		GRMZM2G130959	Chr7	135607176	135617978	Zm00001d021084	Chr7	142427906	142438706	Zm00001eb317990	chr7	143674798	143685598																	
bhlh180	84.38		GRMZM2G131104	Chr7	135591524	135597378	Zm00001d021086	Chr7	142451964	142454359	Zm00001eb318020	chr7	143698761	143701295																	
dsc3	84.40		GRMZM2G059225	Chr7	135541997	135550832	Zm00001d021087	Chr7	142484402	142493269	Zm00001eb318030	chr7	143731226	143740280																	
ereb116	84.50		GRMZM2G131281	Chr7	135625864	135626905	Zm00001d021089	Chr7	142530712	142532073	Zm00001eb318060	chr7	143777628	143778768																	
Zm00001d021090	84.52						Zm00001d021090	Chr7	142550344	142554948	Zm00001eb318070	chr7	143797174	143801788																	
IDP5849	84.54						Zm00001d021093	Chr7	142601435	142602139	Zm00001eb318080	chr7	143848204	143849314																	
IDP5938	84.58		GRMZM2G343036	Chr7	125722476	125723308	Zm00001d021095	Chr7	142661911	142662728	Zm00001eb318100	chr7	143908647	143909615																	
IDP4288	84.60		GRMZM2G181281	Chr7	125785415	125786662	Zm00001d021097	Chr7	142725467	142726594	Zm00001eb318110	chr7	143972369	143973496																	
glu14	84.64		GRMZM2G108133	Chr7	138413393	138417817	Zm00001d021119	Chr7	143115379	143119792	Zm00001eb318150	chr7	144362605	144366841																	
LOC100281183	84.68		GRMZM5G804064	Chr7	138639644	138656438	Zm00001d021127	Chr7	143327655	143344805	Zm00001eb318210	chr7	144574636	144592063																	
LOC103633003	84.69		GRMZM5G854301	Chr7	138722443	138724749	Zm00001d021128	Chr7	143414684	143416530	Zm00001eb318220	chr7	144649738	144652105																	
TIDP3610	84.70		AC234154.1_FG008	Chr7	138739058	138742886	Zm00001d021131	Chr7	143430931	143435172	Zm00001eb318230	chr7	144666038	144670524																	
LOC100283686	84.72		AC234154.1_FG007	Chr7	138762094	138766933	Zm00001d021132	Chr7	143453893	143458551	Zm00001eb318240	chr7	144689142	144700012																	
pebp24	85.00		GRMZM2G440005	Chr7	138923902	138933246	Zm00001d021135	Chr7	143617763	143627668	Zm00001eb318290	chr7	144853910	144863036																	
pti3	85.10		GRMZM2G029530	Chr7	138946280	138951051	Zm00001d021136	Chr7	143640566	143645192	Zm00001eb318300	chr7	144875910	144880623																	
cdpk43	85.28		GRMZM2G080871	Chr7	139152765	139156183	Zm00001d021139	Chr7	143856218	143860073	Zm00001eb318330	chr7	145091976	145095427																	
umc2662	85.30		GRMZM2G467356	Chr7	139175405	139176522	Zm00001d021141	Chr7	143879896	143880393	Zm00001eb318350	chr7	145113443	145115972																	
cl59406_1	85.40		AC217962.3_FG005	Chr7	139238242	139246929	Zm00001d021142	Chr7	143938849	143949787	Zm00001eb318370	chr7	145174164	145185159																	
brd103	85.50		GRMZM2G040079	Chr7	139387507	139395749	Zm00001d021145	Chr7	144088215	144096509	Zm00001eb318390	chr7	145323466	145331935																	
cl1882_7	85.52		GRMZM2G040634	Chr7	139402429	139406268	Zm00001d021147	Chr7	144097014	144107041	Zm00001eb318410	chr7	145338748	145342517																	
pza00111	85.52		GRMZM2G040164	Chr7	139396271	139402124	Zm00001d021147	Chr7	144097014	144107041	Zm00001eb318400	chr7	145332449	145338302																	
Zm00001eb318460	85.57		GRMZM2G170420	Chr7	139544856	139549800	Zm00001d021155	Chr7	144264747	144269785	Zm00001eb318460	chr7	145482918	145487972																	
Zm00001d021160	85.59		AC196726.2_FG001	Chr7	139562717	139562971	Zm00001d021160	Chr7	144296960	144297214	Zm00001eb318470	chr7	145515133	145515408																	
pco110957	86.00		GRMZM2G033199	Chr7	139637508	139639636	Zm00001d021162	Chr7	144351398	144353422	Zm00001eb318480	chr7	145569810	145572001																	
nbcs19	86.10		GRMZM2G406315	Chr7	139744383	139749298	Zm00001d021163	Chr7	144473134	144476244	Zm00001eb318490	chr7	145692099	145693054																	
bhlh109	86.20		GRMZM2G013688	Chr7	139760958	139761887	Zm00001d021164	Chr7	144534579	144535451	Zm00001eb318500	chr7	145753065	145754469																	
IDP7230	86.23		GRMZM2G056829	Chr7	139949060	139957536	Zm00001d021170	Chr7	144831920	144839494	Zm00001eb318540	chr7	145918790	145926018																	
GRMZM2G078465	86.24		GRMZM2G078465	Chr7	140044082	140045870	Zm00001d021168	Chr7	144743120	144744903	Zm00001eb318570	chr7	146013215	146015100																	
Zm00001d021167	86.25		GRMZM2G065617	Chr7	140141029	140142845	Zm00001d021167	Chr7	144659589	144661331	Zm00001eb318580	chr7	146096773	146098587																	
bhlh31	86.30		GRMZM2G435015	Chr7	140262343	140265347	Zm00001d021172	Chr7	144963872	144965891																					
umc1333	86.35		GRMZM2G132486	Chr7	140268522	140272049	Zm00001d021173	Chr7	144970206	144973502	Zm00001eb318590	chr7	146192745	146196218																	
mmp152	86.35																														
nbs31	86.35		GRMZM5G827121	Chr7	140363758	140365602	Zm00001d021176	Chr7	145030207	145044894	Zm00001eb318600	chr7	146252829	146267516																	
IDP789	86.50		GRMZM2G071015	Chr7	140438625	140447287	Zm00001d021180	Chr7	145134997	145143590	Zm00001eb318620	chr7	146357421	146366268																	
si606019d07	86.52		GRMZM2G071147	Chr7	140455502	140462015	Zm00001d021181	Chr7	145151826	145159580	Zm00001eb318630	chr7	146374416	146380868																	
AY110374	86.80		GRMZM2G120300	Chr7	140608550	140613079	Zm00001d021187	Chr7	145306214	145310459	Zm00001eb318710	chr7	146528975	146533629																	
Zm00001d021188	86.82		GRMZM2G070038	Chr7	140709859	140716556	Zm00001d021188	Chr7	145411775	145418536	Zm00001eb318720	chr7	146634612	146641467																	
bzip47	87.00		AC200057.4_FG007	Chr7	140723278	140728024	Zm00001d021189	Chr7	145424990	145430280	Zm00001eb318730	chr7	146647747	146653318																	
bzip22	87.04		GRMZM2G043600	Chr7	140743498	140746868	Zm00001d021191	Chr7	145445635	145448907	Zm00001eb318740	chr7	146668319	146671815																	
umc2686b	87.05		GRMZM2G345081	Chr7	140746263	140747962	Zm00001d021192	Chr7	145448190	145449889	Zm00001eb318750	chr7	146671774	146672647																	
umc1481	87.07		GRMZM2G149520	Chr7	140847923	140853015	Zm00001d021196	Chr7	145562443	145567534	Zm00001eb318770	chr7	146785374	146790807																	
Zm00001d021197	87.08		GRMZM2G013255	Chr7	140931084	140933160	Zm00001d021197	Chr7	145649789	145651701	Zm00001eb318780	chr7	146872621	146874660																	
kcs38	87.09		GRMZM2G020740	Chr7	141046575	141048479	Zm00001d021200	Chr7	145766119	145767552	Zm00001eb318810	chr7	146989069	146990969																	
pco130633	87.10						Zm00001d021201	Chr7	145827021	145831069	Zm00001eb318820	chr7	147050157	147054111																	
gen2	87.16		GRMZM2G069025	Chr7	141155689	141160654	Zm00001d021204	Chr7	146019810	146024828	Zm00001eb318880	chr7	147242826	147247842																	
ereb36	87.18		GRMZM2G069082	Chr7	141162777	141163747	Zm00001d021205	Chr7	146027044	146027784	Zm00001eb318890	chr7	147249446	147250959																	
ereb23	87.20		GRMZM2G069126	Chr7	141170323	141171382	Zm00001d021207	Chr7	146034693	146035409	Zm00001eb318900	chr7	147257621	147258800																	
ereb115	87.21		GRMZM2G069146	Chr7	141174421	141175245	Zm00001d021208	Chr7	146038525	146039307	Zm00001eb318910	chr7	147261646	147263036																	
ereb88	87.80		GRMZM2G018138	Chr7	141464460	141465197	Zm00001d021214	Chr7	146343053	146343709	Zm00001eb318920	chr7	147566060	147567105																	
mate40	87.80		GRMZM2G143400	Chr7	141548950	141550797	Zm00001d021216	Chr7	146426539	146429054	Zm00001eb318940	chr7	147650115	147652333																	
LOC103633055	87.81		GRMZM2G089241	Chr7	141582251	141583883	Zm00001d021219	Chr7	146460969	146463025	Zm00001eb318970	chr7	147684571	147686411																	
dnaJ71	87.81		GRMZM2G389094	Chr7	141564469	141571642	Zm00001d021217	Chr7	146443504	146445498	Zm00001eb318960	chr7	147666708	147668423																	
umc1660	87.82		GRMZM2G001639	Chr7	141630967	141633498	Zm00001d021224	Chr7	146508204	146510684	Zm00001eb319000	chr7	147731360	147733872																	
bag13	87.82		GRMZM2G017013	Chr7	141612904	141615527	Zm00001d021221	Chr7	146489261	146494703	Zm00001eb318990	chr7	147715244	147717880																	
ring443	87.84		GRMZM2G073228	Chr7	141674370	141678838	Zm00001d021225	Chr7	146550796	146555239	Zm00001eb319010	chr7	147773749	147778434																	
nthr3	87.85		GRMZM2G073377	Chr7	141680355	141682024	Zm00001d021226	Chr7	146556758	146557628	Zm00001eb319020	chr7	147779934	147780802																	
cl21530_1	87.86		GRMZM2G073504	Chr7	141680357	141690779	Zm00001d021227	Chr7	146557648	146567208	Zm00001eb319030	chr7	147780699	147790384																	
Zm00001d021232	87.94		GRMZM2G417963	Chr7	141754358	141757129	Zm00001d021232	Chr7	146619730	146622285	Zm00001eb319060	chr7	147842854	147845360																	
ocl3	88.00		GRMZM2G116658	Chr7	141712281	141718468	Zm00001d021236	Chr7	146658310	146664494	Zm00001eb319090	chr7	147881484	147888019																	
Zm00001d021237	88.02		GRMZM2G418007	Chr7	141708361	141710197	Zm00001d021237	Chr7	146666554	146668407	Zm00001eb319100	chr7	147889758	147891284																	
GRMZM2G052817	88.16		GRMZM2G052817	Chr7	141876836	141878324	Zm00001d021243	Chr7	146768955	146770070	Zm00001eb319150	chr7	147976312	147980256																	
IDP8724	88.20		GRMZM2G354525	Chr7	141898358	141910251	Zm00001d021244	Chr7	146789970	146799955	Zm00001eb319170	chr7	148001961	148003234																	
IDP836	88.60		GRMZM2G052483	Chr7	141927188	141933256	Zm00001d021247	Chr7	146817751	146825126	Zm00001eb319230	chr7	148027449	148035225																	
IDP1704	88.70		GRMZM2G052336	Chr7	141941237	141944250	Zm00001d021249	Chr7	146833035	146836048	Zm00001eb319250	chr7	148043140	148046414																	
Zm00001d021251	88.70		GRMZM2G052233	Chr7	141975593	141984871	Zm00001d021251	Chr7	146867422	146876752	Zm00001eb319280	chr7	148076420	148086870																	
si946087b02	88.71		GRMZM2G065461	Chr7	142211911	142242511	Zm00001d021261	Chr7	147104875	147135066	Zm00001eb319330	chr7	148314919	148345199																	
hsftf10	88.71		GRMZM2G165272	Chr7	142270318	142272208	Zm00001d021263	Chr7	147163459	147165213	Zm00001eb319350	chr7	148373290	148375381																	
idd22	88.71		GRMZM2G065438	Chr7	142206631	142210124	Zm00001d021260	Chr7	147099595	147102617	Zm00001eb319320	chr7	148309926	148313207																	
cl3333_-2	88.72		GRMZM2G110500	Chr7	142418819	142429339	Zm00001d021267	Chr7	147321667	147331351	Zm00001eb319380	chr7	148531796	148542267																	
cl6994_1b	88.72		GRMZM2G338928	Chr7	142452947	142457530					Zm00001eb319410	chr7	148563965	148571077																	
hb128	88.72		GRMZM2G041462	Chr7	142432248	142434060	Zm00001d021268	Chr7	147335002	147336496	Zm00001eb319390	chr7	148545101	148546761																	
zim31	88.72		GRMZM2G066020	Chr7	142622294	142626934	Zm00001d021274	Chr7	147534788	147542179	Zm00001eb319450	chr7	148745038	148745394																	
GRMZM5G899476	88.72		GRMZM5G899476	Chr7	142559557	142561025	Zm00001d021273	Chr7	147467203	147467622	Zm00001eb319440	chr7	148677305	148677724																	
dbb10	88.73		GRMZM2G143718	Chr7	142719045	142722858	Zm00001d021278	Chr7	147632776	147636889	Zm00001eb319460	chr7	148842830	148847329																	
iaa33	88.74		GRMZM2G048131	Chr7	142810056	142811513	Zm00001d021279	Chr7	147725357	147726867	Zm00001eb319470	chr7	148935616	148937490																	
cel18	88.76		GRMZM2G048165	Chr7	142816580	142819685	Zm00001d021280	Chr7	147731835	147735312	Zm00001eb319480	chr7	148941882	148945639																	
Zm00001eb319510	88.79		GRMZM2G132101	Chr7	142889422	142892816	Zm00001d021284	Chr7	147807251	147807514	Zm00001eb319510	chr7	149013325	149018005																	
sbt45	88.80		GRMZM2G132032	Chr7	142888500	142892818	Zm00001d021283	Chr7	147803103	147807697	Zm00001eb319520	chr7	149013576	149018003																	
srs7	88.90		GRMZM2G135783	Chr7	142938485	142940360	Zm00001d021285	Chr7	147853086	147854863	Zm00001eb319530	chr7	149063306	149065181																	
LOC100192958	88.96		GRMZM2G386971	Chr7	143046124	143051000	Zm00001d021287	Chr7	147960306	147965257	Zm00001eb319550	chr7	149170577	149175477																	
nye1	88.98		GRMZM2G091837	Chr7	143056600	143058520	Zm00001d021288	Chr7	147970755	147972640	Zm00001eb319560	chr7	149181028	149182975																	
lea41	88.99		GRMZM2G044822	Chr7	143085669	143086852	Zm00001d021289	Chr7	147999944	148000603	Zm00001eb319570	chr7	149210004	149211074																	
srs8	89.00		GRMZM2G179021	Chr7	143145425	143146225	Zm00001d021290	Chr7	148061214	148062014	Zm00001eb319580	chr7	149271489	149272289																	
cct41	89.02		GRMZM2G179024	Chr7	143149748	143155381	Zm00001d021291	Chr7	148065548	148071232	Zm00001eb319590	chr7	149275677	149281853																	
cl287_1f	89.05						Zm00001d021292	Chr7	148076081	148081677																					
ppr399	89.09		GRMZM2G100058	Chr7	143212330	143213739	Zm00001d021294	Chr7	148128045	148129250	Zm00001eb319600	chr7	149338212	149349010																	
myb152	89.30		GRMZM2G104551	Chr7	143239537	143250321	Zm00001d021296	Chr7	148154982	148165194	Zm00001eb319620	chr7	149364659	149375517																	
cl9990_1a	89.32		GRMZM2G104504	Chr7	143251676	143256319	Zm00001d021297	Chr7	148166430	148190176	Zm00001eb319630	chr7	149376706	149401753																	
cl44188_1	89.48		GRMZM2G335111	Chr7	143288430	143289747	Zm00001d021298	Chr7	148190216	148191262	Zm00001eb319650	chr7	149399852	149401753																	
pap13	89.50		GRMZM2G109405	Chr7	143328771	143332411	Zm00001d021299	Chr7	148222733	148226124	Zm00001eb319660	chr7	149432598	149436424																	
GRMZM2G109448	89.52		GRMZM2G109448	Chr7	143332752	143334430	Zm00001d021300	Chr7	148227448	148227942	Zm00001eb319670	chr7	149437446	149438323																	
lon1	90.00		GRMZM2G109560	Chr7	143360732	143369569	Zm00001d021301	Chr7	148264574	148273453	Zm00001eb319680	chr7	149474851	149483722																	
cel11	90.48		GRMZM2G147422	Chr7	143445419	143450426	Zm00001d021304	Chr7	148348269	148353225	Zm00001eb319710	chr7	149558075	149563530																	
Zm00001d021306	90.52		GRMZM2G147459	Chr7	143458721	143462930	Zm00001d021306	Chr7	148361780	148365833	Zm00001eb319730	chr7	149571732	149575851																	
LOC100193219	90.58		GRMZM2G091586	Chr7	143551162	143557193	Zm00001d021309	Chr7	148452001	148458141	Zm00001eb319760	chr7	149661999	149668277																	
tpi1	90.60		GRMZM5G852968	Chr7	143560266	143564142	Zm00001d021310	Chr7	148461116	148465035	Zm00001eb319770	chr7	149671226	149675207																	
ring445	90.68		GRMZM2G449875	Chr7	143786008	143786918	Zm00001d021316	Chr7	148698772	148699347	Zm00001eb319810	chr7	149908363	149909568																	
umc110a	91.20																														
GRMZM2G052288	91.60		GRMZM2G052288	Chr7	143908299	143910501	Zm00001d021321	Chr7	148806602	148807834	Zm00001eb319850	chr7	150016595	150018597																	
hct25	91.62		GRMZM2G125448	Chr7	144063571	144065096	Zm00001d021324	Chr7	148944181	148945515	Zm00001eb319860	chr7	150154171	150155876																	
hct21	91.73		GRMZM2G013530	Chr7	144132740	144134501	Zm00001d021329	Chr7	149024878	149026351	Zm00001eb319920	chr7	150235044	150236884																	
LOC103633104	91.76		GRMZM2G318702	Chr7	144147582	144149345	Zm00001d021330	Chr7	149027267	149054381																					
AY107911	91.80		GRMZM2G139210	Chr7	144165640	144170295	Zm00001d021332	Chr7	149060166	149064823	Zm00001eb319930	chr7	150270338	150274993																	
Zm00001d021334	91.82		GRMZM5G869196	Chr7	144235285	144236661	Zm00001d021334	Chr7	149125322	149126224	Zm00001eb319950	chr7	150335318	150336742																	
acr24	91.83		GRMZM2G160922	Chr7	144277396	144289198	Zm00001d021336	Chr7	149167346	149179144	Zm00001eb319970	chr7	150377470	150389322																	
saur64	91.85		GRMZM2G095839	Chr7	144337030	144337725	Zm00001d021337	Chr7	149226369	149226713	Zm00001eb319980	chr7	150436654	150436998																	
hppk1	91.87		GRMZM2G095806	Chr7	144358527	144362126	Zm00001d021338	Chr7	149248068	149251047	Zm00001eb319990	chr7	150457882	150461374																	
IDP2483	91.90		GRMZM2G148864	Chr7	144438839	144439974	Zm00001d021340	Chr7	149326226	149327233	Zm00001eb320010	chr7	150535401	150537520																	
