MaizeGDB: Details of Map Genetic 4
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-CML322-REFERENCE-NAM-1.0_gene_model	Zm-CML322-REFERENCE-NAM-1.0_chr	Zm-CML322-REFERENCE-NAM-1.0_start	Zm-CML322-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-CML52-REFERENCE-NAM-1.0_gene_model	Zm-CML52-REFERENCE-NAM-1.0_chr	Zm-CML52-REFERENCE-NAM-1.0_start	Zm-CML52-REFERENCE-NAM-1.0_end	Zm-Il14H-REFERENCE-NAM-1.0_gene_model	Zm-Il14H-REFERENCE-NAM-1.0_chr	Zm-Il14H-REFERENCE-NAM-1.0_start	Zm-Il14H-REFERENCE-NAM-1.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-M162W-REFERENCE-NAM-1.0_gene_model	Zm-M162W-REFERENCE-NAM-1.0_chr	Zm-M162W-REFERENCE-NAM-1.0_start	Zm-M162W-REFERENCE-NAM-1.0_end	Zm-M37W-REFERENCE-NAM-1.0_gene_model	Zm-M37W-REFERENCE-NAM-1.0_chr	Zm-M37W-REFERENCE-NAM-1.0_start	Zm-M37W-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-Mo18W-REFERENCE-NAM-1.0_gene_model	Zm-Mo18W-REFERENCE-NAM-1.0_chr	Zm-Mo18W-REFERENCE-NAM-1.0_start	Zm-Mo18W-REFERENCE-NAM-1.0_end	Zm-Ms71-REFERENCE-NAM-1.0_gene_model	Zm-Ms71-REFERENCE-NAM-1.0_chr	Zm-Ms71-REFERENCE-NAM-1.0_start	Zm-Ms71-REFERENCE-NAM-1.0_end	Zm-NC350-REFERENCE-NAM-1.0_gene_model	Zm-NC350-REFERENCE-NAM-1.0_chr	Zm-NC350-REFERENCE-NAM-1.0_start	Zm-NC350-REFERENCE-NAM-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-P39-REFERENCE-NAM-1.0_gene_model	Zm-P39-REFERENCE-NAM-1.0_chr	Zm-P39-REFERENCE-NAM-1.0_start	Zm-P39-REFERENCE-NAM-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Sequence
dof9	94.90		GRMZM2G449950	Chr4	164205529	164206744					Zm00001d051700	Chr4	167124669	167125430	Zm00001eb189510	chr4	169262687	169264172																																																																									
bsdtf4	95.00		GRMZM2G127548	Chr4	164281187	164285309					Zm00001d051702	Chr4	167217231	167220804	Zm00001eb189530	chr4	169355492	169359127																																																																									
aaap30	95.02		GRMZM2G427319	Chr4	164285834	164287977					Zm00001d051703	Chr4	167221261	167223549	Zm00001eb189540	chr4	169359575	169362125																																																																									
pub42	95.04		GRMZM2G127524	Chr4	164291101	164294759					Zm00001d051704	Chr4	167226342	167230563	Zm00001eb189550	chr4	169363922	169368926																																																																									
cl528_2	95.14		GRMZM2G111774	Chr4	165527643	165529129									Zm00001eb189770	chr4	170472810	170476106																																																																									
bzip97	95.20		GRMZM2G122846	Chr4	165667701	165668420					Zm00001d051739	Chr4	168580085	168580537	Zm00001eb189840	chr4	170715466	170716310																																																																									
si946043b04a	95.22		GRMZM2G122843	Chr4	165669270	165692637					Zm00001d051740	Chr4	168581650	168605013	Zm00001eb189850	chr4	170717146	170740521																																																																									
umc1329	95.30		GRMZM2G122767	Chr4	165703189	165710257					Zm00001d051742	Chr4	168615582	168622676	Zm00001eb189870	chr4	170751022	170758167																																																																									
LOC111591362	95.32		GRMZM2G423383	Chr4	165714332	165718135									Zm00001eb189880	chr4	170764612	170765323																																																																									
Zm00001d051746	95.34		GRMZM2G122715	Chr4	165726915	165728945					Zm00001d051746	Chr4	168639313	168641361	Zm00001eb189890	chr4	170774771	170776969																																																																									
hb115	95.40		GRMZM2G021339	Chr4	165861785	165863994					Zm00001d051749	Chr4	168776069	168778157	Zm00001eb189900	chr4	170911516	170913661																																																																									
aldh2	95.60		GRMZM2G125268	Chr4	165996358	165999622					Zm00001d051754	Chr4	168916658	168926460	Zm00001eb189920	chr4	171052133	171055472																																																																									
cl17643_-2b	95.70		GRMZM2G125512	Chr4	166035320	166038849					Zm00001d051760	Chr4	168955919	168959054	Zm00001eb189970	chr4	171091349	171094521																																																																									
Zm00001eb189990	95.71		GRMZM2G083869	Chr4	166070898	166071701									Zm00001eb189990	chr4	171126420	171126941																																																																									
si486077g08a	95.73		GRMZM2G084025	Chr4	166091973	166102315									Zm00001eb190030	chr4	171147277	171156863																																																																									
Zm00001eb190040	95.74										Zm00001d051769	Chr4	169020561	169022158	Zm00001eb190040	chr4	171156894	171157543																																																																									
gbptf28	95.74		GRMZM2G385386	Chr4	166104119	166104947					Zm00001d051771	Chr4	169024169	169024519	Zm00001eb190050	chr4	171159899	171160249																																																																									
ect19	95.78		GRMZM2G145770	Chr4	166518141	166521453					Zm00001d051781	Chr4	169443612	169447397	Zm00001eb190100	chr4	171575277	171583246																																																																									
pco149145	95.80		GRMZM2G380457	Chr4	166803333	166804641					Zm00001d051785	Chr4	169724582	169725828	Zm00001eb190110	chr4	171860415	171861731																																																																									
gl4	95.85		GRMZM2G003501	Chr4	166858871	166860792					Zm00001d051787	Chr4	169781767	169783224	Zm00001eb190120	chr4	171917505	171919371																																																																									
arm6	95.87		GRMZM2G471733	Chr4	166894517	166897220					Zm00001d000381	B73V4_ctg24	21822	27498	Zm00001eb190130	chr4	171950476	171956302																																																																									
Zm00001d000379	95.98		GRMZM2G171060	Chr4	166904281	166908828					Zm00001d000379	B73V4_ctg24	12019	14648	Zm00001eb190150	chr4	171963382	171966089																																																																									
T4-9(5657)(4)	96.00																																																																																										
myb142	96.00		GRMZM2G055158	Chr4	166940293	166941682					Zm00001d051788	Chr4	169863214	169864538	Zm00001eb190160	chr4	171999050	172000478																																																																									
apo3	96.06		GRMZM2G063473	Chr4	166951520	166955204					Zm00001d051790	Chr4	169874739	169878071	Zm00001eb190190	chr4	172010623	172014003																																																																									
sdg35	96.88		GRMZM2G063316	Chr4	167002541	167008338					Zm00001d051796	Chr4	169926219	169931179	Zm00001eb190260	chr4	172062154	172067130																																																																									
umc2682	96.90		GRMZM2G362823	Chr4	167009156	167009883					Zm00001d051798	Chr4	169932357	169932617	Zm00001eb190270	chr4	172067926	172068992																																																																									
nudx8	96.91		GRMZM2G063276	Chr4	167063264	167064549					Zm00001d051799	Chr4	169986068	169987353	Zm00001eb190280	chr4	172122116	172123337																																																																									
Zm00001eb190300	96.94														Zm00001eb190300	chr4	172163894	172164677																																																																									
saur42	96.95		GRMZM2G015049	Chr4	167103362	167104810					Zm00001d051802	Chr4	170029713	170030060	Zm00001eb190310	chr4	172165807	172166142																																																																									
si618009f01	96.99		GRMZM2G014854	Chr4	167106081	167107407					Zm00001d051803	Chr4	170031931	170032329	Zm00001eb190330	chr4	172167917	172168315																																																																									
gln5	97.00		GRMZM2G036464	Chr4	167111248	167114579					Zm00001d051804	Chr4	170036696	170039992	Zm00001eb190340	chr4	172172682	172176056																																																																									
ppr239	97.04		GRMZM2G168378	Chr4	167214547	167216702					Zm00001d051807	Chr4	170137457	170139370	Zm00001eb190360	chr4	172273241	172275543																																																																									
ring252	97.98		GRMZM2G168369	Chr4	167217724	167219685					Zm00001d051808	Chr4	170140144	170142633	Zm00001eb190380	chr4	172276100	172278612																																																																									
pco061578	98.00		GRMZM2G168337	Chr4	167219964	167225717					Zm00001d051809	Chr4	170142800	170148637	Zm00001eb190390	chr4	172278673	172284558																																																																									
hk6	98.01		GRMZM2G125943	Chr4	167410132	167416477					Zm00001d051812	Chr4	170321473	170328486	Zm00001eb190410	chr4	172457826	172464282																																																																									
si829005b05d	98.02		GRMZM2G125987	Chr4	167422163	167423799					Zm00001d051813	Chr4	170334404	170335740	Zm00001eb190420	chr4	172470135	172471434																																																																									
cel26	98.02		GRMZM2G125991	Chr4	167432663	167434157					Zm00001d051814	Chr4	170342940	170346103	Zm00001eb190430	chr4	172478837	172482020																																																																									
pco064726	98.03		GRMZM6G207008	scaffold_396	198	872					Zm00001d051819	Chr4	170747955	170748269	Zm00001eb190470	chr4	172883675	172884412																																																																									
cl17097_1	98.04		GRMZM2G017159	Chr4	168589012	168591287					Zm00001d051832	Chr4	171496173	171497630	Zm00001eb190550	chr4	173631596	173634036																																																																									
sly1	98.04		GRMZM2G140832	Chr4	168111952	168114310					Zm00001d051824	Chr4	171070766	171073109	Zm00001eb190510	chr4	173206775	173209135																																																																									
arm47	98.04		GRMZM2G017852	Chr4	168574585	168577301					Zm00001d051829	Chr4	171481235	171484117	Zm00001eb190530	chr4	173617162	173620162																																																																									
metp5	98.04		GRMZM2G017365	Chr4	168574700	168580262					Zm00001d051830	Chr4	171484288	171486906	Zm00001eb190540	chr4	173620295	173622939																																																																									
sus6	98.05		GRMZM2G045171	Chr4	168773364	168776492					Zm00001d051837	Chr4	171679681	171683198	Zm00001eb190590	chr4	173815076	173819342																																																																									
cdpk44	98.05		GRMZM2G347047	Chr4	168766590	168768510					Zm00001d051835	Chr4	171672648	171675333	Zm00001eb190570	chr4	173808865	173811609																																																																									
Zm00001eb190580	98.05		GRMZM2G045294	Chr4	168769110	168770409					Zm00001d051836	Chr4	171675787	171677085	Zm00001eb190580	chr4	173811657	173813121																																																																									
cl19799_1	98.06		GRMZM2G019177	Chr4	169036645	169041098					Zm00001d051842	Chr4	171960302	171965412	Zm00001eb190670	chr4	174096675	174099062																																																																									
natl1	98.06		GRMZM2G455658	Chr4	169187814	169189693					Zm00001d051847	Chr4	172100463	172103469	Zm00001eb190730	chr4	174234833	174235583																																																																									
GRMZM2G152278	98.06		GRMZM2G152278	Chr4	169180277	169187429					Zm00001d051846	Chr4	172092411	172099344	Zm00001eb190700	chr4	174225914	174232910																																																																									
opt6	98.06		GRMZM2G019209	Chr4	169041336	169043939					Zm00001d051843	Chr4	171965697	171968280	Zm00001eb190690	chr4	174099069	174101870																																																																									
Q2MJJ9	98.06		GRMZM2G018947	Chr4	169017004	169020598					Zm00001d051840	Chr4	171940831	171944289	Zm00001eb190630	chr4	174074315	174077797																																																																									
phpt1	98.08		GRMZM2G080497	Chr4	169236039	169239608					Zm00001d051848	Chr4	172178900	172182412	Zm00001eb190740	chr4	174312292	174316016																																																																									
jmj21	98.09		GRMZM2G383210	Chr4	169239655	169259508					Zm00001d051849	Chr4	172182519	172202452	Zm00001eb190750	chr4	174316052	174336190																																																																									
trg1	98.10																																																																																										
bnlg1137	98.10																																																																																										
proh5	98.10		GRMZM2G025867	Chr4	169512513	169535279					Zm00001d051856	Chr4	172458488	172488411	Zm00001eb190810	chr4	174592074	174595190																																																																									
cle24	98.11		GRMZM2G123818	Chr4	169575895	169576594					Zm00001d051859	Chr4	172522475	172523174																																																																													
IDP6964	98.12		GRMZM2G123831	Chr4	169578848	169581734					Zm00001d051860	Chr4	172525431	172528349	Zm00001eb190830	chr4	174658965	174661670																																																																									
TIDP7116	98.13		GRMZM2G123887	Chr4	169583561	169588353					Zm00001d051861	Chr4	172530109	172534757	Zm00001eb190840	chr4	174663689	174668341																																																																									
Zm00001d051863	98.14		GRMZM2G024331	Chr4	169646481	169648491					Zm00001d051863	Chr4	172596420	172598331	Zm00001eb190850	chr4	174729794	174731869																																																																									
si660052g12	98.15		GRMZM2G140033	Chr4	169771975	169773695					Zm00001d051865	Chr4	172723374	172724903	Zm00001eb190870	chr4	174856867	174858586																																																																									
ppr521	98.15		GRMZM2G337701	scaffold_498	111300	114195					Zm00001d051864	Chr4	172708058	172720334	Zm00001eb190860	chr4	174841571	174855553																																																																									
si660003c05	98.16		GRMZM2G417682	Chr4	169825706	169831187					Zm00001d051866	Chr4	172760524	172767030	Zm00001eb190880	chr4	174893989	174900671																																																																									
xth32	98.16		GRMZM2G118579	Chr4	169831599	169833403					Zm00001d051867	Chr4	172767580	172769133	Zm00001eb190890	chr4	174901119	174902715																																																																									
pco097726a	98.17		GRMZM2G082222	Chr4	169987973	169990841					Zm00001d051869	Chr4	172948194	172950485	Zm00001eb190910	chr4	175082001	175083755																																																																									
nanmt1	98.18		GRMZM2G082007	Chr4	169989717	169993675					Zm00001d051870	Chr4	172950400	172953761	Zm00001eb190920	chr4	175083714	175087333																																																																									
pip1e	98.20		GRMZM2G081843	Chr4	170004633	170006133					Zm00001d051872	Chr4	172964877	172966249	Zm00001eb190950	chr4	175098426	175100711																																																																									
GRMZM2G544441	98.25		GRMZM2G544441	Chr4	170047480	170050468					Zm00001d051874	Chr4	173006623	173009702																																																																													
pub38	98.27		GRMZM2G101754	Chr4	170055906	170060059					Zm00001d051875	Chr4	173015130	173019365	Zm00001eb190970	chr4	175148725	175152984																																																																									
Zm00001d051877	98.36		GRMZM2G085856	Chr4	170257752	170260080					Zm00001d051877	Chr4	173199154	173201246	Zm00001eb191000	chr4	175332240	175335178																																																																									
cl16102_1e	98.38														Zm00001eb191010	chr4	175338100	175340877																																																																									
nactf26	98.40		GRMZM2G113950	Chr4	170273726	170278146					Zm00001d051879	Chr4	173236782	173241210	Zm00001eb191020	chr4	175370413	175374827																																																																									
si606033f04	98.45														Zm00001eb191050	chr4	175513726	175519400																																																																									
Zm00001eb191060	98.47		GRMZM2G073954	Chr4	170437807	170440529					Zm00001d051883	Chr4	173398695	173401479	Zm00001eb191060	chr4	175532405	175535349																																																																									
Zm00001d051884	98.50		GRMZM2G143854	Chr4	170493126	170497485					Zm00001d051884	Chr4	173453369	173458108	Zm00001eb191070	chr4	175587433	175591780																																																																									
pza01289	98.60		GRMZM2G150648	Chr4	170544896	170550922					Zm00001d051885	Chr4	173507581	173513457	Zm00001eb191090	chr4	175643508	175647269																																																																									
mate28	98.61		GRMZM2G098744	Chr4	170679515	170682369					Zm00001d051886	Chr4	173655399	173658208	Zm00001eb191100	chr4	175788974	175791920																																																																									
LOC109945586	98.63		GRMZM2G472372	Chr4	170698645	170698971																																																																																					
etr6	98.72		GRMZM2G075368	Chr4	170818733	170822403					Zm00001d051889	Chr4	173799032	173802935	Zm00001eb191130	chr4	175932988	175936976																																																																									
lbd24	98.80		GRMZM2G075499	Chr4	170838318	170839405					Zm00001d051891	Chr4	173818577	173819660	Zm00001eb191170	chr4	175952590	175953673																																																																									
pco063627	98.84		GRMZM2G146207	Chr4	170880759	170886278					Zm00001d051893	Chr4	173860945	173865145	Zm00001eb191190	chr4	175994945	175999139																																																																									
ring255	98.96		GRMZM2G146228	Chr4	170885090	170886022					Zm00001d051894	Chr4	173865361	173866293	Zm00001eb191210	chr4	175998864	176000451																																																																									
fht11	98.98		GRMZM2G146234	Chr4	170915313	170916814					Zm00001d051896	Chr4	173895439	173897086	Zm00001eb191220	chr4	176029623	176031159																																																																									
prh1	99.00		GRMZM2G112240	Chr4	170944444	170947965					Zm00001d051898	Chr4	173925846	173928349	Zm00001eb191230	chr4	176059934	176063458																																																																									
umc66a(lcr)	99.35																																																																																										
LOC100279125	99.40		GRMZM2G123544	Chr4	171002146	171006795					Zm00001d051901	Chr4	173983536	173988094	Zm00001eb191270	chr4	176117638	176122231																																																																									
pum9	99.44		GRMZM2G123537	Chr4	171007080	171012916					Zm00001d051902	Chr4	173988461	173994368	Zm00001eb191290	chr4	176122490	176128461																																																																									
cl11616_3a	99.50		GRMZM2G123444	Chr4	171089698	171094621									Zm00001eb191320	chr4	176205487	176209844																																																																									
Zm00001eb191330	99.52		GRMZM2G120964	Chr4	171243878	171246093					Zm00001d051905	Chr4	174268094	174270471	Zm00001eb191330	chr4	176365344	176367847																																																																									
GRMZM2G420571	99.60		GRMZM2G420571	Chr4	171155233	171156775																																																																																					
miR172c	99.60		zma-MIR172c	Chr4	171155886	171156008					zma-MIR172c	Chr4	174154928	174155050																																																																													
si618003d03	99.98		GRMZM2G471805	Chr4	171288649	171294773					Zm00001d051906	Chr4	174313233	174318928	Zm00001eb191340	chr4	176410489	176416248																																																																									
cl11049_1	100.00		GRMZM2G172214	Chr4	171293787	171295980					Zm00001d051908	Chr4	174319008	174320624	Zm00001eb191350	chr4	176416314	176418146																																																																									
K4L	100.00																																																																																										
iaa18	101.00		GRMZM2G142768	Chr4	171402585	171405007					Zm00001d051911	Chr4	174427408	174429846	Zm00001eb191370	chr4	176524718	176527226																																																																									
si614064h02	101.01		GRMZM2G142661	Chr4	171405281	171409735					Zm00001d051912	Chr4	174430425	174434646	Zm00001eb191380	chr4	176527698	176531977																																																																									
Zm00001d051914	101.48		GRMZM2G479804	Chr4	171478319	171480325					Zm00001d051914	Chr4	174502781	174504690	Zm00001eb191410	chr4	176599942	176602085																																																																									
abc1	101.50		GRMZM2G157369	Chr4	171570493	171575379					Zm00001d051915	Chr4	174610009	174614912	Zm00001eb191420	chr4	176695259	176700224																																																																									
cl21401_1a	101.51		GRMZM2G157522	Chr4	171584440	171588831					Zm00001d051917	Chr4	174623848	174629371	Zm00001eb191440	chr4	176708980	176714576																																																																									
saur43	101.51		GRMZM2G410499	Chr4	171609789	171610471					Zm00001d051920	Chr4	174649398	174649715	Zm00001eb191460	chr4	176734635	176735140																																																																									
IDP8258	101.52		GRMZM2G084984	Chr4	171667758	171681638					Zm00001d051924	Chr4	174706715	174720563	Zm00001eb191500	chr4	176791866	176805821																																																																									
Zm00001d051923	101.52		GRMZM2G384780	Chr4	171662244	171664233					Zm00001d051923	Chr4	174701525	174702881	Zm00001eb191480	chr4	176786658	176788452																																																																									
cpp15	101.53		GRMZM2G102216	Chr4	171706314	171708057					Zm00001d051928	Chr4	174746497	174748159	Zm00001eb191540	chr4	176831370	176833583																																																																									
cdlb8	101.53		GRMZM2G102200	Chr4	171702975	171703906					Zm00001d051926	Chr4	174741981	174744018	Zm00001eb191520	chr4	176828020	176829364																																																																									
csu525(rpL17)	101.54		GRMZM2G102815	Chr4	171721060	171724328					Zm00001d051930	Chr4	174761145	174765365	Zm00001eb191560	chr4	176846436	176849709																																																																									
Zm00001d051929	101.54		GRMZM2G102230	Chr4	171717829	171721643					Zm00001d051929	Chr4	174757972	174761786	Zm00001eb191550	chr4	176843684	176846308																																																																									
rdla1	101.55		GRMZM2G099097	Chr4	171759787	171764794					Zm00001d051932	Chr4	174800177	174804263	Zm00001eb191580	chr4	176885239	176890102																																																																									
fomt5	101.56		GRMZM2G099297	Chr4	171800262	171802016					Zm00001d051934	Chr4	174841809	174843540	Zm00001eb191590	chr4	176927025	176928817																																																																									
LOC103654125	101.57		GRMZM2G099420	Chr4	171813347	171815152					Zm00001d051938	Chr4	174854965	174856718	Zm00001eb191610	chr4	176940210	176941952																																																																									
cle43	101.59		GRMZM2G466532	Chr4	171938025	171939815					Zm00001d051944	Chr4	174979279	174979605	Zm00001eb191640	chr4	177064201	177065060																																																																									
phos2	101.60		GRMZM2G466545	Chr4	171946555	171952268					Zm00001d051945	Chr4	174987519	174992037	Zm00001eb191650	chr4	177072303	177077688																																																																									
GRMZM2G075336	101.70		GRMZM2G075336	Chr4	172109718	172113857					Zm00001d051951	Chr4	175147743	175157252	Zm00001eb191710	chr4	177233011	177237213																																																																									
nactf51	101.80		GRMZM2G140901	Chr4	172222465	172224718					Zm00001d051956	Chr4	175257867	175260077	Zm00001eb191780	chr4	177343089	177345726																																																																									
jmj6	101.84		GRMZM2G107109	Chr4	172286685	172295419					Zm00001d051959	Chr4	175347420	175358199	Zm00001eb191790	chr4	177405245	177552692																																																																									
jmj9	101.85		GRMZM2G140524	Chr4	172338861	172347926					Zm00001d051961	Chr4	175383401	175397333	Zm00001eb191790	chr4	177405245	177552692																																																																									
jmj2	101.88		GRMZM2G171163	Chr4	172386710	172389864					Zm00001d051964	Chr4	175484595	175495683	Zm00001eb191790	chr4	177405245	177552692																																																																									
Zm00001eb191810	101.89										Zm00001d051962	Chr4	175386555	175387938	Zm00001eb191810	chr4	177442416	177443229																																																																									
jmj4	101.90		GRMZM2G027075	Chr4	172459736	172468782					Zm00001d051965	Chr4	175517244	175528400	Zm00001eb191820	chr4	177574685	177584905																																																																									
Zm00001d051966	101.93		GRMZM2G027302	Chr4	172473806	172475786					Zm00001d051966	Chr4	175533999	175534739	Zm00001eb191830	chr4	177590291	177592340																																																																									
pza00271	102.00		GRMZM2G364068	Chr4	172551715	172560136					Zm00001d051967	Chr4	175609307	175611318																																																																													
ss5	102.10		GRMZM2G130043	Chr4	172635729	172706662					Zm00001d051976	Chr4	175714876	175730530	Zm00001eb191890	chr4	177748949	177790321																																																																									
ring256	102.18		GRMZM2G130002	Chr4	172714527	172719310					Zm00001d051977	Chr4	175738176	175743156	Zm00001eb191920	chr4	177797687	177803007																																																																									
mmp147	102.70																																																																																										
gata4	102.83		GRMZM2G379005	Chr4	172789633	172794795					Zm00001d051981	Chr4	175840987	175846170	Zm00001eb191940	chr4	177900710	177905996																																																																									
GRMZM2G162007	102.90		GRMZM2G162007	Chr4	172864338	172866690					Zm00001d051987	Chr4	175915558	175917842	Zm00001eb191990	chr4	177975273	177977664																																																																									
LOC118476985	102.94		GRMZM2G410487	Chr4	173025671	173026879					Zm00001d051989	Chr4	176010821	176012026	Zm00001eb192010	chr4	178070371	178071484																																																																									
pcna2	103.00		GRMZM2G108712	Chr4	173062872	173064850					Zm00001d051995	Chr4	176048087	176049833	Zm00001eb192050	chr4	178107776	178109453																																																																									
pco143166	103.02		GRMZM2G054210	Chr4	173239464	173253984					Zm00001d051998	Chr4	176207227	176221261	Zm00001eb192060	chr4	178247847	178262453																																																																									
dnaJ42	103.10		GRMZM2G054076	Chr4	173210996	173223753					Zm00001d052001	Chr4	176245559	176257814	Zm00001eb192080	chr4	178286234	178298582																																																																									
pco068393	103.30		GRMZM2G054012	Chr4	173207225	173209196					Zm00001d052003	Chr4	176261090	176261890																																																																													
umc1651	103.37																																																																																										
miR396a	103.37		zma-MIR396a	Chr4	173324503	173324639					zma-MIR396a	Chr4	176326883	176327019																																																																													
miR396e	103.38		zma-MIR396e	Chr4	173329484	173329649					zma-MIR396e	Chr4	176331864	176332029																																																																													
pco110662	103.40		GRMZM2G178972	Chr4	173331847	173336409					Zm00001d052007	Chr4	176334251	176338752	Zm00001eb192110	chr4	178374985	178379549																																																																									
pco142929	103.50		GRMZM5G806771	Chr4	173359568	173362218									Zm00001eb192140	chr4	178402788	178405393																																																																									
umc19	103.51		GRMZM2G125838	Chr4	173401199	173403388					Zm00001d052010	Chr4	176412462	176414889	Zm00001eb192150	chr4	178453137	178455669																																																																									
IDP8482	103.52		GRMZM2G125823	Chr4	173395872	173400537					Zm00001d052011	Chr4	176415339	176420123	Zm00001eb192170	chr4	178456685	178458543																																																																									
cl11835_1	103.56		GRMZM2G450055	Chr4	173741726	173749650					Zm00001d052021	Chr4	176740635	176745413	Zm00001eb192280	chr4	178781932	178782961																																																																									
ring257	103.56		GRMZM2G108084	Chr4	173627396	173631741					Zm00001d052019	Chr4	176631420	176635099	Zm00001eb192250	chr4	178672144	178676264																																																																									
dbptf1	103.56		GRMZM2G108147	Chr4	173593079	173596604					Zm00001d052018	Chr4	176597115	176600543	Zm00001eb192230	chr4	178637922	178641438																																																																									
mha7	103.56		GRMZM2G148374	Chr4	173746259	173749650					Zm00001d052022	Chr4	176745213	176748686	Zm00001eb192290	chr4	178785906	178789454																																																																									
Zm00001d052020	103.56		GRMZM2G084515	Chr4	173656990	173658738					Zm00001d052020	Chr4	176653254	176654594	Zm00001eb192260	chr4	178693275	178695728																																																																									
ereb15	103.57		GRMZM2G111415	Chr4	173829508	173830759					Zm00001d052026	Chr4	176839153	176840184	Zm00001eb192320	chr4	178879941	178880886																																																																									
vps3	103.57		GRMZM2G111491	Chr4	173835335	173846164					Zm00001d052028	Chr4	176844373	176866604	Zm00001eb192340	chr4	178884932	178897260																																																																									
cl704_1a	103.58		GRMZM2G110960	Chr4	173938267	173939717					Zm00001d052031	Chr4	176948157	176949020	Zm00001eb192370	chr4	178988631	178989946																																																																									
IDP1421	103.58		GRMZM2G010491	Chr4	174019150	174020537					Zm00001d052034	Chr4	177028520	177029881	Zm00001eb192400	chr4	179069399	179070499																																																																									
IDP1671	103.58		GRMZM2G010439	Chr4	173959819	173962928					Zm00001d052033	Chr4	176969141	176972630	Zm00001eb192380	chr4	179009913	179012886																																																																									
IDP7522	103.58		GRMZM2G011218	Chr4	174081624	174094644					Zm00001d052043	Chr4	177090545	177102253	Zm00001eb192500	chr4	179130490	179144821																																																																									
bhlh12	103.58		GRMZM2G316758	Chr4	174031590	174034049					Zm00001d052038	Chr4	177039742	177043438	Zm00001eb192430	chr4	179080419	179084231																																																																									
Zm00001d052040	103.58		GRMZM2G010933	Chr4	174068644	174070587					Zm00001d052040	Chr4	177078013	177079956	Zm00001eb192460	chr4	179118522	179120808																																																																									
Zm00001d052035	103.58		AC186287.7_FG005	Chr4	174024718	174026190					Zm00001d052035	Chr4	177034088	177035560	Zm00001eb192410	chr4	179074509	179076509																																																																									
GRMZM2G010912	103.58		GRMZM2G010912	Chr4	174040667	174042380					Zm00001d052039	Chr4	177050037	177051750	Zm00001eb192450	chr4	179090816	179092531																																																																									
si946037c04	103.59		GRMZM2G032350	Chr4	174623418	174625566					Zm00001d052049	Chr4	177640972	177643011	Zm00001eb192560	chr4	179673021	179674974																																																																									
GRMZM2G135073	103.63		GRMZM2G135073	Chr4	174795712	174802051					Zm00001d052051	Chr4	177822566	177828912	Zm00001eb192580	chr4	179858033	179864523																																																																									
