MaizeGDB: Details of Map Genetic 6
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-HP301-REFERENCE-NAM-1.0_gene_model	Zm-HP301-REFERENCE-NAM-1.0_chr	Zm-HP301-REFERENCE-NAM-1.0_start	Zm-HP301-REFERENCE-NAM-1.0_end	Zm-Ki11-REFERENCE-NAM-1.0_gene_model	Zm-Ki11-REFERENCE-NAM-1.0_chr	Zm-Ki11-REFERENCE-NAM-1.0_start	Zm-Ki11-REFERENCE-NAM-1.0_end	Sequence
AY105479	61.23		GRMZM2G063754	Chr6	123931291	123934591	Zm00001d037509	Chr6	127637988	127641192	Zm00001eb281990	chr6	134504640	134507884													
AY107517	61.23		GRMZM2G064001	Chr6	123949570	123953272	Zm00001d037512	Chr6	127655622	127659899	Zm00001eb282030	chr6	134522852	134526602													
LOC103631410	61.23		GRMZM2G063703	Chr6	123923566	123926318	Zm00001d037507	Chr6	127630189	127633000	Zm00001eb281980	chr6	134497170	134498757													
pza00473	61.24		GRMZM2G002959	Chr6	124328526	124334707	Zm00001d037521	Chr6	128039738	128045204	Zm00001eb282120	chr6	134906162	134911944													
erg28	61.25		GRMZM2G003064	Chr6	124317781	124324204	Zm00001d037522	Chr6	128050251	128056674	Zm00001eb282130	chr6	134917081	134923661													
Zm00001d037526	61.27		GRMZM2G365755	Chr6	124397218	124398900	Zm00001d037526	Chr6	128130656	128131701																	
bhlh123	61.28		GRMZM2G369629	Chr6	124380275	124381777	Zm00001d037528	Chr6	128147394	128148828	Zm00001eb282210	chr6	135014162	135015561													
hagtf28	61.30		GRMZM2G402538	Chr6	124479190	124483759	Zm00001d037529	Chr6	128190263	128195748	Zm00001eb282220	chr6	135056967	135062545													
ereb9	61.31		GRMZM2G323172	Chr6	124705032	124709397	Zm00001d037531	Chr6	128390186	128395804	Zm00001eb282240	chr6	135258219	135262613													
cl46_1	61.32		GRMZM2G021846	Chr6	124714110	124733471	Zm00001d037532	Chr6	128399274	128418621	Zm00001eb282250	chr6	135265790	135285401													
ring391	61.34		GRMZM2G021796	Chr6	124733562	124734437	Zm00001d037533	Chr6	128418712	128419587	Zm00001eb282260	chr6	135285494	135286362													
rp8	61.60																										
ring392	61.78		GRMZM2G118344	Chr6	124840713	124850629	Zm00001d037536	Chr6	128541535	128605590	Zm00001eb282290	chr6	135408323	135418249													
alf1	61.80		GRMZM2G148810	Chr6	124888239	124892792	Zm00001d037537	Chr6	128609292	128613832	Zm00001eb282300	chr6	135476138	135480696													
cl302_1a	61.82		GRMZM2G148709	Chr6	124919145	124927554	Zm00001d037538	Chr6	128640252	128648600	Zm00001eb282310	chr6	135506751	135515581													
rfz1	62.00		GRMZM6G949474	Chr6	124985849	124988264	Zm00001d037540	Chr6	128726080	128728807	Zm00001eb282320	chr6	135570265	135573165													
ufg11	62.03																										
Zm00001eb282350	62.18		GRMZM2G083975	Chr6	125041674	125046971	Zm00001d037543	Chr6	128788528	128789977	Zm00001eb282350	chr6	135630537	135634598													
flr12	62.20		GRMZM5G897958	Chr6	125060564	125062874	Zm00001d037544	Chr6	128804148	128806658	Zm00001eb282360	chr6	135648220	135652221													
LOC103630051	62.46		GRMZM2G030235	Chr6	125149538	125164610	Zm00001d037546	Chr6	128894516	128909650	Zm00001eb282390	chr6	135738922	135754007													
pox3	62.50		GRMZM2G135108	Chr6	125194486	125196087	Zm00001d037547	Chr6	128952506	128954001	Zm00001eb282410	chr6	135796741	135798425													
px5	62.70		GRMZM2G450233	Chr6	125337844	125340176	Zm00001d037550	Chr6	129101873	129103497	Zm00001eb282430	chr6	135946028	135947713													
pco100616	62.71		GRMZM2G177026	Chr6	125451856	125455545	Zm00001d037553	Chr6	129188102	129191773	Zm00001eb282460	chr6	136032315	136036017													
LOC100277387	62.71		GRMZM2G357296	Chr6	125424113	125425065					Zm00001eb282450	chr6	136005632	136006669													
LOC103631417	62.72		GRMZM2G159570	Chr6	125491087	125494023	Zm00001d037554	Chr6	129227302	129227739	Zm00001eb282480	chr6	136071522	136072037													
swl3	62.74		GRMZM2G150187	Chr6	125637623	125642514	Zm00001d037556	Chr6	129373946	129378920	Zm00001eb282510	chr6	136218169	136223024													
upl5	62.76		GRMZM2G435979	Chr6	125760687	125765475	Zm00001d037557	Chr6	129475891	129520935	Zm00001eb282520	chr6	136319791	136365145													
ga2ox1	62.80		GRMZM2G078798	Chr6	126063717	126069395	Zm00001d037565	Chr6	129802297	129807428	Zm00001eb282550	chr6	136646553	136651688													
upb1	62.90		GRMZM2G040364	Chr6	126273382	126273939	Zm00001d037569	Chr6	130010207	130010691	Zm00001eb282580	chr6	136854428	136855007													
pco148543	62.91		GRMZM2G341729	Chr6	126329538	126333030	Zm00001d037573	Chr6	130066372	130069036	Zm00001eb282590	chr6	136910657	136913397													
uaz280c(ppp)	62.93		GRMZM2G041065	Chr6	126379841	126383030	Zm00001d037576	Chr6	130116712	130119868	Zm00001eb282610	chr6	136961002	136964209													
LOC103630057	62.95		AC207728.2_FG003	Chr6	126526927	126601186	Zm00001d037579	Chr6	130321257	130351643	Zm00001eb282630	chr6	137172928	137182722													
T5-6(8590)(6)	63.00																										
tubg2	63.00		GRMZM2G085970	Chr6	126762125	126766341	Zm00001d037582	Chr6	130519107	130523459	Zm00001eb282650	chr6	137349732	137363231													
dnaJ62	63.02		GRMZM2G129218	Chr6	126861510	126869598	Zm00001d037586	Chr6	130614027	130621799	Zm00001eb282660	chr6	137444553	137452787													
pdi7	63.14		GRMZM2G159369	Chr6	126962678	126967338	Zm00001d037590	Chr6	130722299	130726941	Zm00001eb282710	chr6	137552892	137557703													
tubg3	63.17		GRMZM2G008093	Chr6	126995952	127019963	Zm00001d037593	Chr6	130757943	130781728	Zm00001eb282720	chr6	137588485	137612510													
rfri1	63.22		GRMZM2G153250	Chr6	127140347	127150036	Zm00001d037596	Chr6	130902727	130912321	Zm00001eb282730	chr6	137733324	137742994													
krp9	63.25		GRMZM5G881464	Chr6	127292905	127310354	Zm00001d037599	Chr6	131075168	131092642	Zm00001eb282750	chr6	137905895	137923361													
cl384_1b	63.26		GRMZM5G899390	Chr6	127382932	127386773	Zm00001d037601	Chr6	131168034	131170617	Zm00001eb282770	chr6	137998727	138002589													
cl6482_1b	63.26		GRMZM2G018020	Chr6	127432128	127435491	Zm00001d037602	Chr6	131217074	131220423	Zm00001eb282780	chr6	138047659	138051378													
Zm00001d037603	63.26		GRMZM5G803952	Chr6	127556944	127559957	Zm00001d037603	Chr6	131345164	131348227	Zm00001eb282790	chr6	138175822	138179016													
umc1250	63.27																										
gata12	63.27		AC194965.4_FG004	Chr6	127629032	127630234	Zm00001d037605	Chr6	131419763	131421563	Zm00001eb282810	chr6	138250951	138252153													
etr3	63.27		AC194965.4_FG001	Chr6	127561040	127564728	Zm00001d037604	Chr6	131348955	131353566	Zm00001eb282800	chr6	138179577	138184361													
imp2	63.28		GRMZM2G009845	Chr6	127678759	127684774	Zm00001d037606	Chr6	131468248	131476305	Zm00001eb282820	chr6	138301010	138307025													
wrky125	63.30		GRMZM2G163054	Chr6	127773579	127775131	Zm00001d037607	Chr6	131561417	131562772	Zm00001eb282840	chr6	138392027	138393567													
umc1979	63.40						Zm00001d037609	Chr6	131653518	131657066	Zm00001eb282860	chr6	138473325	138474640													
IDP1959	63.45		GRMZM2G558539	Chr6	127957401	127970074	Zm00001d037613	Chr6	131765061	131777860	Zm00001eb282900	chr6	138583501	138596020													
hmg12	63.50		GRMZM5G842484	Chr6	128066887	128073852	Zm00001d037615	Chr6	131885556	131892995	Zm00001eb282920	chr6	138703616	138711163													
sfat2	63.64		GRMZM2G108714	Chr6	128235896	128238208	Zm00001d037619	Chr6	132054552	132056290	Zm00001eb282950	chr6	138872521	138875317													
rpl13	63.68		GRMZM2G409407	Chr6	128244977	128247835	Zm00001d037620	Chr6	132064215	132066492	Zm00001eb282960	chr6	138876880	138884778													
PCO146525	63.69		GRMZM2G092258	Chr6	128385137	128390865	Zm00001d037625	Chr6	132204702	132210443	Zm00001eb283000	chr6	139022947	139028680													
ga3ox1	63.70		GRMZM2G044358	Chr6	128498080	128499807	Zm00001d037627	Chr6	132317697	132319277	Zm00001eb283020	chr6	139135933	139137662													
LOC103630075	63.76		GRMZM2G458776	Chr6	128603220	128604839	Zm00001d037630	Chr6	132423018	132424529	Zm00001eb283060	chr6	139241187	139243041													
umc1751	63.80		GRMZM2G323888	Chr6	128648202	128649046	Zm00001d037632	Chr6	132468546	132468905	Zm00001eb283080	chr6	139286714	139287587													
wakl36	63.83		GRMZM2G002473	Chr6	128703781	128708037	Zm00001d037635	Chr6	132526481	132528995	Zm00001eb283100	chr6	139344664	139347271													
cesa2	63.84		GRMZM2G027723	Chr6	128743576	128750030	Zm00001d037636	Chr6	132563362	132570425	Zm00001eb283110	chr6	139381927	139388728													
Zm00001d037637	63.86		GRMZM2G028110	Chr6	128763787	128766946	Zm00001d037637	Chr6	132583694	132585993	Zm00001eb283120	chr6	139401796	139405467													
pco089012	63.90		GRMZM2G137849	Chr6	128821288	128825266	Zm00001d037640	Chr6	132630007	132633967	Zm00001eb283130	chr6	139448273	139452192													
pao10	63.95		GRMZM2G137820	Chr6	128845962	128852698	Zm00001d037642	Chr6	132670023	132671000	Zm00001eb283140	chr6	139488323	139488932													
pld3	64.00		GRMZM2G438378	Chr6	128905006	128908832	Zm00001d037643	Chr6	132724336	132727573	Zm00001eb283150	chr6	139542579	139545944													
pld4	64.00		GRMZM2G043340	Chr6	94011753	94013434																					
nbs41	64.06		GRMZM2G147869	Chr6	128980232	128981838	Zm00001d037648	Chr6	132796567	132805878	Zm00001eb283180	chr6	139614780	139623752													
nbs57	64.10		GRMZM2G002656	Chr6	129006368	129016640	Zm00001d037650	Chr6	132828573	132836981	Zm00001eb283200	chr6	139644733	139655572													
sbt35	64.11		GRMZM2G145589	Chr6	129214269	129219886	Zm00001d037651	Chr6	133037545	133043210	Zm00001eb283230	chr6	139855686	139861571													
LOC103630089	64.14		GRMZM2G145638	Chr6	129225097	129226772	Zm00001d037652	Chr6	133048475	133050067	Zm00001eb283250	chr6	139867435	139874143													
chn26	64.16		GRMZM2G400999	Chr10	1983893	1985197	Zm00001d037653	Chr6	133069804	133070751	Zm00001eb283260	chr6	139888026	139889202													
chn25	64.20		GRMZM2G447795	Chr6	129268963	129270180	Zm00001d037656	Chr6	133140745	133141716	Zm00001eb283280	chr6	139958834	139960420													
Zm00001d037659	64.25		GRMZM2G008642	Chr6	129405354	129408103	Zm00001d037659	Chr6	133275793	133278869	Zm00001eb283310	chr6	140094368	140097297													
nad6	64.30		GRMZM5G886688	Chr6	129544167	129548401	Zm00001d037663	Chr6	133420435	133424501	Zm00001eb283340	chr6	140239058	140242930													
cle37	64.31		GRMZM2G308440	Chr6	129620336	129620656	Zm00001d037664	Chr6	133498370	133498690	Zm00001eb283350	chr6	140316614	140317397													
rlk4	64.38		GRMZM2G131609	Chr6	129696721	129700755	Zm00001d037672	Chr6	133574540	133578520	Zm00001eb283400	chr6	140392959	140397112													
tar3	64.40		GRMZM2G141810	Chr6	129844054	129847591	Zm00001d037674	Chr6	133714246	133717685	Zm00001eb283420	chr6	140532749	140536185													
plt17	64.50		GRMZM2G403007	Chr6	129885873	129886948	Zm00001d037677	Chr6	133754895	133755200	Zm00001eb283440	chr6	140573218	140573748													
vsp2	64.79		GRMZM2G371793	Chr6	129970803	129972667	Zm00001d037680	Chr6	133844417	133848578	Zm00001eb283450	chr6	140662913	140667137													
vsp1	64.80		GRMZM2G001508	Chr6	129975717	129977955	Zm00001d037681	Chr6	133851119	133853351	Zm00001eb283460	chr6	140669674	140671973													
LOC100277911	64.96		GRMZM2G441656	Chr6	130064006	130065055	Zm00001d037684	Chr6	133964806	133965066	Zm00001eb283490	chr6	140783161	140783735													
der3	65.00		GRMZM2G143817	Chr6	130081997	130086777	Zm00001d037687	Chr6	133982114	133986795	Zm00001eb283510	chr6	140800696	140805442													
hex7	65.10		GRMZM2G051806	Chr6	130163346	130166258	Zm00001d037689	Chr6	134063370	134066401	Zm00001eb283530	chr6	140882012	140885093													
bif4	65.13		GRMZM5G864847	Chr6	130188997	130190406	Zm00001d037691	Chr6	134088831	134092670	Zm00001eb283560	chr6	140907772	140911284													
me5	65.28		GRMZM5G886257	Chr6	130314704	130318327	Zm00001d037693	Chr6	134212972	134216929	Zm00001eb283570	chr6	141031530	141035585													
IDP7859	65.30		GRMZM2G124890	Chr6	130343021	130345825	Zm00001d037694	Chr6	134242491	134244435	Zm00001eb283590	chr6	141061118	141063051													
Zm00001d037695	65.32		GRMZM2G350802	Chr6	130415431	130419988	Zm00001d037695	Chr6	134311545	134316068	Zm00001eb283600	chr6	141130199	141135159													
hsp70-14	65.50		GRMZM2G023232	Chr6	130528209	130534334	Zm00001d037700	Chr6	134419542	134425842	Zm00001eb283640	chr6	141238244	141244833													
GRMZM2G022996	65.51		GRMZM2G022996	Chr6	130553249	130555422	Zm00001d037701	Chr6	134444666	134446246	Zm00001eb283650	chr6	141263112	141265300													
GRMZM2G399970	65.52		GRMZM2G399970	Chr6	130599754	130602052	Zm00001d037704	Chr6	134492345	134494997	Zm00001eb283680	chr6	141311205	141313503													
lrx11	65.53		GRMZM2G149201	Chr6	130782221	130784726	Zm00001d037711	Chr6	134677233	134678471	Zm00001eb283750	chr6	141495254	141497376													
IDP6808	65.54		GRMZM2G106233	Chr6	130938012	130946803	Zm00001d037712	Chr6	134848645	134857406	Zm00001eb283760	chr6	141657953	141666789													
LOC100276854	65.56		GRMZM2G066341	Chr6	131022672	131025667	Zm00001d037713	Chr6	134933417	134935896	Zm00001eb283770	chr6	141742962	141745697													
hsp23	66.00		GRMZM2G361605	Chr6	131147984	131160298	Zm00001d037717	Chr6	135053658	135064649	Zm00001eb283800	chr6	141862893	141874217													
pyl9	66.90		GRMZM2G133631	Chr6	131213208	131216734	Zm00001d037719	Chr6	135118687	135122165	Zm00001eb283810	chr6	141928085	141931611													
LOC103630127	66.92		GRMZM2G051474	Chr6	131324255	131327186	Zm00001d037721	Chr6	135226984	135228414	Zm00001eb283830	chr6	142036248	142038030													
umc1826	66.93																										
pt1	67.00																										
ga2ox6	67.00		GRMZM2G051619	Chr6	131338805	131342645	Zm00001d037724	Chr6	135240118	135243717	Zm00001eb283860	chr6	142049192	142053233													
dtc2	67.01		GRMZM2G051630	Chr6	131343782	131347669	Zm00001d037725	Chr6	135244800	135248890	Zm00001eb283870	chr6	142054466	142109808													
dtc1	67.02		GRMZM2G042146	Chr6	131395743	131399561	Zm00001d037727	Chr6	135296144	135300165	Zm00001eb283870	chr6	142054466	142109808													
pco103599a	67.04		GRMZM2G098747	Chr6	131506619	131511866	Zm00001d037728	Chr6	135411231	135415832	Zm00001eb283880	chr6	142220764	142225365													
Zm00001d037729	67.05		GRMZM2G061751	Chr6	131540898	131542776	Zm00001d037729	Chr6	135445270	135446760	Zm00001eb283890	chr6	142254331	142256627													
cep5	67.06		GRMZM2G148964	Chr6	131585980	131586593	Zm00001d037730	Chr6	135518348	135518611	Zm00001eb283900	chr6	142327616	142328404													
LOC103630133	67.07		GRMZM2G094666	Chr6	131671408	131672463	Zm00001d037731	Chr6	135520819	135531374	Zm00001eb283940	chr6	142338582	142340301													
rpl17d	67.08		GRMZM2G126594	Chr6	131608201	131611135	Zm00001d037732	Chr6	135531705	135534553	Zm00001eb283950	chr6	142341190	142344071													
nip1b	67.10		GRMZM2G126582	Chr6	131635199	131637009	Zm00001d037733	Chr6	135558617	135560426	Zm00001eb283960	chr6	142368151	142369961													
GRMZM2G126435	67.18		GRMZM2G126435	Chr6	131639053	131647413	Zm00001d037734	Chr6	135562503	135576889	Zm00001eb283980	chr6	142371912	142386438													
bbx26	67.20		GRMZM2G415711	Chr6	131727791	131729010	Zm00001d037735	Chr6	135623653	135625596	Zm00001eb283990	chr6	142433091	142435144													
zag1	67.45		GRMZM2G052890	Chr6	132008587	132016861	Zm00001d037737	Chr6	135893605	135901920	Zm00001eb284010	chr6	142692209	142700746													
K6L2	67.51																										
ralf7	67.70		GRMZM2G424509	Chr6	132076708	132077510	Zm00001d037738	Chr6	135959877	135960266	Zm00001eb284020	chr6	142758393	142759294													
umc1352a	67.88		GRMZM2G032896	Chr6	132244541	132248962	Zm00001d037745	Chr6	136194441	136198848	Zm00001eb284090	chr6	142993144	142997598													
bhlh124	68.00		GRMZM2G132550	Chr6	132371821	132374168	Zm00001d037749	Chr6	136322271	136324598	Zm00001eb284130	chr6	143121900	143123007													
hin6	68.03		GRMZM2G118951	Chr6	132410086	132411768	Zm00001d037751	Chr6	136355962	136356846	Zm00001eb284140	chr6	143154550	143156081													
zip7	68.10		GRMZM2G015955	Chr6	132443893	132446471	Zm00001d037756	Chr6	136399634	136402280	Zm00001eb284160	chr6	143198457	143200942													
grx13	68.11		GRMZM2G318213	Chr6	132453961	132454760	Zm00001d037757	Chr6	136409991	136410359	Zm00001eb284170	chr6	143208027	143209360													
Zm00001eb284180	68.13		GRMZM2G328859	Chr6	132579360	132583776	Zm00001d037758	Chr6	136535730	136540144	Zm00001eb284180	chr6	143334597	143339057													
dgati2	68.40		GRMZM2G130749	Chr6	132650367	132656623	Zm00001d037760	Chr6	136606701	136613008	Zm00001eb284200	chr6	143405433	143411922													
axl1	68.44		GRMZM5G808847	Chr6	132764876	132766958	Zm00001d037765	Chr6	136718180	136719025	Zm00001eb284220	chr6	143516713	143519667													
thr3	68.58		AC234575.1_FG003	Chr6	132841738	132842967	Zm00001d037768	Chr6	136796927	136798665	Zm00001eb284240	chr6	143595578	143597633													
c3h39	68.60		GRMZM5G801627	Chr6	132847404	132849278	Zm00001d037769	Chr6	136802596	136803895	Zm00001eb284250	chr6	143601465	143603339													
pfk3	68.64		GRMZM2G401970	Chr6	132979082	132981434	Zm00001d037910	Chr6	141722436	141724537	Zm00001eb284270	chr6	143694468	143696488													
rop3	68.66		GRMZM2G100505	Chr6	133009256	133012520	Zm00001d037911	Chr6	141752465	141755756	Zm00001eb284280	chr6	143724376	143727730													
umc1413	69.28		GRMZM2G030123	Chr6	133066688	133074177	Zm00001d037771	Chr6	136915169	136922617	Zm00001eb284290	chr6	143781430	143788796													
si945016f06	69.34		GRMZM2G155332	Chr6	133133761	133163606	Zm00001d037772	Chr6	136997576	137027536	Zm00001eb284300	chr6	143863648	143893515													
iaa28	69.40		GRMZM2G147243	Chr6	133380995	133384727	Zm00001d037774	Chr6	137231049	137234466	Zm00001eb284310	chr6	144097267	144100675													
glx2	69.42		GRMZM2G076006	Chr6	133389789	133410073	Zm00001d037775	Chr6	137239727	137260611	Zm00001eb284320	chr6	144105742	144126847													
cl16339_1	69.50		GRMZM2G118587	Chr6	133467214	133467897	Zm00001d037777	Chr6	137318220	137325751	Zm00001eb284330	chr6	144189176	144192073													
hagtf46	69.52		GRMZM5G868222	Chr6	133555717	133558178	Zm00001d037778	Chr6	137348656	137351223	Zm00001eb284340	chr6	144214840	144217435													
tip4a	69.60		GRMZM2G103945	Chr6	133537405	133539720	Zm00001d037779	Chr6	137396807	137399127	Zm00001eb284350	chr6	144262714	144265556													
pco095973c	69.62		GRMZM2G062333	Chr6	133658805	133665111	Zm00001d037781	Chr6	137503065	137509357	Zm00001eb284360	chr6	144369146	144375581													
ptk1	70.00		GRMZM2G328785	Chr6	133823627	133826469	Zm00001d037783	Chr6	137664274	137666727	Zm00001eb284380	chr6	144530444	144533210													
TB-6Lb(6)	70.00																										
sm1	70.10		GRMZM2G031311	Chr6	133839846	133843446	Zm00001d037784	Chr6	137680490	137684176	Zm00001eb284390	chr6	144546673	144550272													
cl5594_1	70.25		GRMZM2G031420	Chr6	133846043	133852496	Zm00001d037785	Chr6	137686672	137693217	Zm00001eb284400	chr6	144552687	144559515													
nlp8	70.40		GRMZM2G176655	Chr6	133982025	133991228	Zm00001d037786	Chr6	137825036	137834294	Zm00001eb284410	chr6	144691257	144701253													
aaap49	70.46		GRMZM2G476886	Chr6	134000231	134002019	Zm00001d037789	Chr6	137843373	137845233	Zm00001eb284440	chr6	144709815	144711209													
LOC100193404	70.84		GRMZM2G088501	Chr6	134052641	134061915	Zm00001d037794	Chr6	137924110	137933384	Zm00001eb284490	chr6	144790469	144795957													
IDP8644	70.90		GRMZM2G339091	Chr6	134280817	134285140	Zm00001d037797	Chr6	138055273	138059689	Zm00001eb284520	chr6	144921339	144925703													
LOC100276712	70.92						Zm00001d037799	Chr6	138087194	138087793	Zm00001eb284530	chr6	144951513	144954149													
LOC100277697	70.98		GRMZM6G546392	scaffold_51	1	687	Zm00001d037802	Chr6	138179259	138180014	Zm00001eb284560	chr6	145045376	145046448													
jmj10	71.00		GRMZM2G044301	Chr6	134321285	134327453	Zm00001d037803	Chr6	138208458	138215829	Zm00001eb284570	chr6	145074721	145081990													
si687006h03c	71.02																										
cl50525_1	71.10		GRMZM2G424783	Chr6	134491035	134522276	Zm00001d037808	Chr6	138453460	138484610	Zm00001eb284640	chr6	145319357	145350896													
pco117051	71.10		GRMZM2G329033	Chr6	134577818	134591535	Zm00001d037807	Chr6	138381297	138396127	Zm00001eb284630	chr6	145247453	145262338													
perk1	71.11		GRMZM2G055678	Chr6	134643812	134656424	Zm00001d037811	Chr6	138545312	138550589	Zm00001eb284700	chr6	145411805	145420542													
IDP8735	71.11						Zm00001d037810	Chr6	138532222	138543958	Zm00001eb284690	chr6	145407159	145410262													
IDP86	71.13		GRMZM5G874277	Chr6	134698673	134704090	Zm00001d037813	Chr6	138594710	138600101	Zm00001eb284720	chr6	145460999	145466312													
bnlg2249	71.14																										
ofp25	71.15		GRMZM2G100133	Chr6	134751875	134753206	Zm00001d037814	Chr6	138654839	138655693	Zm00001eb284730	chr6	145520876	145522196													
LOC103630162	71.17		GRMZM2G100067	Chr6	134756753	134759881	Zm00001d037815	Chr6	138659083	138665341	Zm00001eb284740	chr6	145525277	145531674													
slac2	71.20		GRMZM2G061469	Chr6	134835627	134838514	Zm00001d037816	Chr6	138740453	138748540	Zm00001eb284750	chr6	145606754	145615066													
umc2141	72.00		GRMZM2G170646	Chr6	135033602	135036040	Zm00001d037828	Chr6	138946987	138948206	Zm00001eb284830	chr6	145800257	145802542													
pmei3	72.65		GRMZM2G462635	Chr6	135110368	135111326	Zm00001d037831	Chr6	139023844	139024401	Zm00001eb284860	chr6	145876952	145877969													
IDP4452	72.67		GRMZM2G148099	Chr6	135267482	135268741	Zm00001d037834	Chr6	139182269	139183528	Zm00001eb284890	chr6	146034996	146036861													
mybr62	72.70		GRMZM2G531738	Chr6	135326257	135335990	Zm00001d037836	Chr6	139238531	139250622	Zm00001eb284910	chr6	146091731	146103864													
flr4	72.71		GRMZM2G136170	Chr6	135399635	135402733	Zm00001d037839	Chr6	139311841	139314453	Zm00001eb284940	chr6	146164833	146168020													
iaa55	72.72		GRMZM2G136123	Chr6	135422982	135423887	Zm00001d037841	Chr6	139335039	139335893	Zm00001eb284950	chr6	146186569	146189102													
znf8	72.76		GRMZM2G061980	Chr6	135639415	135654457	Zm00001d037846	Chr6	139569167	139584177	Zm00001eb285000	chr6	146422692	146437739													
umc1314	72.80		GRMZM2G061912	Chr6	135696909	135700153	Zm00001d037847	Chr6	139626653	139627309	Zm00001eb285010	chr6	146480177	146483294													
IDP7925	72.82		GRMZM2G061749	Chr6	135702974	135706048	Zm00001d037848	Chr6	139632912	139635759	Zm00001eb285020	chr6	146486448	146489431													
Zm00001d037849	72.84		GRMZM2G147245	Chr6	135722688	135725365	Zm00001d037849	Chr6	139653712	139656071	Zm00001eb285030	chr6	146507219	146509505													
Zm00001d037851	72.87		GRMZM2G046286	Chr6	135824887	135829007	Zm00001d037851	Chr6	139757909	139760088																	
wrky21	72.90		GRMZM2G127064	Chr6	135889651	135892588	Zm00001d037854	Chr6	139821260	139824197	Zm00001eb285050	chr6	146674826	146677763													
cl28132_1	73.00		GRMZM2G087671	Chr6	135966271	135969879	Zm00001d037856	Chr6	139897678	139901307	Zm00001eb285060	chr6	146751182	146754936													
LOC103630188	73.88		GRMZM5G878070	Chr6	136060576	136064381	Zm00001d037858	Chr6	139991985	139995915	Zm00001eb285080	chr6	146845553	146849483													
sod3	73.90		GRMZM2G059991	Chr6	136070517	136074741	Zm00001d037859	Chr6	140001946	140006130	Zm00001eb285090	chr6	146855550	146859696													
si605032f04	73.93		GRMZM5G855860	Chr6	136122509	136125664	Zm00001d037860	Chr6	140054498	140057628	Zm00001eb285100	chr6	146907085	146911303													
hex8	73.95		GRMZM2G046686	Chr6	136146698	136151875	Zm00001d037861	Chr6	140078685	140083862	Zm00001eb285110	chr6	146932253	146937428													
dnaJ63	73.97		GRMZM2G348697	Chr6	136192798	136205147	Zm00001d037864	Chr6	140113133	140137256	Zm00001eb285130	chr6	146978210	146990896													
T2-6b(6)	74.00																										
GRMZM2G345687	74.00		GRMZM2G345687	Chr6	136558419	136562959	Zm00001d037870	Chr6	140470585	140474606	Zm00001eb285180	chr6	147324224	147326815													
pco080326c	74.01		GRMZM2G177001	Chr6	136594023	136599094	Zm00001d037871	Chr6	140510019	140515127	Zm00001eb285190	chr6	147363707	147368805													
bon3	74.01		GRMZM2G176995	Chr6	136604819	136614193	Zm00001d037872	Chr6	140520704	140530189	Zm00001eb285200	chr6	147374282	147383812													
elfa3	74.02		GRMZM2G154218	Chr6	136703065	136706224	Zm00001d037873	Chr6	140618302	140621444	Zm00001eb285210	chr6	147471832	147475113													
elfa2	74.03		GRMZM2G149768	Chr6	136755765	136759415	Zm00001d037875	Chr6	140722761	140725875	Zm00001eb285220	chr6	147576128	147579367													
elfa12	74.03		GRMZM2G001327	Chr6	136879633	136883005	Zm00001d037877	Chr6	140803654	140806857	Zm00001eb285230	chr6	147656928	147660257													
rps21c	74.04						Zm00001d037884	Chr6	141021350	141024377																	
rps21a	74.05		GRMZM2G093574	Chr6	137097719	137100951	Zm00001d037886	Chr6	141049435	141052489	Zm00001eb285290	chr6	147874777	147877891													
sbt36	74.08		AC204292.4_FG006	Chr6	137265858	137268134	Zm00001d037890	Chr6	141204831	141207107	Zm00001eb285310	chr6	148009397	148017459													
Zm00001d037893	74.09		GRMZM2G065439	Chr9	49884802	49887566	Zm00001d037893	Chr6	141279637	141281275																	
cdlb11	74.09		AC204292.4_FG003	Chr6	137216535	137217173	Zm00001d037892	Chr6	141260676	141261314	Zm00001eb285340	chr6	148070696	148071581													
dhn1	74.10		GRMZM2G079440	Chr6	137332062	137333893	Zm00001d037894	Chr6	141324495	141325549	Zm00001eb285360	chr6	148134643	148135795													
hb114	74.11		GRMZM2G381748	Chr6	137335415	137341548	Zm00001d037895	Chr6	141328415	141331089																	
si946073e11	74.13		GRMZM5G835629	Chr6	137456892	137460280	Zm00001d037898	Chr6	141447130	141450540	Zm00001eb285380	chr6	148257310	148260756													
IDP3974	74.14						Zm00001d037900	Chr6	141485419	141489103	Zm00001eb285400	chr6	148295532	148299295													
LOC100277027	74.14		GRMZM6G427659	scaffold_309	476	1404	Zm00001d037899	Chr6	141471442	141476949	Zm00001eb285390	chr6	148281430	148287184													
