MaizeGDB: Details of Map Genetic 1
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence
Zm00001d030223	109.14		GRMZM2G033930	Chr1	111596646	111598756					Zm00001d030223	Chr1	114094770	114096277	Zm00001eb025800	chr1	113203290	113226751																	
cct104	109.16		GRMZM2G097454	Chr1	111991423	111992321					Zm00001d030229	Chr1	114513403	114514301	Zm00001eb025830	chr1	113620703	113621783																	
IDP194	109.20		GRMZM2G034372	Chr1	112335598	112344832					Zm00001d030231	Chr1	114871271	114880505																					
bhlh111	109.22		GRMZM2G150327	Chr1	112414537	112416571					Zm00001d030232	Chr1	114928784	114930818	Zm00001eb025850	chr1	114024167	114026192																	
ptr5	109.24		GRMZM5G826416	Chr1	112598590	112600658					Zm00001d030233	Chr1	115105213	115107350	Zm00001eb025860	chr1	114200417	114202792																	
ptr4	109.26		GRMZM2G101576	Chr1	112613612	112619460					Zm00001d030234	Chr1	115148363	115150637	Zm00001eb025870	chr1	114243506	114258252																	
nrt7	109.28		GRMZM5G811593	Chr1	112645938	112648375					Zm00001d030235	Chr1	115181093	115183515	Zm00001eb025880	chr1	114276473	114278942																	
ptr6	109.30		GRMZM2G015767	Chr1	112734170	112741865					Zm00001d000072	B73V4_ctg10	917444	925264	Zm00001eb025890	chr1	114351887	114359883																	
LOC109943263	109.30		GRMZM2G311929	Chr1	113037997	113041722					Zm00001d000064	B73V4_ctg10	605863	608484	Zm00001eb025960	chr1	114669693	114674246																	
cnr4	109.31		GRMZM2G141526	Chr1	112811149	112814705					Zm00001d000070	B73V4_ctg10	839040	842527	Zm00001eb025910	chr1	114434687	114438243																	
nrt6	109.31		GRMZM2G141491	Chr1	112794885	112797204					Zm00001d000071	B73V4_ctg10	856578	871342	Zm00001eb025900	chr1	114405724	114420829																	
brl2	109.32		GRMZM2G002515	Chr1	113534938	113538490					Zm00001d000055	B73V4_ctg10	94253	97609	Zm00001eb026010	chr1	115179539	115183191																	
gsl11	109.32		GRMZM2G117940	Chr1	113743016	113743825					Zm00001d030236	Chr1	115306970	115307682	Zm00001eb026020	chr1	115384151	115384863																	
dmas5	109.32		GRMZM2G048121	Chr1	113349058	113350674					Zm00001d000060	B73V4_ctg10	292300	293833	Zm00001eb025990	chr1	114983490	114985036																	
pub27	109.32		GRMZM2G069070	Chr1	115225676	115227156					Zm00001d030251	Chr1	116811699	116813033	Zm00001eb026100	chr1	116874486	116876015																	
AY109678	109.33		GRMZM2G110198	Chr1	115412522	115416244					Zm00001d030256	Chr1	117002474	117006192	Zm00001eb026120	chr1	117065317	117069159																	
mate8	109.33		GRMZM2G069098	Chr1	115188099	115191305					Zm00001d030250	Chr1	116773992	116777183	Zm00001eb026090	chr1	116836777	116840475																	
Zm00001d030248	109.33		GRMZM2G433253	Chr1	114919800	114921553					Zm00001d030248	Chr1	116499583	116507606	Zm00001eb026080	chr1	116566192	116570419																	
Zm00001d030261	109.46		AC177905.2_FG003	Chr1	115624176	115624688					Zm00001d030261	Chr1	117216448	117216960	Zm00001eb026130	chr1	117279332	117279844																	
umc1469	109.50		GRMZM2G466982	Chr1	115653428	115654009					Zm00001d030262	Chr1	117245700	117246281	Zm00001eb026140	chr1	117308584	117309165																	
LOC103638067	109.52		GRMZM2G000491	Chr1	115774456	115777351					Zm00001d030264	Chr1	117368825	117372541	Zm00001eb026180	chr1	117432298	117433669																	
cals10	109.53		GRMZM2G326643	Chr1	116022594	116097635					Zm00001d030266	Chr1	117619933	117695083	Zm00001eb026200	chr1	117682718	117758095																	
LOC100193937	109.54		GRMZM2G336678	Chr1	116489783	116512889					Zm00001d030270	Chr1	118102744	118125713	Zm00001eb026240	chr1	118172185	118178579																	
LOC103638174	109.56		GRMZM2G337242	Chr1	117162415	117172355					Zm00001d030282	Chr1	118828597	118879142	Zm00001eb026300	chr1	118834678	118886069																	
Zm00001d030297	109.58		GRMZM2G357317	Chr1	118477988	118483149					Zm00001d030297	Chr1	120263198	120268532	Zm00001eb026390	chr1	120272482	120275830																	
ring39	109.59		GRMZM2G032171	Chr1	119006832	119031391					Zm00001d030301	Chr1	120802390	120812980	Zm00001eb026420	chr1	120794567	120820357																	
cl65212_1	109.60		GRMZM2G477139	Chr1	119383836	119386152					Zm00001d030304	Chr1	121172256	121174236	Zm00001eb026440	chr1	121179456	121181663																	
Zm00001d030305	109.63		GRMZM2G003909	Chr1	119419556	119420951					Zm00001d030305	Chr1	121211811	121213196	Zm00001eb026460	chr1	121219089	121220509																	
aro4	109.66		GRMZM2G163751	Chr1	119557076	119561247					Zm00001d030308	Chr1	121352960	121354912																					
aic1	109.70		GRMZM2G129413	Chr1	119659886	119663853					Zm00001d030310	Chr1	121458401	121462310	Zm00001eb026490	chr1	121465669	121469876																	
IDP1407	109.72		GRMZM2G114356	Chr1	120006340	120007832					Zm00001d030314	Chr1	121820597	121821836	Zm00001eb026500	chr1	121828087	121829389																	
csu1138	109.75		GRMZM2G009465	Chr1	120200389	120202682					Zm00001d030316	Chr1	122018879	122020803	Zm00001eb026530	chr1	122026377	122028416																	
sacd4	109.75		GRMZM2G003368	Chr1	120854790	120856675					Zm00001d030328	Chr1	122695681	122697988	Zm00001eb026580	chr1	122703794	122705591																	
LOC100284367	109.75		GRMZM2G109814	Chr1	120254698	120255833					Zm00001d030317	Chr1	122082952	122084098	Zm00001eb026540	chr1	122090601	122091601																	
Zm00001d030323	109.75		GRMZM2G337766	Chr1	120370797	120374217					Zm00001d030323	Chr1	122199005	122202892	Zm00001eb026550	chr1	122206659	122210553																	
cl17757_1a	109.76		GRMZM2G134985	Chr1	121494809	121506105					Zm00001d030340	Chr1	123383744	123433372	Zm00001eb026650	chr1	123391671	123418454																	
kcs32	109.76		GRMZM2G063024	Chr1	121806435	121808447					Zm00001d030343	Chr1	123707667	123709274	Zm00001eb026670	chr1	123689346	123691626																	
AC210517.3_FGT003	109.76										Zm00001d030345	Chr1	123930193	123931383	Zm00001eb026680	chr1	123912382	123913569																	
umc1461	109.77		AC202185.4_FG004	Chr1	122169770	122170960					Zm00001d030346	Chr1	124047279	124048368	Zm00001eb026690	chr1	124029455	124030640																	
umc1493	109.77																																		
thx7	109.77		GRMZM2G023119	Chr1	122587640	122590008					Zm00001d030350	Chr1	124513774	124516163																					
adh3	109.77		GRMZM2G152975	Chr1	122478470	122482556					Zm00001d030348	Chr1	124401613	124405459	Zm00001eb026710	chr1	124383940	124387909																	
adh4	109.77		GRMZM2G152981	Chr1	122406823	122424462					Zm00001d030347	Chr1	124329795	124347302	Zm00001eb026700	chr1	124312197	124329851																	
ubp3	109.77		GRMZM2G009655	Chr1	123760528	123780037					Zm00001d030357	Chr1	125658990	125678568	Zm00001eb026810	chr1	125639455	125658848																	
Zm00001eb026800	109.77		GRMZM2G104794	Chr1	123324730	123325554									Zm00001eb026800	chr1	125220808	125222330																	
limtf3	109.78		GRMZM2G385236	Chr1	123983180	123985570					Zm00001d030360	Chr1	125946475	125946717																					
Zm00001eb026840	109.78		GRMZM2G030850	Chr1	124133868	124136208					Zm00001d030361	Chr1	126093183	126094591	Zm00001eb026840	chr1	126015921	126018261																	
lbd7	109.79		GRMZM2G076327	Chr1	124634056	124634920					Zm00001d030364	Chr1	126597854	126599207	Zm00001eb026870	chr1	126520695	126522031																	
LOC100282340	109.79		GRMZM2G433184	Chr1	124476818	124477884					Zm00001d030363	Chr1	126440825	126441344	Zm00001eb026860	chr1	126360704	126364311																	
eno2	109.80		GRMZM2G048371	Chr1	125081143	125088083					Zm00001d030373	Chr1	127221590	127227817	Zm00001eb026940	chr1	127127145	127133721																	
drts2	109.80		GRMZM2G421493	Chr1	127026615	127030874					Zm00001d030396	Chr1	129217168	129219137	Zm00001eb027080	chr1	129099714	129100959																	
mads87	109.80		GRMZM2G345770	Chr1	125199022	125199640					Zm00001d030375	Chr1	127342003	127343048																					
LOC100382969	109.80		GRMZM6G235245	scaffold_217	134	1024					Zm00001d030372	Chr1	126990768	126997787	Zm00001eb026930	chr1	126913442	126920750																	
cry5	109.80		GRMZM2G029519	Chr1	125386110	125403247					Zm00001d030381	Chr1	127553498	127556739	Zm00001eb026960	chr1	127437983	127462480																	
npi598	109.81		GRMZM2G417382	Chr1	135792094	135794072					Zm00001d030494	Chr1	137947283	137948557	Zm00001eb027660	chr1	139259928	139261383																	
pco103007a	109.81		GRMZM2G080530	Chr1	139470289	139474062					Zm00001d030526	Chr1	141705734	141709496	Zm00001eb027820	chr1	143022575	143026347																	
pco144716	109.81		GRMZM2G165506	Chr1	138145058	138156744					Zm00001d030509	Chr1	140364656	140376186	Zm00001eb027760	chr1	141681045	141692695																	
IDP7590	109.81		GRMZM2G004572	Chr1	141080538	141086039					Zm00001d030551	Chr1	143317201	143322716	Zm00001eb027970	chr1	144603972	144609481																	
ereb112	109.81		GRMZM2G039870	Chr1	138460613	138461461					Zm00001d030513	Chr1	140679257	140680084	Zm00001eb027780	chr1	141995828	141996856																	
gras21	109.81		GRMZM2G116638	Chr1	137434183	137440188					Zm00001d030500	Chr1	139651718	139653346	Zm00001eb027720	chr1	140967582	140973273																	
hb127	109.81		GRMZM2G119999	Chr1	139960481	139962631					Zm00001d030532	Chr1	142193026	142194949	Zm00001eb027860	chr1	143509873	143512554																	
hct4	109.81		GRMZM2G030436	Chr1	140328950	140330902					Zm00001d030542	Chr1	142569190	142571156	Zm00001eb027900	chr1	143862408	143864374																	
xyl1	109.81		GRMZM2G170839	Chr1	132575709	132578475					Zm00001d030468	Chr1	134962829	134965595	Zm00001eb027580	chr1	134766136	134769159																	
Zm00001d030471	109.81		GRMZM2G019673	Chr1	132817426	132863383					Zm00001d030471	Chr1	135204206	135245514	Zm00001eb027590	chr1	135001040	135048989																	
alt12	109.81		GRMZM5G828630	Chr1	141745664	141747718					Zm00001d030557	Chr1	143971165	143976422	Zm00001eb028030	chr1	145244204	145249389																	
EU973925	109.81		GRMZM2G162158	Chr1	140927753	140929602					Zm00001d030548	Chr1	143163535	143165480	Zm00001eb027940	chr1	144450291	144452313																	
hct14	109.81										Zm00001d030540	Chr1	142546785	142548741																					
pat3	109.81		GRMZM2G703749	Chr1	138022108	138030200					Zm00001d030508	Chr1	140235550	140243657	Zm00001eb027750	chr1	141552076	141560183																	
GRMZM2G167584	109.81		GRMZM2G167584	Chr1	139799607	139827677					Zm00001d030529	Chr1	142030972	142031706	Zm00001eb027840	chr1	143347778	143349245																	
GRMZM2G061988	109.81		GRMZM2G061988	Chr1	140048503	140065915					Zm00001d030533	Chr1	142260864	142278394	Zm00001eb027880	chr1	143577681	143590333																	
LOC100382068	109.81		GRMZM2G014872	Chr1	139605447	139608355					Zm00001d030527	Chr1	141837963	141840802	Zm00001eb027830	chr1	143154829	143157646																	
LOC100285023	109.81		GRMZM2G063824	Chr1	132177477	132179215					Zm00001d030464	Chr1	134521008	134522680	Zm00001eb027550	chr1	134342739	134359738																	
LOC103639037	109.81		GRMZM5G876022	Chr1	137962637	137964300					Zm00001d030507	Chr1	140167988	140169981	Zm00001eb027740	chr1	141484508	141486547																	
LOC103644915	109.81		GRMZM2G126913	Chr1	128990049	128996269									Zm00001eb027310	chr1	131137169	131139209																	
ppr40	109.81		GRMZM2G029514	Chr1	134184862	134186482					Zm00001d030479	Chr1	136610641	136612155	Zm00001eb027640	chr1	136404362	136406082																	
pia1	109.81		GRMZM2G077488	Chr1	138621118	138623370					Zm00001d030516	Chr1	140848955	140851172	Zm00001eb027790	chr1	142165514	142167785																	
camta7	109.81		GRMZM2G153594	Chr1	138646367	138654106					Zm00001d030518	Chr1	140875083	140886542	Zm00001eb027800	chr1	142191655	142203162																	
rccr1	109.81		GRMZM2G458824	Chr1	140993545	140996019					Zm00001d030549	Chr1	143230400	143232667	Zm00001eb027950	chr1	144516808	144519398																	
GRMZM2G159587	109.81		GRMZM2G159587	Chr1	140725401	140729947					Zm00001d030544	Chr1	142961537	142965543	Zm00001eb027920	chr1	144254698	144258711																	
Zm00001eb027960	109.81		GRMZM2G130232	Chr1	141046523	141047983					Zm00001d030550	Chr1	143283392	143284877	Zm00001eb027960	chr1	144570088	144571640																	
mips3	109.81		GRMZM2G177461	Chr1	137828271	137832006					Zm00001d030506	Chr1	140052049	140055625	Zm00001eb027730	chr1	141368531	141372151																	
Zm00001d030412	109.81		GRMZM2G412343	Chr1	128055798	128058913					Zm00001d030412	Chr1	130367380	130370495	Zm00001eb027210	chr1	130239329	130240507																	
ring40	109.81		GRMZM2G046658	Chr1	129007885	129026961					Zm00001d030421	Chr1	131281887	131300922	Zm00001eb027340	chr1	131153727	131172843																	
LOC100284706	109.81		GRMZM2G004679	Chr1	140270186	140271292					Zm00001d030537	Chr1	142487080	142487673	Zm00001eb027890	chr1	143802297	143803403																	
bzip45	109.82		GRMZM2G093020	Chr1	143352528	143354301					Zm00001d030577	Chr1	145543611	145545618	Zm00001eb028160	chr1	146796482	146798252																	
GRMZM5G811095	109.82		GRMZM5G811095	Chr1	141541611	141543989					Zm00001d030556	Chr1	143750002	143752321	Zm00001eb028020	chr1	145036857	145039254																	
LOC103639215	109.82		GRMZM2G303909	Chr1	141429095	141431500					Zm00001d030555	Chr1	143649093	143651483	Zm00001eb028010	chr1	144935898	144938673																	
Zm00001d030559	109.82		AC234187.1_FG007	Chr1	141765454	141768447					Zm00001d030559	Chr1	143990727	143994327	Zm00001eb028050	chr1	145266332	145267024																	
pum3	109.82		GRMZM2G449779	Chr1	141278761	141293996					Zm00001d030554	Chr1	143495759	143510908	Zm00001eb028000	chr1	144782591	144797780																	
Zm00001d030561	109.82		GRMZM2G053531	Chr1	141939330	141946253					Zm00001d030561	Chr1	144149596	144156576	Zm00001eb028060	chr1	145422471	145429489																	
cent1	109.83																																		
umc1076	110.00		GRMZM2G152526	Chr1	143634168	143638506					Zm00001d030579	Chr1	145820512	145824791	Zm00001eb028170	chr1	147073304	147077439																	
gpm519	110.01		GRMZM2G125052	Chr1	144824216	144827586					Zm00001d030591	Chr1	146989290	146991727	Zm00001eb028240	chr1	148226520	148243986																	
IDP8049	110.01		GRMZM2G013650	Chr1	143885142	143895725					Zm00001d030581	Chr1	146069754	146080187	Zm00001eb028190	chr1	147320966	147332980																	
pgl5	110.01		GRMZM2G452150	Chr1	144075157	144076677					Zm00001d030583	Chr1	146258219	146259989	Zm00001eb028200	chr1	147511020	147512979																	
iaa45	110.01		GRMZM2G043503	Chr1	145060534	145062927					Zm00001d030595	Chr1	147275758	147279068	Zm00001eb028260	chr1	148528465	148534499																	
AC190763.3_FG002	110.01		AC190763.3_FG002	Chr1	145500900	145501385					Zm00001d030602	Chr1	147719849	147720334																					
GRMZM2G420694	110.01		GRMZM2G420694	Chr1	145693552	145695537					Zm00001d030603	Chr1	147913601	147916107																					
smk9	110.02		GRMZM2G420723	Chr1	146516704	146519239					Zm00001d000137	B73V4_ctg65	290651	294129	Zm00001eb028360	chr1	149989864	149993703																	
LOC100192955	110.03		GRMZM2G147724	Chr1	147025018	147028413					Zm00001d030613	Chr1	148632020	148635396	Zm00001eb028390	chr1	150516416	150519752																	
mcm1	110.04		GRMZM2G065205	Chr1	147093833	147098733					Zm00001d030614	Chr1	148687296	148692171	Zm00001eb028400	chr1	150571615	150576527																	
obf1	110.07		GRMZM2G479885	Chr1	147170752	147172309					Zm00001d030617	Chr1	148806103	148807147	Zm00001eb028430	chr1	150691038	150691493																	
IDP676	110.08		GRMZM6G991599	scaffold_483	625	1248									Zm00001eb028450	chr1	150717129	150721884																	
pco087010a	110.10		GRMZM2G044354	Chr1	147355375	147364963					Zm00001d030620	Chr1	148968958	148978546	Zm00001eb028460	chr1	150853269	150862926																	
pmei18	110.20		GRMZM2G174263	Chr1	147620740	147621505					Zm00001d030622	Chr1	149243614	149244294	Zm00001eb028480	chr1	151127684	151128752																	
gun1	110.30		GRMZM2G432850	Chr1	147903774	147907639					Zm00001d030624	Chr1	149517794	149522592	Zm00001eb028500	chr1	151402123	151406347																	
mkkk40	111.38		GRMZM2G110572	Chr1	147990710	148002097					Zm00001d030626	Chr1	149605257	149616644	Zm00001eb028510	chr1	151489290	151501139																	
cl10114_1a	111.40		GRMZM2G099909	Chr1	148068680	148077614					Zm00001d030627	Chr1	149688164	149696743	Zm00001eb028520	chr1	151572510	151580995																	
ereb228	111.42										Zm00001d030631	Chr1	149836006	149838288	Zm00001eb028530	chr1	151720365	151724026																	
ppd1	111.49		GRMZM6G924006	Chr1	151734051	151736151					Zm00001d030638	Chr1	150127232	150129938	Zm00001eb028550	chr1	152011515	152014624																	
TIDP3719	111.50										Zm00001d030639	Chr1	150130069	150133395	Zm00001eb028560	chr1	152014551	152017970																	
cl13018_1	112.00		GRMZM2G135045	Chr1	148459825	148467847					Zm00001d030640	Chr1	150287615	150295914	Zm00001eb028570	chr1	152171999	152180376																	
pme42	112.30		GRMZM2G382557	Chr1	148522634	148525034					Zm00001d030643	Chr1	150363933	150365508	Zm00001eb028580	chr1	152247631	152249952																	
myb100	112.70		GRMZM2G143046	Chr1	148636099	148638077					Zm00001d030644	Chr1	150483395	150485385	Zm00001eb028610	chr1	152367682	152369855																	
pco062840	112.90		GRMZM2G048883	Chr1	149122581	149128555					Zm00001d030652	Chr1	151023944	151029791	Zm00001eb028670	chr1	152855495	152861268																	
rte1	113.00		GRMZM2G166159	Chr1	149321818	149326540					Zm00001d030656	Chr1	151221229	151225821	Zm00001eb028680	chr1	153052309	153057359																	
IDP1675	113.02		GRMZM2G424181	Chr1	149555585	149563220					Zm00001d030659	Chr1	151464303	151472649	Zm00001eb028710	chr1	153295809	153304144																	
IDP2596a	113.04		GRMZM2G030408	Chr1	149968359	149978577					Zm00001d030665	Chr1	151874653	151884858	Zm00001eb028740	chr1	153705938	153716061																	
IDP7344	113.05		GRMZM2G075456	Chr1	150233526	150235768					Zm00001d030670	Chr1	152150826	152153067	Zm00001eb028770	chr1	153981851	153984664																	
dapf1	113.08		GRMZM2G130332	Chr1	150679023	150692114					Zm00001d030677	Chr1	152629439	152642557	Zm00001eb028810	chr1	154438133	154451313																	
myb56	113.10		GRMZM2G130149	Chr1	150717400	150722235					Zm00001d030678	Chr1	152667851	152669369	Zm00001eb028820	chr1	154476509	154478109																	
jmj34	113.11		GRMZM2G102119	Chr1	150768925	150769942					Zm00001d030680	Chr1	152724478	152725407	Zm00001eb028840	chr1	154533399	154533962																	
tcptf45	113.13		GRMZM2G454571	Chr1	150943514	150945085					Zm00001d030684	Chr1	152889881	152891571	Zm00001eb028880	chr1	154698585	154702818																	
LOC103644971	113.14		GRMZM2G470527	Chr1	151006120	151009393					Zm00001d030685	Chr1	152957707	152961952	Zm00001eb028900	chr1	154768085	154769700																	
Zm00001d030690	113.14		GRMZM2G376727	Chr1	151267165	151270721					Zm00001d030690	Chr1	153223874	153227226	Zm00001eb028940	chr1	155032697	155035863																	
skl1	113.14		GRMZM2G119249	Chr1	151032331	151036077					Zm00001d030688	Chr1	152992024	152995476	Zm00001eb028930	chr1	154800696	154803995																	
Zm00001eb028920	113.14		GRMZM2G172483	Chr1	151012045	151013115									Zm00001eb028920	chr1	154772163	154772684																	
Zm00001d030691	113.14		GRMZM2G077851	Chr1	151365764	151367902					Zm00001d030691	Chr1	153357400	153359291	Zm00001eb028980	chr1	155166105	155168066																	
pco100840	113.15		GRMZM2G138419	Chr1	151744495	151751055					Zm00001d030694	Chr1	153742904	153749377	Zm00001eb029020	chr1	155557566	155558878																	
impb1	113.15		GRMZM2G138419	Chr1	151744495	151751055					Zm00001d030694	Chr1	153742904	153749377	Zm00001eb029010	chr1	155552272	155557412																	
Zm00001d030697	113.19		GRMZM2G119252	Chr1	152120619	152124438					Zm00001d030697	Chr1	154088591	154092627	Zm00001eb029040	chr1	155898223	155901896																	
umc1611	113.20		GRMZM2G132077	Chr1	152175789	152176887					Zm00001d030698	Chr1	154144314	154144817	Zm00001eb029050	chr1	155953631	155954630																	
LOC100381776	113.26		GRMZM2G116386	Chr1	152922021	152924708					Zm00001d030707	Chr1	154854396	154857054	Zm00001eb029100	chr1	156651081	156653768																	
pme34	113.30		GRMZM2G422631	Chr1	153364253	153366211					Zm00001d030712	Chr1	155196623	155201582	Zm00001eb029140	chr1	156993315	156998321																	
LOC100384344	113.34		GRMZM2G166234	Chr1	153745379	153748069					Zm00001d030720	Chr1	155599277	155601949	Zm00001eb029180	chr1	157395988	157398660																	
as1	114.00																																		
dof11	114.00		GRMZM2G123900	Chr1	154329458	154331722					Zm00001d030727	Chr1	156208993	156211073	Zm00001eb029220	chr1	158005572	158007851																	
hsp70-1	114.00		GRMZM2G056039	Chr1	154092556	154096679					Zm00001d030725	Chr1	155959518	155963384	Zm00001eb029200	chr1	157756210	157760355																	
LOC103639955	114.00		GRMZM2G029981	Chr1	154174061	154181940					Zm00001d030726	Chr1	156047635	156049640	Zm00001eb029210	chr1	157844825	157846374																	
arm3	114.20		GRMZM2G092652	Chr1	154521859	154534227					Zm00001d030732	Chr1	156409808	156421643	Zm00001eb029250	chr1	158206542	158218377																	
rs2	114.25		GRMZM2G403620	Chr1	154968134	154972600					Zm00001d030737	Chr1	156875930	156877042	Zm00001eb029300	chr1	158672333	158676799																	
cp3	115.00																																		
mybr42	115.00		GRMZM2G369993	Chr1	155061845	155063380					Zm00001d030738	Chr1	156958973	156962027	Zm00001eb029320	chr1	158757439	158757783																	
SCL30	115.03		GRMZM2G065298	Chr1	155210706	155212815					Zm00001d030739	Chr1	157118914	157125507	Zm00001eb029330	chr1	158897940	158904572																	
pam1	115.11		GRMZM2G311233	Chr1	155439969	155445227					Zm00001d030741	Chr1	157310472	157315669	Zm00001eb029370	chr1	159089529	159096986																	
gras3	115.15		GRMZM2G179325	Chr1	155690714	155694188					Zm00001d030744	Chr1	157566433	157567911	Zm00001eb029390	chr1	159344614	159347763																	
aaap3	115.18		GRMZM2G017170	Chr1	156233140	156235984					Zm00001d030751	Chr1	158118006	158120990	Zm00001eb029450	chr1	159869243	159872634																	
Zm00001d030759	115.18		GRMZM2G093736	Chr1	156502164	156504722					Zm00001d030759	Chr1	158390476	158392548	Zm00001eb029470	chr1	160141431	160143977																	
si683017d09	115.19		GRMZM2G119248	Chr1	156545379	156558520					Zm00001d030760	Chr1	158436910	158446284	Zm00001eb029510	chr1	160189858	160197681																	
A0A317YGE4	115.19														Zm00001eb029490	chr1	160183765	160189761																	
si603029f11	115.20		GRMZM2G074393	Chr1	157068826	157069951					Zm00001d030762	Chr1	158943124	158944072	Zm00001eb029520	chr1	160694463	160697872																	
pap23	115.20		GRMZM2G315848	Chr1	157080377	157084090					Zm00001d030765	Chr1	158954900	158958936	Zm00001eb029530	chr1	160706233	160710253																	
dgk1	115.30		GRMZM2G076911	Chr1	157150468	157155390					Zm00001d030770	Chr1	159024989	159029990	Zm00001eb029550	chr1	160776138	160781395																	
tlc2	115.32		GRMZM2G429128	Chr1	157189380	157193091					Zm00001d030772	Chr1	159066629	159067242	Zm00001eb029570	chr1	160817334	160821304																	
umc1626	115.33		GRMZM5G801886	Chr1	157148809	157149892																													
pco093723	115.34		GRMZM2G086887	Chr1	157239313	157254106					Zm00001d030774	Chr1	159112614	159127146	Zm00001eb029580	chr1	160863893	160878481																	
miR482	115.36		zma-MIR482	Chr1	157998226	157998347					zma-MIR482	Chr1	152032345	152032376																					
bsd2	115.40		GRMZM2G062788	Chr1	158329236	158340592					Zm00001d030786	Chr1	159716363	159727649	Zm00001eb029690	chr1	161998347	162009802																	
Zm00001d030795	115.41		GRMZM2G429807	Chr1	158645753	158649815					Zm00001d030795	Chr1	160029616	160033712	Zm00001eb029730	chr1	162311649	162315991																	
LOC100217020	115.46		GRMZM2G429759	Chr1	158703578	158708645					Zm00001d030796	Chr1	160087365	160092610	Zm00001eb029740	chr1	162369428	162374720																	
arftf33	115.50		GRMZM2G179121	Chr1	158940439	158942519					Zm00001d030801	Chr1	160336523	160338525	Zm00001eb029770	chr1	162618592	162620659																	
arftf32	115.60		GRMZM2G181254	Chr1	159192608	159194386					Zm00001d030803	Chr1	160596383	160597405																					
LOC103640438	115.66		GRMZM2G137786	Chr1	159968117	160031617					Zm00001d030814	Chr1	161427099	161429557																					
osc1	115.70		GRMZM2G081151	Chr1	160303288	160473130					Zm00001d030819	Chr1	161754533	161777747	Zm00001eb029860	chr1	163983814	164059246																	
osc9	115.80		GRMZM2G100060	Chr1	160540147	160608758					Zm00001d030824	Chr1	162009110	162015756	Zm00001eb029890	chr1	164295963	164297426																	
gras36	115.87		GRMZM2G348780	Chr1	161047325	161049647					Zm00001d030838	Chr1	162461903	162463566																					
ring41	115.89		GRMZM5G878732	Chr1	161322245	161324146					Zm00001d030843	Chr1	162767578	162769472	Zm00001eb030010	chr1	165030710	165032761																	
cyp83	115.93		GRMZM2G130755	Chr1	161549945	161551740					Zm00001d030845	Chr1	162877934	162879729	Zm00001eb030030	chr1	165140909	165142913																	
nrat4	115.95		GRMZM2G028036	Chr1	161471767	161476070					Zm00001d030846	Chr1	162956258	162960613	Zm00001eb030050	chr1	165219404	165223736																	
bag1	115.97		GRMZM2G075631	Chr1	161636901	161638031					Zm00001d030848	Chr1	163149522	163151273	Zm00001eb030080	chr1	165413439	165414521																	
cyc34	115.98		GRMZM2G060690	Chr1	161631259	161634079					Zm00001d030849	Chr1	163154468	163156940	Zm00001eb030090	chr1	165417506	165420867																	
Zm00001d030850	115.99		GRMZM2G426125	Chr1	161698212	161698820					Zm00001d030850	Chr1	163161092	163161700																					
sw1	116.00																																		
cyp52	116.08		GRMZM2G132450	Chr1	161722413	161724923					Zm00001d030851	Chr1	163238999	163241090	Zm00001eb030110	chr1	165501867	165504184																	
az19D1	116.10		AF546187.1_FG001	Chr1	161790710	161791432					Zm00001d030852	Chr1	163308047	163308769	Zm00001eb030130	chr1	165571075	165571966																	
az19D2	116.20		AF546187.1_FG007	Chr1	162006911	162007636					Zm00001d030855	Chr1	163526102	163526827	Zm00001eb030160	chr1	165789110	165790573																	
cyp71	116.22		AF546187.1_FG011	Chr1	162119180	162120882					Zm00001d030856	Chr1	163637977	163639965	Zm00001eb030170	chr1	165900780	165903171																	
