MaizeGDB: Details of Map Genetic 5
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-HP301-REFERENCE-NAM-1.0_gene_model	Zm-HP301-REFERENCE-NAM-1.0_chr	Zm-HP301-REFERENCE-NAM-1.0_start	Zm-HP301-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence
LOC103626685	77.92						Zm00001d015444	Chr5	90487714	90495272	Zm00001eb233590	chr5	90248339	90249754																					
LOC103626684	77.93		GRMZM2G346693	Chr5	88267222	88273131	Zm00001d015445	Chr5	90494901	90498102	Zm00001eb233600	chr5	90254446	90255861																					
LOC103626686	77.93		GRMZM5G893864	Chr5	88225911	88238086	Zm00001d015446	Chr5	90502234	90559505	Zm00001eb233610	chr5	90261405	90311893																					
pco116085	77.94		GRMZM2G136599	Chr5	88643464	88645956	Zm00001d015449	Chr5	90918110	90920511	Zm00001eb233640	chr5	90677292	90679744																					
sun1	77.95		GRMZM2G109818	Chr5	88695793	88701952	Zm00001d015450	Chr5	90962311	90968591	Zm00001eb233650	chr5	90721578	90727950																					
T1-5(8782)(5)	78.00																																		
sbp1	78.00		GRMZM2G111136	Chr5	88828896	88831814	Zm00001d015451	Chr5	91106167	91109100	Zm00001eb233670	chr5	90865287	90868501																					
bm5	78.10		GRMZM2G075333	Chr5	89189678	89194264	Zm00001d015459	Chr5	91459227	91463857	Zm00001eb233720	chr5	91220184	91225235																					
pza03049	78.15		GRMZM2G058252	Chr5	89351903	89357717	Zm00001d015460	Chr5	91587913	91590987	Zm00001eb233730	chr5	91349582	91352285																					
fla13	78.17		GRMZM2G134528	Chr5	89324850	89325820	Zm00001d015461	Chr5	91616223	91617101	Zm00001eb233740	chr5	91377628	91378645																					
caspl29	78.21		GRMZM2G150864	Chr5	89446499	89447894	Zm00001d015463	Chr5	91733849	91735353	Zm00001eb233760	chr5	91495165	91496878																					
col18	78.30		GRMZM2G148772	Chr5	89751516	89753301	Zm00001d015468	Chr5	91970566	91972678	Zm00001eb233790	chr5	91732205	91734017																					
dsy2	78.31		AC210848.3_FG004	Chr5	89755508	89760884	Zm00001d015469	Chr5	91973542	91980501	Zm00001eb233800	chr5	91735021	91741995																					
cent5	78.33																																		
bnlg1892c	78.33																																		
T2-5a(5)	78.50																																		
umc1629	78.51		GRMZM6G998221	scaffold_179	348	1708	Zm00001d015476	Chr5	92463123	92463761	Zm00001eb233860	chr5	92224335	92225595																					
umc1591	78.53		GRMZM2G083526	Chr5	90378698	90384920	Zm00001d015477	Chr5	92669605	92675745	Zm00001eb233880	chr5	92430638	92437169																					
pco089793	78.55		GRMZM2G081144	Chr5	90602005	90606551	Zm00001d015484	Chr5	92898104	92902620	Zm00001eb233910	chr5	92659364	92663985																					
tubtf8	78.57		GRMZM2G472945	Chr5	90798763	90801363	Zm00001d015485	Chr5	93095266	93097731	Zm00001eb233920	chr5	92856583	92859143																					
si945006c11b	78.58		GRMZM2G363982	Chr5	90886329	90897111	Zm00001d015491	Chr5	93191094	93191763	Zm00001eb233930	chr5	92943498	92953356																					
atg11b	78.60		GRMZM2G119571	Chr5	91301942	91306920	Zm00001d015493	Chr5	93597362	93602535	Zm00001eb233940	chr5	93358673	93363811																					
si687072e08	78.62		GRMZM2G174785	Chr5	91619825	91652397	Zm00001d015499	Chr5	93927355	93960022	Zm00001eb234030	chr5	93681143	93713717																					
aco6	78.62		GRMZM2G364988	Chr5	91471976	91476555	Zm00001d015497	Chr5	93775604	93780255	Zm00001eb234020	chr5	93539263	93540315																					
prh81	78.63		GRMZM2G360455	Chr5	91835196	91851583	Zm00001d015504	Chr5	94160702	94167041	Zm00001eb234050	chr5	93913297	93920887																					
hagtf24	78.64		GRMZM2G479325	Chr5	92208775	92210342	Zm00001d015508	Chr5	94528626	94530376	Zm00001eb234070	chr5	94282375	94284410																					
cmu2	78.65		GRMZM2G179454	Chr5	92220297	92223624	Zm00001d015509	Chr5	94540334	94543558	Zm00001eb234080	chr5	94294054	94297378																					
miR156d	78.66		zma-MIR156d	Chr5	92406233	92406351	zma-MIR156d	Chr5	94725847	94725965	Zm00001eb234100	chr5	94479571	94480043																					
Zm00001d015513	78.66		GRMZM2G057328	Chr5	92390590	92393745	Zm00001d015513	Chr5	94710366	94713355	Zm00001eb234090	chr5	94464068	94467086																					
wrky48	78.68		GRMZM2G120320	Chr5	92841738	92843574	Zm00001d015515	Chr5	95183890	95185688	Zm00001eb234120	chr5	94906730	94908994																					
rz87(clp)	78.70		GRMZM2G060561	Chr5	93267542	93273619	Zm00001d015520	Chr5	95614609	95620842	Zm00001eb234160	chr5	95338002	95344275																					
glk24	78.71		GRMZM2G060485	Chr5	93274325	93277370	Zm00001d015521	Chr5	95621404	95625832	Zm00001eb234170	chr5	95344628	95349156																					
umc2300	78.73		GRMZM2G037308	Chr5	93615000	93618799	Zm00001d015527	Chr5	96005409	96009168	Zm00001eb234200	chr5	95725661	95729620																					
pco078090	78.76		GRMZM2G171891	Chr5	94208768	94212269	Zm00001d015544	Chr5	96640723	96642773	Zm00001eb234250	chr5	96361107	96363222																					
knox6	78.78		GRMZM2G370332	Chr5	94481164	94484870	Zm00001d015549	Chr5	96925401	96928976	Zm00001eb234270	chr5	96645823	96649476																					
platz9	78.79		GRMZM2G070295	Chr5	95257993	95259419	Zm00001d015560	Chr5	97682870	97684322	Zm00001eb234360	chr5	97403259	97404711																					
pat25	78.79		GRMZM2G409934	Chr5	95002877	95010724	Zm00001d015557	Chr5	97437119	97444093	Zm00001eb234330	chr5	97163546	97163928																					
ank38	78.79		GRMZM2G109914	Chr5	94976088	94982396	Zm00001d015556	Chr5	97412274	97415263	Zm00001eb234320	chr5	97132641	97136902																					
cl26792_1	78.80		GRMZM2G462639	Chr5	96430593	96440162	Zm00001d015571	Chr5	98866461	98875915	Zm00001eb234410	chr5	98586947	98596578																					
vpp7	78.80		GRMZM2G069095	Chr5	95940968	95948316	Zm00001d015569	Chr5	98404993	98412468	Zm00001eb234390	chr5	98125532	98132712																					
sps4	78.80		GRMZM2G462613	Chr5	96392076	96399771	Zm00001d015570	Chr5	98828050	98835540	Zm00001eb234400	chr5	98548509	98556324																					
LOC103628355	78.80		GRMZM2G148052	Chr5	96567989	96569945	Zm00001d015578	Chr5	99040396	99041931	Zm00001eb234450	chr5	98752806	98754615																					
LOC100382160	78.80		GRMZM2G012865	Chr5	96603392	96605181	Zm00001d015579	Chr5	99075510	99077695	Zm00001eb234470	chr5	98787880	98789945																					
Zm00001eb234380	78.80		GRMZM2G069316	Chr5	95937135	95940667	Zm00001d015568	Chr5	98401135	98404663	Zm00001eb234380	chr5	98121754	98125232																					
pco147781	78.81		GRMZM2G145500	Chr5	98679719	98688903	Zm00001d015613	Chr5	101139084	101148261	Zm00001eb234680	chr5	100852676	100861874																					
cl16102_1f	78.81		GRMZM2G158736	Chr5	98556496	98559969	Zm00001d015611	Chr5	101017647	101019586	Zm00001eb234650	chr5	100729714	100733132																					
myb50	78.81		GRMZM2G145444	Chr5	98692287	98694146	Zm00001d015614	Chr5	101152012	101152926	Zm00001eb234690	chr5	100865469	100867079																					
thx13	78.81		GRMZM2G134439	Chr5	98309006	98312767	Zm00001d015605	Chr5	100769867	100773584	Zm00001eb234620	chr5	100435205	100487158																					
mterf15	78.81		GRMZM2G119921	Chr5	97211503	97213224	Zm00001d015585	Chr5	99710472	99711659	Zm00001eb234500	chr5	99415652	99424449																					
mterf16	78.81		GRMZM2G395850	Chr5	160553137	160554858					Zm00001eb234500	chr5	99415652	99424449																					
gpx8	78.81		GRMZM2G038001	Chr5	98488964	98492602	Zm00001d015609	Chr5	100949055	100952879	Zm00001eb234640	chr5	100662751	100673191																					
C4JAI3	78.81		GRMZM2G132358	Chr5	97745415	97747457	Zm00001d015599	Chr5	100240887	100242904	Zm00001eb234600	chr5	99954272	99956534																					
Zm00001eb234580	78.81		GRMZM2G431291	Chr5	97715785	97744821	Zm00001d015594	Chr5	100211236	100226496	Zm00001eb234580	chr5	99925094	99948382																					
Zm00001eb234560	78.81		GRMZM2G401463	Chr5	97635049	97637627	Zm00001d015592	Chr5	100130720	100132782	Zm00001eb234560	chr5	99844000	99846102																					
bm1	78.82		GRMZM5G844562	Chr5	99030278	99034633	Zm00001d015618	Chr5	101493553	101498009	Zm00001eb234730	chr5	101207388	101211688																					
umc1563	78.82										Zm00001eb234780	chr5	101716724	101716960																					
IDP8262	78.82		GRMZM2G103937	Chr5	99960879	99966861	Zm00001d015637	Chr5	102453379	102459358	Zm00001eb234850	chr5	102143059	102148987																					
LOC100284943	78.82		GRMZM2G417945	Chr5	99445552	99447164	Zm00001d015623	Chr5	101918442	101919917	Zm00001eb234750	chr5	101616810	101621419																					
Zm00001eb234840	78.82		GRMZM2G137507	Chr5	99874751	99876009	Zm00001d015636	Chr5	102367242	102368549	Zm00001eb234840	chr5	102056714	102058336																					
Zm00001d015628	78.82		GRMZM2G076263	Chr5	99537972	99540190	Zm00001d015628	Chr5	102015204	102017402	Zm00001eb234790	chr5	101717310	101718703																					
ps1	78.83		GRMZM5G849107	Chr5	100737438	100739288	Zm00001d015651	Chr5	103229657	103231129	Zm00001eb234930	chr5	102919065	102921177																					
umc2301a	78.83																																		
ereb138	78.83		GRMZM2G079653	Chr5	100107595	100108704	Zm00001d015639	Chr5	102583546	102584181	Zm00001eb234870	chr5	102272823	102274000																					
bzip36	78.83		GRMZM2G080111	Chr5	101670496	101671080	Zm00001d015664	Chr5	104209488	104209994	Zm00001eb235050	chr5	103867079	103867914																					
aaap34	78.83		GRMZM2G332562	Chr5	101334187	101337762	Zm00001d015658	Chr5	103850842	103855288	Zm00001eb234980	chr5	103527416	103531290																					
saur53	78.83		GRMZM2G379490	Chr5	101622758	101623105	Zm00001d015661	Chr5	104161775	104162116	Zm00001eb234990	chr5	103819377	103820090																					
rmgf1	78.83		GRMZM2G065781	Chr5	100771504	100772641	Zm00001d015654	Chr5	103263345	103264414	Zm00001eb234940	chr5	102953531	102954707																					
LOC100281969	78.83		GRMZM2G139650	Chr5	101209448	101218901	Zm00001d015657	Chr5	103724521	103733837	Zm00001eb234970	chr5	103400307	103409679																					
Zm00001d015650	78.83		AC205536.3_FG005	Chr5	100732201	100732632	Zm00001d015650	Chr5	103224054	103224485																									
Zm00001eb234890	78.83		GRMZM2G055735	Chr5	100324102	100327617	Zm00001d015641	Chr5	102808232	102808856	Zm00001eb234890	chr5	102497829	102504766																					
Zm00001eb234920	78.83		GRMZM2G103070	Chr5	100723578	100737252	Zm00001d015649	Chr5	103214832	103229223	Zm00001eb234920	chr5	102904638	102918971																					
GRMZM2G080129	78.83		GRMZM2G080129	Chr5	101627576	101629278	Zm00001d015662	Chr5	104166856	104167719	Zm00001eb235000	chr5	103824472	103826094																					
npi571	78.84		GRMZM2G041878	Chr5	105681405	105818171	Zm00001d015692	Chr5	108267184	108280967	Zm00001eb235200	chr5	107929306	107980823																					
hb27	78.84		GRMZM2G426140	Chr5	102549951	102556475	Zm00001d015671	Chr5	105092463	105093878	Zm00001eb235090	chr5	104765397	104766304																					
cry7	78.84		GRMZM2G052821	Chr5	110498744	110551861	Zm00001d015724	Chr5	113204814	113207150	Zm00001eb235370	chr5	112891302	112892014																					
clc7	78.84		GRMZM2G344163	Chr5	106298743	106301180	Zm00001d015702	Chr5	108882599	108887800	Zm00001eb235240	chr5	108542805	108572765																					
Zm00001d015699	78.84		GRMZM2G170573	Chr5	106266915	106267350	Zm00001d015699	Chr5	108852400	108854531																									
Zm00001eb235320	78.84		GRMZM2G005592	Chr5	107795026	107811651	Zm00001d015714	Chr5	110417344	110434110	Zm00001eb235320	chr5	110102282	110119169																					
LOC100282773	78.84		GRMZM2G102189	Chr5	106135615	106166203	Zm00001d015698	Chr5	108724278	108725515	Zm00001eb235230	chr5	108409233	108439785																					
pco119438	78.85		GRMZM2G335019	Chr5	111376592	111378825	Zm00001d015730	Chr5	114127797	114128849	Zm00001eb235420	chr5	113723716	113726224																					
IDP8659	78.85		GRMZM2G394311	Chr5	111414092	111417166	Zm00001d015731	Chr5	114164209	114167250	Zm00001eb235430	chr5	113761486	113764661																					
LOC100192934	78.85		GRMZM2G006107	Chr5	111290072	111300850	Zm00001d015729	Chr5	114029491	114040449	Zm00001eb235400	chr5	113626774	113637765																					
umc1283	78.86		GRMZM2G094353	Chr5	112033688	112034938	Zm00001d015737	Chr5	114786885	114788112	Zm00001eb235450	chr5	114384308	114385558																					
bzip61	78.90		GRMZM2G137046	Chr5	112670143	112675317	Zm00001d015743	Chr5	115451296	115456402	Zm00001eb235510	chr5	115028621	115033744																					
bt1	79.00		GRMZM2G144081	Chr5	112964229	112966353	Zm00001d015746	Chr5	115748852	115750963	Zm00001eb235570	chr5	115312484	115314571																					
npi408	79.00		GRMZM2G085587	Chr5	114124996	114128111	Zm00001d015758	Chr5	116966419	116976384	Zm00001eb235630	chr5	116504746	116511803																					
umc1860	79.00		GRMZM2G056661	Chr5	113766130	113816550	Zm00001d015754	Chr5	116594014	116651674	Zm00001eb235620	chr5	116132341	116188515																					
ereb46	79.00		GRMZM2G085678	Chr5	114131334	114133006	Zm00001d015759	Chr5	116972852	116973938	Zm00001eb235640	chr5	116511210	116512295																					
LOC103628395	79.00		GRMZM2G460864	Chr5	113542519	113546885	Zm00001d015750	Chr5	116372891	116373423	Zm00001eb235600	chr5	115906919	115910513																					
mybr138	79.00		GRMZM5G877874	Chr5	114772987	114775454	Zm00001d015765	Chr5	117619917	117651075	Zm00001eb235700	chr5	117158455	117189485																					
prc4	79.01		GRMZM2G171604	Chr5	116903623	116911871	Zm00001d015788	Chr5	119713521	119721731	Zm00001eb235880	chr5	119236422	119244606																					
sbt28	79.01		GRMZM2G145242	Chr5	118335527	118342841	Zm00001d015798	Chr5	121139511	121146584	Zm00001eb235950	chr5	120662946	120670239																					
cal6	79.01		GRMZM2G142693	Chr5	119485038	119493115	Zm00001d000256	B73V4_ctg100	4352	11693	Zm00001eb236060	chr5	121820690	121828217																					
ebf2	79.01		GRMZM2G069649	Chr5	115766152	115769185	Zm00001d015778	Chr5	118613302	118616603	Zm00001eb235810	chr5	118136109	118139452																					
mads80	79.01		GRMZM2G396169	Chr5	115428157	115439461	Zm00001d015775	Chr5	118262810	118266561	Zm00001eb235750	chr5	117778213	117789265																					
hsp29	79.01		GRMZM5G803365	Chr5	115626336	115627652	Zm00001d015777	Chr5	118463714	118464650	Zm00001eb235800	chr5	117986616	117987732																					
grf23	79.01		GRMZM5G860209	Chr5	115936771	115937245	Zm00001d015779	Chr5	118773282	118856166	Zm00001eb235830	chr5	118375016	118377042																					
LOC100384645	79.01		GRMZM5G899825	Chr5	115932092	115933630																													
LOC109939524	79.01		GRMZM2G038174	Chr5	115923590	115924748																													
Zm00001d015783	79.01		GRMZM2G117872	Chr5	116379001	116381556	Zm00001d015783	Chr5	119208644	119210852	Zm00001eb235850	chr5	118731457	118733665																					
ftip14	79.01		GRMZM2G470666	Chr5	116937650	116973724	Zm00001d015789	Chr5	119747395	119786599	Zm00001eb235890	chr5	119270288	119270878																					
gras17	79.02		GRMZM2G143433	Chr5	120520869	120522119	Zm00001d015815	Chr5	123354228	123355478	Zm00001eb236120	chr5	122878685	122883902																					
Zm00014a012929	79.02		GRMZM2G138349	Chr5	118709298	118712471	Zm00001d015804	Chr5	121512285	121515477	Zm00001eb235980	chr5	121035763	121039091									Zm00014a012929	chr5	120361860	120365032									
Zm00001eb236130	79.02		GRMZM2G007757	Chr5	120611360	120615986	Zm00001d015816	Chr5	123446941	123451403	Zm00001eb236130	chr5	122971689	122976332																					
pld18	79.02		GRMZM2G180898	Chr5	120775556	120785889	Zm00001d015818	Chr5	123624245	123628677	Zm00001eb236140	chr5	123143696	123154120	Zm00024ab240320	chr5	118897388	118906633																	
faah1	79.02		GRMZM2G093359	Chr5	120821671	120829479	Zm00001d015819	Chr5	123665514	123673217	Zm00001eb236160	chr5	123190350	123198113																					
LOC109939526	79.02		GRMZM2G081914	Chr5	119841180	119843163																													
GRMZM2G070068	79.02		GRMZM2G070068	Chr5	120176763	120177584																													
pgl21	79.03		GRMZM2G151755	Chr5	121087510	121089347	Zm00001d015821	Chr5	123917296	123923030	Zm00001eb236180	chr5	123445830	123447885																					
pgl25	79.03		GRMZM2G367110	Chr5	121047594	121049223	Zm00001d015820	Chr5	123889597	123890257	Zm00001eb236170	chr5	123414501	123415149																					
bsdtf5	79.04		GRMZM2G451806	Chr5	121089794	121095789	Zm00001d015822	Chr5	123923364	123931531	Zm00001eb236230	chr5	123748451	123748918																					
Zm00001d015824	79.04		GRMZM2G359409	Chr5	121211433	121213644	Zm00001d015824	Chr5	124309680	124312147	Zm00001eb236240	chr5	123844797	123845560																					
umc1557b	79.05										Zm00001eb236260	chr5	123998258	124017118																					
pgl20	79.05		GRMZM2G374375	Chr5	121216432	121218277	Zm00001d015825	Chr5	124310981	124316460	Zm00001eb236250	chr5	123845903	123849788																					
hma7	79.06		GRMZM2G029951	Chr5	121445070	121449579	Zm00001d015829	Chr5	124544275	124549833	Zm00001eb236270	chr5	124077732	124083350																					
GRMZM2G701784	79.06		GRMZM2G701784	Chr5	121501105	121501644	Zm00001d015830	Chr5	124609089	124609628																									
sap7	79.07		GRMZM2G087719	Chr5	122517748	122520143	Zm00001d015842	Chr5	125657037	125657552	Zm00001eb236360	chr5	125169567	125171168																					
dnaj140	79.07		GRMZM2G129987	Chr5	121835217	121839281	Zm00001d015839	Chr5	124936314	124940355	Zm00001eb236340	chr5	124469886	124474031																					
cl8338_1	79.08		GRMZM2G331374	Chr5	122688654	122691993	Zm00001d015844	Chr5	125776420	125793418	Zm00001eb236370	chr5	125289713	125307196																					
bzip28	79.08		GRMZM2G029979	Chr5	122676355	122688947	Zm00001d015846	Chr5	125802400	125805852	Zm00001eb236380	chr5	125306380	125319625																					
Zm00001eb236410	79.09		GRMZM2G145376	Chr5	123124380	123142092	Zm00001d015851	Chr5	126267825	126285618	Zm00001eb236410	chr5	125781209	125799084																					
Zm00001eb236390	79.09		GRMZM2G055551	Chr5	122984899	122985129	Zm00001d015848	Chr5	126128865	126130282	Zm00001eb236390	chr5	125642999	125643711																					
lox11	79.10		GRMZM2G009479	Chr5	123239668	123243697	Zm00001d015852	Chr5	126372618	126376084	Zm00001eb236430	chr5	125886606	125889412																					
msp2	79.11		GRMZM2G306771	Chr5	123289050	123293128	Zm00001d015853	Chr5	126421597	126426765	Zm00001eb236440	chr5	125934758	125940088																					
cts1	79.12		GRMZM2G063851	Chr5	123666786	123673425	Zm00001d015856	Chr5	126813401	126819662	Zm00001eb236450	chr5	126326815	126333077																					
LOC100381866	79.12		GRMZM2G090801	Chr5	124117633	124121231																													
Zm00001d015860	79.12		GRMZM2G390385	Chr5	123870148	123871107	Zm00001d015860	Chr5	127015024	127015847	Zm00001eb236480	chr5	126527683	126529312																					
Zm00001eb236470	79.12		GRMZM2G064171	Chr5	123718011	123721546	Zm00001d015857	Chr5	126864198	126867730	Zm00001eb236470	chr5	126378451	126380486																					
platz10	79.13		GRMZM2G323553	Chr5	124275861	124276933	Zm00001d015868	Chr5	127438923	127439977	Zm00001eb236560	chr5	126923648	126924720																					
bub2	79.13		GRMZM2G009913	Chr5	123934147	123937589	Zm00001d015863	Chr5	127079675	127082755	Zm00001eb236510	chr5	126593153	126596401																					
LOC100217054	79.14		GRMZM2G039463	Chr5	124280019	124282771	Zm00001d015870	Chr5	127454319	127459503																									
LOC100284233	79.16		GRMZM2G038126	Chr5	125838970	125854508	Zm00001d015886	Chr5	129025903	129041194	Zm00001eb236650	chr5	128512083	128527497																					
Zm00001d015889	79.16		GRMZM2G041247	Chr5	126122191	126125707	Zm00001d015889	Chr5	129318041	129320422																									
Zm00001d015891	79.17		GRMZM5G816031	Chr5	126427612	126429895	Zm00001d015891	Chr5	129629958	129632006	Zm00001eb236670	chr5	129116112	129118441																					
Zm00001d015893	79.18		GRMZM2G029258	Chr5	126485113	126490643	Zm00001d015893	Chr5	129691571	129697192	Zm00001eb236680	chr5	129177799	129183447																					
fla14	79.18		GRMZM2G109291	Chr5	126733036	126734528	Zm00001d015899	Chr5	129904219	129905109	Zm00001eb236720	chr5	129418117	129419359																					
Zm00001d015897	79.18		GRMZM2G139603	Chr5	126636856	126639527	Zm00001d015897	Chr5	129836750	129839310																									
sweet4a	79.19		GRMZM2G000812	Chr5	126853038	126855915	Zm00001d015905	Chr5	130027454	130030346	Zm00001eb236760	chr5	129541590	129544599																					
fla15	79.19		GRMZM2G082517	Chr5	126810483	126811529	Zm00001d015901	Chr5	129970267	129970968	Zm00001eb236740	chr5	129483935	129485375																					
sweet4c	79.20		GRMZM2G137954	Chr5	127500983	127504476	Zm00001d015912	Chr5	130787030	130789864	Zm00001eb236810	chr5	130301465	130304276																					
sweet4b	79.22		GRMZM2G144581	Chr5	127638855	127642404	Zm00001d015914	Chr5	130947371	130950710	Zm00001eb236820	chr5	130441250	130444600																					
TIDP9177	79.23		GRMZM2G103864	Chr5	127972719	127973405	Zm00001d015918	Chr5	131295192	131295575	Zm00001eb236840	chr5	130788793	130789634																					
sbp31	79.23		GRMZM2G156621	Chr5	131224969	131228486																													
pcap1	79.24		GRMZM2G071089	Chr5	128142052	128144004	Zm00001d015921	Chr5	131469616	131471554	Zm00001eb236850	chr5	130963597	130965614																					
gbptf2	79.24		GRMZM2G065506	Chr5	131400636	131401747																													
pco127259	79.25		GRMZM2G484880	Chr5	129220808	129236264	Zm00001d015932	Chr5	132599003	132614556	Zm00001eb236910	chr5	132080910	132096514																					
pme13	79.25		GRMZM2G008593	Chr5	129258722	129261199	Zm00001d015934	Chr5	132637131	132639444	Zm00001eb236930	chr5	132118839	132121525																					
pco070355	79.26						Zm00001d015936	Chr5	132744051	132744739	Zm00001eb236940	chr5	132226010	132226705																					
pub44	79.26		GRMZM2G132671	Chr5	129448655	129454097	Zm00001d015939	Chr5	132838540	132842358																									
si496017h02	79.27		GRMZM2G091293	Chr5	130024951	130027888	Zm00001d015945	Chr5	133441549	133442802	Zm00001eb236980	chr5	132910044	132913055																					
sina3	79.27		GRMZM2G081075	Chr5	130395456	130399380	Zm00001d015952	Chr5	133821714	133825615	Zm00001eb237020	chr5	133279234	133283249																					
ms5	79.28		GRMZM2G166330	Chr5	130858343	130861316	Zm00001d015960	Chr5	134287992	134290874	Zm00001eb237060	chr5	133746266	133749248																					
gpm720	79.28		GRMZM2G179981	Chr5	130695952	130704402	Zm00001d015956	Chr5	134163807	134172264	Zm00001eb237050	chr5	133621393	133629308																					
acb6	79.28		GRMZM2G060781	Chr5	130724170	130725093	Zm00001d015957	Chr5	134188430	134189353																									
Zm00001d015955	79.28		GRMZM2G118098	Chr5	130532791	130538994	Zm00001d015955	Chr5	133998288	134004395	Zm00001eb237040	chr5	133455893	133462000																					
pco064771	79.29		GRMZM2G174572	Chr5	130986092	130995528	Zm00001d015962	Chr5	134444332	134453675	Zm00001eb237090	chr5	133902598	133912103																					
xth17	79.29		GRMZM5G886185	Chr5	132694441	132695993	Zm00001d015977	Chr5	135998432	136000046	Zm00001eb237240	chr5	135423030	135424628																					
mate33	79.29		GRMZM2G174458	Chr5	130997111	130999626	Zm00001d015963	Chr5	134455335	134457795	Zm00001eb237100	chr5	133913550	133916209																					
mate34	79.29		GRMZM2G078129	Chr5	131077278	131079494	Zm00001d015964	Chr5	134537160	134539561	Zm00001eb237110	chr5	133995294	133997759																					
LOC103626912	79.29		GRMZM2G081268	Chr5	132536234	132546408	Zm00001d015975	Chr5	135870035	135873819	Zm00001eb237220	chr5	135294522	135297875																					
LOC100281139	79.29		GRMZM2G081268	Chr5	132536234	132546408	Zm00001d015976	Chr5	135877976	135880055	Zm00001eb237230	chr5	135302445	135304856																					
Zm00001d015971	79.29		GRMZM2G176922	Chr5	131770373	131773386	Zm00001d015971	Chr5	135066142	135071626	Zm00001eb237190	chr5	134524486	134529978																					
gbptf22	79.29		GRMZM2G021015	Chr5	131214942	131216088	Zm00001d015965	Chr5	134675256	134676923	Zm00001eb237120	chr5	134132583	134135408																					
sxd1	79.30		GRMZM2G009785	Chr5	133540574	133557141	Zm00001d015985	Chr5	136805708	136822194	Zm00001eb237270	chr5	136230320	136247279																					
GRMZM2G105494	79.30		GRMZM2G105494	Chr5	133369558	133377978	Zm00001d015984	Chr5	136647323	136655750	Zm00001eb237260	chr5	136071834	136080405																					
pco137163	79.31		GRMZM2G049021	Chr5	133656772	133665057	Zm00001d015986	Chr5	136921862	136930137	Zm00001eb237290	chr5	136346448	136347365																					
cl61186_-1	79.32		GRMZM2G019553	Chr5	133812384	133815288	Zm00001d015988	Chr5	137084108	137087008	Zm00001eb237310	chr5	136508709	136511615																					
cpp9	79.33		GRMZM2G388148	Chr5	134229441	134245208	Zm00001d015990	Chr5	137506224	137522034	Zm00001eb237340	chr5	136930624	136946392																					
pco097710a	79.34		GRMZM2G459755	Chr5	134525262	134533010	Zm00001d015992	Chr5	137788352	137823207	Zm00001eb237390	chr5	137219483	137247667																					
LOC100304071	79.34		GRMZM2G012200	Chr5	134831815	134838057	Zm00001d015997	Chr5	138120817	138128265	Zm00001eb237430	chr5	137546572	137552755																					
Zm00001eb237380	79.34										Zm00001eb237380	chr5	137214306	137219124																					
Zm00001d015995	79.34		GRMZM2G012464	Chr5	134825983	134827576	Zm00001d015995	Chr5	138116314	138117902																									
myb157	79.35		GRMZM2G073836	Chr5	135315692	135321511	Zm00001d016000	Chr5	138562425	138590869	Zm00001eb237460	chr5	137986868	138015382																					
mybr74	79.35		GRMZM2G073826	Chr5	135342824	135344111	Zm00001d016000	Chr5	138562425	138590869	Zm00001eb237460	chr5	137986868	138015382																					
elo2	79.35		GRMZM2G128445	Chr5	135570930	135571526																													
LOC103626926	79.35		GRMZM2G418206	Chr5	135221284	135236032	Zm00001d015999	Chr5	138468680	138483666	Zm00001eb237440	chr5	137893168	137908308																					
adcl3	79.36		GRMZM2G069596	Chr5	135674269	135683723	Zm00001d016006	Chr5	138912225	138921418	Zm00001eb237500	chr5	138336603	138346040																					
ropgef9	79.36		GRMZM2G173729	Chr5	135493464	135496423	Zm00001d016001	Chr5	138743751	138746834	Zm00001eb237470	chr5	138168145	138171296																					
LOC103626938	79.37		GRMZM2G449019	Chr5	136240622	136242165	Zm00001d016013	Chr5	139509239	139510636	Zm00001eb237550	chr5	138933592	138935364																					
