MaizeGDB: Details of Map Genetic 10
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-M37W-REFERENCE-NAM-1.0_gene_model	Zm-M37W-REFERENCE-NAM-1.0_chr	Zm-M37W-REFERENCE-NAM-1.0_start	Zm-M37W-REFERENCE-NAM-1.0_end	Zm-NC358-REFERENCE-NAM-1.0_gene_model	Zm-NC358-REFERENCE-NAM-1.0_chr	Zm-NC358-REFERENCE-NAM-1.0_start	Zm-NC358-REFERENCE-NAM-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence
cl32751_-1	61.58		GRMZM2G103825	Chr10	95570077	95571667					Zm00001d024936	Chr10	95794147	95805417	Zm00001eb418940	chr10	97534335	97545864																					
cl5362_2b	61.58		GRMZM2G000710	Chr10	95619012	95634688					Zm00001d024938	Chr10	95848553	95864224	Zm00001eb418960	chr10	97588836	97604737																					
LOC100502385	61.58		GRMZM2G128651	Chr10	95704192	95706822					Zm00001d024939	Chr10	95933122	95935711	Zm00001eb418970	chr10	97673686	97676136																					
cyp39	61.59		GRMZM2G407650	Chr10	95907762	95909551					Zm00001d024943	Chr10	96104177	96106076	Zm00001eb419010	chr10	97908756	97910770																					
LOC100283240	61.59		GRMZM2G056799	Chr10	95926154	95929514					Zm00001d024941	Chr10	96015969	96019757	Zm00001eb419000	chr10	97820621	97824435																					
fnsii1	61.60		GRMZM2G148441	Chr10	96108546	96110569					Zm00001d024946	Chr10	96325810	96327827	Zm00001eb419040	chr10	98130426	98132552																					
Zm00001eb419060	61.64		GRMZM2G149665	Chr10	96265306	96283208					Zm00001d024948	Chr10	96502880	96504120	Zm00001eb419060	chr10	98307626	98308866																					
ucp1	61.80		GRMZM5G852877	Chr10	96336115	96339634					Zm00001d024951	Chr10	96577977	96581566	Zm00001eb419100	chr10	98382655	98386239																					
aco2	61.90		GRMZM5G858454	Chr10	96344573	96353240					Zm00001d024952	Chr10	96586361	96592679	Zm00001eb419110	chr10	98391106	98399985																					
brca2	61.94		GRMZM5G857087	Chr10	96386882	96388109					Zm00001d024953	Chr10	96630696	96658868	Zm00001eb419130	chr10	98435512	98463628																					
plt31	61.95		GRMZM2G155555	Chr10	96620447	96621207					Zm00001d024958	Chr10	96868196	96869084	Zm00001eb419140	chr10	98673065	98673851																					
plt32	61.96		GRMZM2G063375	Chr10	96632064	96633476					Zm00001d024959	Chr10	96880902	96881682	Zm00001eb419150	chr10	98685717	98686493																					
GRMZM2G116520	61.97		GRMZM2G116520	Chr10	96691687	96692590					Zm00001d024960	Chr10	96937750	96938641	Zm00001eb419160	chr10	98739068	98743416																					
wakl56	61.98		GRMZM2G436448	Chr10	96702431	96704829					Zm00001d024961	Chr10	96948264	96950890	Zm00001eb419170	chr10	98748271	98751167																					
wakl57	61.99		GRMZM5G897005	Chr10	96771070	96772526					Zm00001d024962	Chr10	96956014	96967539	Zm00001eb419180	chr10	98756141	98768011																					
TB-10L20(10)	62.00																																						
TB-10L28(10)	62.00																																						
gst22	62.00		GRMZM2G330635	Chr10	96774298	96775703					Zm00001d024963	Chr10	96969512	96970459	Zm00001eb419190	chr10	98769593	98770781																					
pco134375	62.01		GRMZM2G021170	Chr10	96850283	96853883					Zm00001d024966	Chr10	97204693	97208271	Zm00001eb419200	chr10	98904592	98908227																					
si486085g08	62.01										Zm00001d023145	Chr10	97217144	97218735																									
glpdh6	62.02		GRMZM2G446108	Chr10	96895168	96924949					Zm00001d024967	Chr10	97249804	97279351	Zm00001eb419210	chr10	98949403	98979285																					
garr4	62.02																																						
dnaJ97	62.02		GRMZM5G864065	Chr10	96925095	96927222					Zm00001d024968	Chr10	97279497	97281637	Zm00001eb419230	chr10	98980284	98981383																					
nbs73	62.02		GRMZM2G098697	Chr10	97338667	97343212					Zm00001d024975	Chr10	97685327	97689706	Zm00001eb419270	chr10	99373531	99389974																					
Zm00001d024969	62.02		GRMZM2G084054	Chr10	97083417	97083974					Zm00001d024969	Chr10	97438719	97439261	Zm00001eb419240	chr10	99138640	99139182																					
nbs76	62.03		AC196116.3_FG004	Chr10	97752292	97753350					Zm00001d024990	Chr10	98099672	98113821	Zm00001eb419360	chr10	99799736	99813696																					
Zm00001d024982	62.03		GRMZM2G089958	Chr10	97471414	97474835					Zm00001d024982	Chr10	97882524	97885868																									
LOC103641474	62.03		AC204271.3_FG003	Chr10	97566475	97567277					Zm00001d024981	Chr10	97873779	97874742																									
nbs33	62.03		GRMZM2G397788	Chr10	97386757	97389185					Zm00001d024979	Chr10	97762069	97771416	Zm00001eb419320	chr10	99461790	99471718									Zm00037ab423940	chr10	101194237	101204201									
wrky132	62.04		GRMZM5G873749	Chr10	97801454	97803176					Zm00001d024991	Chr10	98161944	98164698	Zm00001eb419370	chr10	99863745	99864392																					
umc1246	62.05		GRMZM2G075315	Chr10	98012820	98014117					Zm00001d024996	Chr10	98385298	98386222	Zm00001eb419390	chr10	100085188	100086065																					
acc1	62.10		AC197672.3_FG002	Chr10	98149608	98168566					Zm00001d024998	Chr10	98541954	98563436	Zm00001eb419400	chr10	100241710	100263391																					
GRMZM2G034155	62.18		GRMZM2G034155	Chr10	98377679	98381631					Zm00001d025002	Chr10	98768633	98772678	Zm00001eb419430	chr10	100468577	100472682																					
pza00048	62.20		GRMZM2G007721	Chr10	98714259	98732307					Zm00001d025003	Chr10	99104436	99134098	Zm00001eb419440	chr10	100804415	100835635																					
yuc2	62.24		GRMZM2G159393	Chr10	98816289	98818353					Zm00001d025005	Chr10	99217386	99219471	Zm00001eb419450	chr10	100917398	100919447																					
pco111589	62.30		GRMZM2G084729	Chr10	99014059	99017672					Zm00001d025008	Chr10	99428647	99432260	Zm00001eb419470	chr10	101128654	101132450																					
IDP2556	62.35		GRMZM2G143725	Chr10	99117687	99128736					Zm00001d025010	Chr10	99533913	99544932	Zm00001eb419480	chr10	101233948	101244956																					
LOC100281983	62.41		GRMZM2G019246	Chr10	99220249	99222839					Zm00001d025011	Chr10	99635843	99638554	Zm00001eb419490	chr10	101335887	101338951																					
cl36083_1c	62.43		GRMZM2G319138	Chr10	99226682	99244470					Zm00001d025012	Chr10	99642235	99660548	Zm00001eb419500	chr10	101342277	101360521																					
pgd4	62.45		GRMZM2G177077	Chr10	99381158	99387758					Zm00001d025015	Chr10	99806303	99812704	Zm00001eb419510	chr10	101506328	101512753																					
IDP524	62.48		GRMZM2G177203	Chr10	99396188	99399730					Zm00001d025016	Chr10	99815796	99824932	Zm00001eb419520	chr10	101521179	101524993																					
IDP2579	62.50		GRMZM2G177182	Chr10	99393377	99395312					Zm00001d025017	Chr10	99817486	99819538																									
expa3	62.52		GRMZM2G074585	Chr10	99487994	99489313					Zm00001d025018	Chr10	99917607	99918841	Zm00001eb419530	chr10	101617680	101618935																					
sbt16	62.53		GRMZM2G157313	Chr10	99538923	99541648					Zm00001d025019	Chr10	99972964	99975683	Zm00001eb419540	chr10	101674117	101675878																					
Zm00001d025020	62.54		GRMZM2G157354	Chr10	99558719	99564417					Zm00001d025020	Chr10	99992757	99998509	Zm00001eb419550	chr10	101692776	101698640																					
Zm00001d025021	62.56		GRMZM2G157492	Chr10	99568100	99574385					Zm00001d025021	Chr10	100002393	100008244	Zm00001eb419560	chr10	101702477	101708456																					
sbt17	62.58		GRMZM2G418985	Chr10	99616200	99618479					Zm00001d025022	Chr10	100051822	100054101	Zm00001eb419570	chr10	101751831	101754488																					
AY110514	62.60		GRMZM2G119116	Chr10	99619222	99624672					Zm00001d025023	Chr10	100055458	100060317	Zm00001eb419580	chr10	101755540	101760399																					
cl29119_1	62.62		GRMZM2G173040	Chr10	99807829	99811198					Zm00001d025025	Chr10	100278428	100281818	Zm00001eb419600	chr10	101978464	101981910																					
pht4	62.65		GRMZM2G159075	Chr10	100011935	100014106					Zm00001d025028	Chr10	100507387	100508961	Zm00001eb419640	chr10	102194175	102195779																					
Zm00001eb419650	62.66		GRMZM2G455413	Chr10	100034179	100035006									Zm00001eb419650	chr10	102225436	102226224																					
GRMZM2G154667	62.66		GRMZM2G154667	Chr10	100028091	100030018																																	
tcptf40	62.68		GRMZM2G096610	Chr10	100088723	100089636					Zm00001d025033	Chr10	100593766	100594296	Zm00001eb419680	chr10	102280342	102281183																					
ccp20	62.68		GRMZM2G363926	Chr10	100483133	100485738					Zm00001d025038	Chr10	100990840	100991898	Zm00001eb419730	chr10	102677792	102678850																					
LOC103641505	62.68		GRMZM2G017164	Chr10	100242426	100245138					Zm00001d025035	Chr10	100748577	100750979	Zm00001eb419700	chr10	102435122	102437862																					
LOC100285032	62.68		GRMZM2G035282	Chr10	100267591	100269576					Zm00001d025036	Chr10	100773356	100775278	Zm00001eb419710	chr10	102460083	102462158																					
LOC103641506	62.68		GRMZM2G063042	Chr10	100447883	100449683					Zm00001d025037	Chr10	100955562	100957474	Zm00001eb419720	chr10	102642521	102644377																					
pum19	62.68		GRMZM2G100286	Chr10	100144444	100149770					Zm00001d025034	Chr10	100648946	100657147	Zm00001eb419690	chr10	102335773	102343917																					
apx6	62.69		GRMZM2G004211	Chr10	101021609	101023620					Zm00001d025047	Chr10	101525953	101527964	Zm00001eb419790	chr10	103213176	103215187																					
abi54	62.69		GRMZM5G852672	Chr10	100699141	100700249					Zm00001d025041	Chr10	101193709	101197563	Zm00001eb419760	chr10	102880836	102884729																					
Zm00001eb419770	62.69		GRMZM2G076938	Chr10	100712373	100719715					Zm00001d025043	Chr10	101206922	101214479	Zm00001eb419770	chr10	102894125	102901664																					
etr2	62.70		GRMZM2G420801	Chr10	101173508	101177424					Zm00001d025050	Chr10	101678128	101682933	Zm00001eb419810	chr10	103366040	103370142																					
lug13	62.70		GRMZM2G159330	Chr10	101047761	101065514					Zm00001d025048	Chr10	101561345	101582556	Zm00001eb419800	chr10	103248531	103269863																					
mmp225	62.72		GRMZM2G137736	Chr10	101231730	101232696					Zm00001d025051	Chr10	101740187	101740774	Zm00001eb419830	chr10	103427450	103428364																					
nhx13	62.73										Zm00001d025052	Chr10	101802712	101807654	Zm00001eb419850	chr10	103493427	103494082																					
Zm00001d025053	62.74		GRMZM2G460695	Chr10	101299157	101299759					Zm00001d025053	Chr10	101807624	101808929	Zm00001eb419860	chr10	103495093	103495639																					
prh11	62.75		GRMZM2G159811	Chr10	101377174	101382475					Zm00001d025055	Chr10	101885723	101890901	Zm00001eb419870	chr10	103573066	103578519																					
dmas6	62.76		GRMZM2G415579	Chr10	101509311	101511564					Zm00001d025057	Chr10	102026193	102028561	Zm00001eb419890	chr10	103713549	103715942																					
glp35	62.77		GRMZM2G166141	Chr10	101536930	101537806					Zm00001d025059	Chr10	102054802	102055944	Zm00001eb419900	chr10	103742181	103743303																					
pco088744	62.78		GRMZM2G120740	Chr10	101666124	101684428					Zm00001d025060	Chr10	102183855	102201368	Zm00001eb419910	chr10	103871191	103888747																					
asrp1	62.80		GRMZM2G052166	Chr10	101748275	101751536					Zm00001d025063	Chr10	102254458	102258676	Zm00001eb419960	chr10	103941807	103946054																					
arm18	62.88		GRMZM2G340651	Chr10	101885974	101887164					Zm00001d025066	Chr10	102404981	102405982	Zm00001eb420000	chr10	104092620	104093432																					
mmp16	62.90		GRMZM2G412207	Chr10	101906099	101914321					Zm00001d025067	Chr10	102424604	102432854	Zm00001eb420010	chr10	104112011	104120352																					
LOC103642682	62.91		GRMZM2G045821	Chr10	102028492	102070257					Zm00001d025073	Chr10	102552539	102554879	Zm00001eb420020	chr10	104239557	104242633																					
pco115368	62.92		GRMZM2G134044	Chr10	102250622	102254796					Zm00001d025075	Chr10	102770463	102774619	Zm00001eb420050	chr10	104457826	104462094																					
LOC100286331	62.93		AC204711.3_FG003	Chr10	102335033	102336707					Zm00001d025081	Chr10	102855786	102857533	Zm00001eb420080	chr10	104543381	104545110																					
xyl6	62.94		AC204711.3_FG002	Chr10	102382911	102387969					Zm00001d025082	Chr10	102925323	102930804	Zm00001eb420100	chr10	104590994	104596540																					
T5-10(4801)(10)	63.00																																						
ef3	63.00																																						
TB-10L10(10)	63.00																																						
TB-10L25(10)	63.00																																						
TB-10L31(10)	63.00																																						
TB-10L4(10)	63.00																																						
TB-10L5(10)	63.00																																						
TB-10L7(10)	63.00																																						
TB-10L8(10)	63.00																																						
umc2789	63.00		GRMZM2G701585	Chr10	102503981	102516836					Zm00001d025085	Chr10	103047049	103059527	Zm00001eb420110	chr10	104712954	104725216																					
LOC109943210	63.04		AC199398.4_FG004	Chr10	103083898	103088635					Zm00001d025093	Chr10	103655322	103658082																									
umc1077	63.05																																						
pat37	63.05		GRMZM2G001265	Chr10	103214136	103232644					Zm00001d025098	Chr10	103768672	103787574	Zm00001eb420150	chr10	105391864	105410367																					
Zm00001d025099	63.07		GRMZM2G009189	Chr10	103379779	103380665					Zm00001d025099	Chr10	103947429	103948783	Zm00001eb420160	chr10	105571361	105571986																					
amo1	63.10		GRMZM2G359298	Chr10	103645937	103651506					Zm00001d025103	Chr10	104219161	104224390	Zm00001eb420190	chr10	105842369	105847780																					
sod17	63.11		GRMZM2G081585	Chr10	103975245	103979249					Zm00001d025106	Chr10	104541550	104545518	Zm00001eb420210	chr10	106164832	106168792																					
cl42546_1f	63.12		GRMZM2G178537	Chr10	104198546	104202279					Zm00001d025108	Chr10	104743938	104745122	Zm00001eb420230	chr10	106404002	106411418																					
cl9336_1	63.12		GRMZM2G037725	Chr10	104007299	104009827					Zm00001d025107	Chr10	104574417	104575544	Zm00001eb420220	chr10	106197241	106199933																					
cl32734_1	63.13		GRMZM2G007229	Chr10	104280675	104292800					Zm00001d025111	Chr10	104817352	104841697	Zm00001eb420250	chr10	106482107	106503375																					
caspl46	63.14		GRMZM2G126586	Chr10	105053118	105055098					Zm00001d025126	Chr10	105633063	105634956	Zm00001eb420360	chr10	107297788	107300552																					
LOC100275991	63.14		GRMZM2G439172	Chr10	104654568	104655751					Zm00001d025121	Chr10	105224193	105224695	Zm00001eb420300	chr10	106886580	106887677																					
mbd113	63.15		GRMZM2G126545	Chr10	105058169	105069085					Zm00001d025128	Chr10	105638368	105648955	Zm00001eb420370	chr10	107304396	107313465																					
Zm00001d025129	63.17		GRMZM2G126496	Chr10	105072979	105096625					Zm00001d025129	Chr10	105652923	105676382	Zm00001eb420380	chr10	107317649	107341207																					
metp7	63.19		GRMZM2G379686	Chr10	105135933	105141525					Zm00001d025130	Chr10	105692426	105720443	Zm00001eb420390	chr10	107355687	107385189																					
magi93696	63.21		GRMZM2G476555	Chr10	117343293	117344240					Zm00001d025132	Chr10	105805029	105805469																									
pco117880	63.24		GRMZM2G323754	Chr10	105227745	105256501					Zm00001d025134	Chr10	105948711	105977398	Zm00001eb420400	chr10	107517648	107546435																					
GRMZM2G032547	63.26		GRMZM2G032547	Chr10	105313098	105317859					Zm00001d025136	Chr10	106035263	106040350	Zm00001eb420410	chr10	107604434	107609437																					
pco123247b	63.33		GRMZM2G148508	Chr10	105444953	105446192					Zm00001d025140	Chr10	106280712	106283527																									
bhlh108	63.35		GRMZM2G119823	Chr10	105635764	105638288					Zm00001d025141	Chr10	106318787	106321238	Zm00001eb420440	chr10	107879042	107881495																					
GRMZM2G066961	63.36		GRMZM2G066961	Chr10	105694786	105696099					Zm00001d025142	Chr10	106377768	106379081	Zm00001eb420450	chr10	107937898	107939471																					
dnaJ98	63.37		GRMZM2G167868	Chr10	105772358	105775290					Zm00001d025144	Chr10	106479273	106495793	Zm00001eb420470	chr10	108039382	108055842																					
si660045a07	63.38		GRMZM2G471186	Chr10	105936760	105940743					Zm00001d025149	Chr10	106629010	106638259	Zm00001eb420500	chr10	108188726	108198602																					
ppr503	63.39		GRMZM2G341741	Chr10	106066627	106068831					Zm00001d025152	Chr10	106764011	106766200	Zm00001eb420510	chr10	108324203	108326520																					
LOC103641553	63.40		GRMZM2G347447	Chr10	106150592	106159046					Zm00001d025156	Chr10	106849972	106858473	Zm00001eb420550	chr10	108409952	108419214																					
cl7814_5b	63.42		GRMZM2G010599	Chr10	106265508	106267433					Zm00001d025160	Chr10	106964303	106965933	Zm00001eb420570	chr10	108524569	108526368																					
pub50	63.42		GRMZM2G152857	Chr10	106329327	106332170					Zm00001d025161	Chr10	107028162	107030458	Zm00001eb420580	chr10	108588235	108591020																					
GRMZM2G139512	63.43		GRMZM2G139512	Chr10	106451590	106454287					Zm00001d025166	Chr10	107141907	107144555	Zm00001eb420610	chr10	108702123	108705057																					
sacd11	63.45		AC215690.3_FG002	Chr10	106806918	106810315					Zm00001d025170	Chr10	107470951	107474926	Zm00001eb420640	chr10	109013934	109018164																					
vde2	63.46		GRMZM2G701673	Chr10	106812274	106812762																																	
cl36905_1b	63.47		GRMZM2G097662	Chr10	106857844	106862802					Zm00001d025171	Chr10	107516183	107521020	Zm00001eb420650	chr10	109061025	109064075																					
pco078062b	63.60		GRMZM2G547542	Chr10	106969915	107000846					Zm00001d025175	Chr10	107678368	107680629	Zm00001eb420660	chr10	109192339	109223877																					
TIDP3000	63.70		GRMZM2G022308	Chr10	107306969	107311161					Zm00001d025180	Chr10	107999211	108003428	Zm00001eb420710	chr10	109542380	109546610																					
Zm00001eb420720	63.72		GRMZM2G091168	Chr10	107443681	107447641					Zm00001d025182	Chr10	108128003	108131484	Zm00001eb420720	chr10	109671971	109675580																					
cl3444_1	63.75		GRMZM2G104649	Chr10	107602600	107625127					Zm00001d025185	Chr10	108297253	108318568	Zm00001eb420750	chr10	109861696	109862163																					
chn19	63.85		GRMZM2G090441	Chr10	107917988	107919713					Zm00001d025199	Chr10	108609859	108611603	Zm00001eb420850	chr10	110156286	110158162																					
Zm00001eb420860	63.87		GRMZM2G168732	Chr10	108077012	108079499									Zm00001eb420860	chr10	110324151	110326182																					
cyp97	63.98		GRMZM2G399530	Chr10	108135501	108137365					Zm00001d025200	Chr10	108836325	108838302	Zm00001eb420870	chr10	110383137	110385204																					
fab1	64.00		GRMZM2G099696	Chr10	108139878	108147684					Zm00001d025201	Chr10	108840806	108848622	Zm00001eb420880	chr10	110387491	110395408																					
TB-10L30(10)	64.00																																						
TB-10L1(10)	64.00																																						
cl30055_1	64.02		GRMZM2G097106	Chr10	108236366	108247668					Zm00001d025203	Chr10	108938341	108949550	Zm00001eb420890	chr10	110484997	110496452																					
bhlh100	64.10		GRMZM2G313756	Chr10	108376074	108377174					Zm00001d025205	Chr10	109117980	109119599	Zm00001eb420910	chr10	110664647	110666283																					
AY109920	64.20		GRMZM2G059965	Chr10	108393558	108396098					Zm00001d025206	Chr10	109135804	109137912	Zm00001eb420920	chr10	110682077	110684935																					
IDP1615	64.25		GRMZM2G148547	Chr10	109030991	109032857					Zm00001d025221	Chr10	109828651	109831426	Zm00001eb421000	chr10	111353705	111355612																					
si496028c11	64.50		GRMZM2G001805	Chr10	109356552	109360605					Zm00001d025228	Chr10	110194156	110198209	Zm00001eb421060	chr10	111718357	111722225																					
si945027c08	64.52		GRMZM2G426275	Chr10	109388130	109395337					Zm00001d025232	Chr10	110229341	110236419	Zm00001eb421090	chr10	111753506	111760758																					
abi21	64.60		GRMZM2G126194	Chr10	109396005	109397093					Zm00001d025233	Chr10	110237211	110238274	Zm00001eb421100	chr10	111761405	111762472																					
camta5	64.62		GRMZM2G152661	Chr10	109591875	109599342					Zm00001d025235	Chr10	110432656	110441915	Zm00001eb421120	chr10	111956891	111966108																					
LOC100381633	64.64		GRMZM2G159732	Chr10	109722375	109727028					Zm00001d025237	Chr10	110564312	110569524	Zm00001eb421140	chr10	112088514	112093747																					
gpm714b	64.66		GRMZM2G159720	Chr10	109729128	109733068					Zm00001d025238	Chr10	110572318	110574522	Zm00001eb421150	chr10	112095114	112099316																					
Zm00001d025239	64.68		GRMZM2G159675	Chr10	109737481	109746159					Zm00001d025239	Chr10	110579973	110588202	Zm00001eb421160	chr10	112104507	112112280																					
odo1	64.70		GRMZM2G151041	Chr10	109817358	109823752					Zm00001d025240	Chr10	110657182	110663551	Zm00001eb421170	chr10	112181516	112187759																					
hipp61	64.72		GRMZM2G122437	Chr10	109913505	109915809					Zm00001d025241	Chr10	110753799	110756285	Zm00001eb421180	chr10	112278159	112280519																					
tcptf17	64.90		GRMZM2G458087	Chr10	110222622	110224294					Zm00001d025250	Chr10	111056632	111058362	Zm00001eb421220	chr10	112576465	112586468																					
GRMZM2G153456	64.92		GRMZM2G153456	Chr10	110315305	110317912					Zm00001d025251	Chr10	111149589	111152196	Zm00001eb421230	chr10	112673768	112676418																					
Zm00001eb421250	64.94		GRMZM2G381500	Chr10	110557899	110562375					Zm00001d025253	Chr10	111399535	111412064	Zm00001eb421250	chr10	112925452	112932964																					
TB-10L34(10)	65.00																																						
TB-10L17(10)	65.00																																						
TB-10L3(10)	65.00																																						
TB-10L9(10)	65.00																																						
cl11820_1i	65.00		GRMZM2G381483	Chr10	110611375	110616442					Zm00001d025256	Chr10	111457258	111458365	Zm00001eb421280	chr10	112978877	112985745																					
kgdh1	65.00		GRMZM2G079538	Chr10	110640083	110645891					Zm00001d025258	Chr10	111489726	111495229	Zm00001eb421290	chr10	113014007	113019475																					
LOC103642710	65.00		GRMZM2G569877	Chr10	110688235	110688317																																	
LOC103642711	65.00		GRMZM2G103725	Chr10	110765069	110770427					Zm00001d025260	Chr10	111618187	111619454	Zm00001eb421300	chr10	113142436	113143434																					
LOC103642712	65.01		GRMZM2G056680	Chr5	57883502	57887381					Zm00001d025261	Chr10	111621530	111622554																									
fad10	65.02		GRMZM2G166956	Chr10	110852632	110856870					Zm00001d025262	Chr10	111717816	111722054																									
Zm00001d025263	65.02		GRMZM2G467640	Chr10	110830039	110840449					Zm00001d025263	Chr10	111734229	111744673	Zm00001eb421310	chr10	113258320	113268929																					
LOC103642714	65.03		GRMZM2G002921	Chr10	110976085	110978065					Zm00001d025265	Chr10	111794815	111806723																									
hcf106c	65.04		GRMZM2G151529	Chr10	110944324	110948048					Zm00001d025267	Chr10	111824838	111828519	Zm00001eb421330	chr10	113349076	113352808																					
afb1	65.05		GRMZM2G137451	Chr10	111015778	111020087					Zm00001d025268	Chr10	111867459	111872204	Zm00001eb421340	chr10	113391837	113396456																					
LOC103641592	65.07		GRMZM2G123922	Chr10	111258316	111265830					Zm00001d025273	Chr10	112116864	112124493	Zm00001eb421360	chr10	113641188	113648714																					
TIDP3243	65.08		GRMZM2G149543	Chr10	111306909	111309238					Zm00001d025274	Chr10	112165803	112168114	Zm00001eb421370	chr10	113690095	113692432																					
thx33	65.09		GRMZM2G149590	Chr10	111309620	111329874					Zm00001d025275	Chr10	112168325	112188744	Zm00001eb421380	chr10	113692489	113713389																					
AY109876	65.10		GRMZM2G451716	Chr10	111444979	111452986					Zm00001d025278	Chr10	112299570	112307718	Zm00001eb421400	chr10	113823863	113832017																					
ereb149	65.11		GRMZM2G425798	Chr10	111635997	111638209					Zm00001d025281	Chr10	112504950	112507200	Zm00001eb421430	chr10	114029476	114034169																					
isp1	65.12		GRMZM2G023194	Chr10	111795775	111798782					Zm00001d025286	Chr10	112660019	112662739	Zm00001eb421460	chr10	114184429	114187042																					
mgs1	65.13		GRMZM2G317406	Chr10	111861870	111862808					Zm00001d025287	Chr10	112727580	112728092	Zm00001eb421470	chr10	114251930	114252686																					
Zm00001eb421480	65.15		GRMZM2G133721	Chr10	111875541	111880989									Zm00001eb421480	chr10	114270237	114270833																					
cl55604_1	65.16		GRMZM2G133695	Chr10	111881206	111882784					Zm00001d025289	Chr10	112746456	112748292	Zm00001eb421490	chr10	114271072	114271604																					
cl50607_1b	65.18		GRMZM2G168166	Chr10	112055650	112113177					Zm00001d025294	Chr10	112973342	112984868	Zm00001eb421500	chr10	114444291	114509330																					
tcptf36	65.20		GRMZM2G424261	Chr10	112133491	112135588					Zm00001d025295	Chr10	113006222	113009023	Zm00001eb421510	chr10	114531807	114532198																					
ereb125	65.25		GRMZM2G023708	Chr10	112324342	112325371					Zm00001d025298	Chr10	113224465	113225283	Zm00001eb421530	chr10	114748904	114750240																					
hipp62	65.26		GRMZM2G120182	Chr10	112378474	112380048					Zm00001d025299	Chr10	113256247	113256966	Zm00001eb421540	chr10	114780607	114782127																					
GRMZM5G845175	65.27		GRMZM5G845175	Chr10	112413693	112421285					Zm00001d025300	Chr10	113290809	113298776	Zm00001eb421550	chr10	114815301	114823547																					
hak19	65.30		GRMZM2G021725	Chr10	112588955	112592679					Zm00001d025303	Chr10	113464508	113470236	Zm00001eb421580	chr10	114990782	114994770																					
si683029c11	65.31		GRMZM2G021802	Chr10	112593964	112597764					Zm00001d025304	Chr10	113471249	113475000	Zm00001eb421590	chr10	114993550	114999635																					
clx2	65.32		GRMZM2G022180	Chr10	112603406	112606897					Zm00001d025305	Chr10	113480669	113484076	Zm00001eb421600	chr10	115005109	115008811																					
ring573	65.36		GRMZM2G368047	Chr10	112957267	112958464					Zm00001d025310	Chr10	113838140	113839870	Zm00001eb421630	chr10	115361405	115363201																					
umc1836	65.45																																						
T3-10c(10)	66.00																																						
TB-10L29(10)	66.00																																						
TB-10L11(10)	66.00																																						
TB-10L16(10)	66.00																																						
TB-10L36(10)	66.00																																						
AY106635	66.00																																						
prh90	66.00		GRMZM2G443509	Chr10	113181083	113188620					Zm00001d025323	Chr10	114052762	114058481	Zm00001eb421700	chr10	115576486	115581534																					
IDP8244	66.04		GRMZM2G103847	Chr10	113371073	113379732					Zm00001d025326	Chr10	114247261	114255287	Zm00001eb421720	chr10	115758158	115766465																					
jpsb527d	66.05																																						
LOC111590271	66.49		GRMZM2G553063	Chr10	113475163	113475981									Zm00001eb421770	chr10	115874363	115875161																					
ago106a	66.50		GRMZM2G120019	Chr10	113476104	113479295					Zm00001d025331	Chr10	114363845	114370019	Zm00001eb421780	chr10	115875716	115877157																					
adt5	66.52		GRMZM2G125923	Chr10	113534703	113536450					Zm00001d025333	Chr10	114461652	114462911	Zm00001eb421790	chr10	115972526	115974196																					
Zm00001eb421810	66.56										Zm00001d025335	Chr10	114540784	114543704	Zm00001eb421810	chr10	116052912	116054773																					
wrky139	66.58		GRMZM2G452444	Chr10	113689358	113694514					Zm00001d025336	Chr10	114622865	114625619	Zm00001eb421820	chr10	116135861	116136508																					
TB-10L35(10)	67.00																																						
TB-10L38(10)	67.00																																						
TB-10L14(10)	67.00																																						
TB-10L37(10)	67.00																																						
csu948	67.00		GRMZM2G147390	Chr10	113729637	113731267					Zm00001d025338	Chr10	114698888	114700369	Zm00001eb421850	chr10	116209963	116211560																					
sfb1	67.01		GRMZM2G147424	Chr10	113732417	113734756					Zm00001d025339	Chr10	114701647	114705196																									
