MaizeGDB: Details of Map Genetic 8
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Sequence
pyl8	78.20		GRMZM2G165567	Chr8	112238927	112241268					Zm00001d010445	Chr8	115433371	115435609	Zm00001eb350630	chr8	115266816	115269185									
cel19	78.21		GRMZM2G143747	Chr8	112293364	112296037					Zm00001d010446	Chr8	115490413	115493023	Zm00001eb350640	chr8	115323946	115326570									
pco081097b	78.22		GRMZM2G044947	Chr8	112534221	112536816					Zm00001d010451	Chr8	115726579	115728797	Zm00001eb350690	chr8	115559880	115562464									
cl335_1	78.30		GRMZM2G150201	Chr8	112702434	112706321					Zm00001d010454	Chr8	115914488	115918396	Zm00001eb350710	chr8	115748199	115752147									
cl3997_1d	78.32		GRMZM2G051567	Chr8	112827473	112828877									Zm00001eb350750	chr8	115881982	115883184									
Zm00001d010456	78.32		GRMZM2G350265	Chr8	112817337	112825077					Zm00001d010456	Chr8	116048099	116074297	Zm00001eb350760	chr8	115885595	115908058									
Zm00001d010458	78.33		GRMZM2G324727	Chr8	112940318	112964818					Zm00001d010458	Chr8	116141888	116147596													
cipk38	78.34		GRMZM2G170552	Chr8	113026456	113029349					Zm00001d010459	Chr8	116264102	116265454	Zm00001eb350770	chr8	116081373	116084326									
Zm00001d010461	78.35		GRMZM2G049013	Chr8	113158925	113161188					Zm00001d010461	Chr8	116331820	116334299	Zm00001eb350780	chr8	116151011	116152747									
ring479	78.37		GRMZM2G060999	Chr8	113183517	113196059					Zm00001d010462	Chr8	116428681	116443993	Zm00001eb350790	chr8	116247190	116262532									
mybr60	78.40		GRMZM5G845296	Chr8	113866855	113869756					Zm00001d010472	Chr8	117108453	117110290	Zm00001eb350880	chr8	116927851	116928941									
LOC103637197	78.41		GRMZM2G389880	Chr8	113854121	113861007					Zm00001d010474	Chr8	117119203	117121551													
cdk2	78.42		GRMZM2G149286	Chr8	113926527	113943334					Zm00001d010476	Chr8	117146840	117163644	Zm00001eb350890	chr8	116965410	116982653									
B4FBM4	78.42		GRMZM2G149211	Chr8	113952252	113957006					Zm00001d010478	Chr8	117172758	117177215	Zm00001eb350910	chr8	116991466	116995911									
LOC103635745	78.43		GRMZM2G074331	Chr8	114244829	114245802					Zm00001d010487	Chr8	117472033	117472917	Zm00001eb350960	chr8	117290699	117291583									
LOC100279902	78.43		GRMZM2G145752	Chr8	114114229	114119298					Zm00001d010480	Chr8	117336587	117344203	Zm00001eb350920	chr8	117155161	117161340									
LOC103635741	78.43										Zm00001d008080	Chr8	117227628	117228480													
nrg20	78.44		GRMZM2G074377	Chr8	114267974	114274299					Zm00001d010488	Chr8	117495296	117501405	Zm00001eb350970	chr8	117313914	117320081									
AW231791	78.46		GRMZM2G140590	Chr8	114541249	114555400					Zm00001d010492	Chr8	117765218	117780166	Zm00001eb351010	chr8	117583905	117598910									
LOC100274754	78.46		GRMZM2G134230	Chr8	114515312	114519184					Zm00001d010491	Chr8	117740344	117744264	Zm00001eb351000	chr8	117559027	117562955									
AY107079	78.47														Zm00001eb351030	chr8	117706116	117706820									
LOC103635752	78.47		GRMZM2G180076	Chr8	114972070	114973637					Zm00001d010500	Chr8	118163693	118167143	Zm00001eb351100	chr8	117964849	117968619									
Zm00001eb351090	78.47		GRMZM2G167689	Chr8	114932399	114933896					Zm00001d010499	Chr8	118126464	118128699	Zm00001eb351090	chr8	117927853	117930264									
GRMZM2G111411	78.47		GRMZM2G111411	Chr8	115006181	115009772					Zm00001d010504	Chr8	118250736	118254293	Zm00001eb351120	chr8	118052121	118055681									
GRMZM2G411448	78.47		GRMZM2G411448	Chr8	115014502	115020199					Zm00001d010505	Chr8	118256940	118262199	Zm00001eb351140	chr8	118064341	118066538									
Zm00001eb351170	78.47		GRMZM2G010319	Chr8	115297735	115298478					Zm00001d010509	Chr8	118572551	118573294	Zm00001eb351170	chr8	118373822	118375101									
gpat12	78.48		GRMZM2G166176	Chr8	115645735	115648165					Zm00001d010520	Chr8	118976642	118978776	Zm00001eb351250	chr8	118777862	118780292									
Zm00007a00006475	78.48		GRMZM2G160763	Chr8	115731220	115735925	Zm00007a00006475	chr8	72894627	72898943	Zm00001d010521	Chr8	119045452	119050075	Zm00001eb351260	chr8	118846808	118851528									
impb4	78.48		GRMZM2G010452	Chr8	115313249	115318961					Zm00001d010512	Chr8	118588081	118591573	Zm00001eb351190	chr8	118389410	118395241									
ring481	78.48		GRMZM2G363253	Chr8	115431793	115434496					Zm00001d010514	Chr8	118706704	118714516	Zm00001eb351200	chr8	118508113	118525100									
Zm00001eb351220	78.48		GRMZM6G982453	scaffold_335	358	2055					Zm00001d010516	Chr8	118826535	118828228	Zm00001eb351220	chr8	118627364	118629732									
spp1	78.49		GRMZM2G055489	Chr8	115832232	115838487					Zm00001d010523	Chr8	119143166	119149436	Zm00001eb351280	chr8	118944342	118950896									
ndl1	78.49		GRMZM2G038401	Chr8	115783521	115792131					Zm00001d010522	Chr8	119101596	119110131	Zm00001eb351270	chr8	118902985	118911542									
Zm00001d010525	78.49		GRMZM2G082384	Chr8	115948007	115952111					Zm00001d010525	Chr8	119256795	119260935	Zm00001eb351300	chr8	119058168	119062404									
Zm00001d010527	78.49		GRMZM2G421415	Chr8	116012475	116014211					Zm00001d010527	Chr8	119321629	119322921	Zm00001eb351320	chr8	119123004	119124653									
Zm00001d010528	78.49		GRMZM2G009936	Chr8	116060353	116062438					Zm00001d010528	Chr8	119336634	119338376	Zm00001eb351330	chr8	119132085	119133946									
pco098162	78.50		GRMZM5G874500	Chr8	116148238	116153056					Zm00001d010530	Chr8	119423081	119427901	Zm00001eb351350	chr8	119217524	119223518									
hsp7	78.50		GRMZM5G802801	Chr8	116145133	116148059					Zm00001d010529	Chr8	119419987	119423027	Zm00001eb351340	chr8	119215374	119218426									
csu204(uce)	78.51		GRMZM2G007276	Chr8	116304177	116308901					Zm00001d010534	Chr8	119590651	119595708	Zm00001eb351380	chr8	119365445	119370660									
riba3	78.52		GRMZM2G336908	Chr8	116376809	116380944					Zm00001d010535	Chr8	119686699	119690647	Zm00001eb351390	chr8	119461509	119466180									
cl20712_1(629)	78.53		GRMZM2G035202	Chr8	116382083	116385353					Zm00001d010536	Chr8	119691974	119695828	Zm00001eb351400	chr8	119466871	119470741									
GRMZM5G883149	78.53		GRMZM5G883149	Chr8	116387917	116389990					Zm00001d010537	Chr8	119697753	119699902	Zm00001eb351410	chr8	119472524	119474902									
ras8A1	78.54		GRMZM5G886109	Chr8	116393113	116393881					Zm00001d010538	Chr8	119702969	119706314	Zm00001eb351420	chr8	119477897	119481278									
umc2735	78.55		GRMZM5G879851	Chr8	116507933	116508288					Zm00001d010540	Chr8	119776590	119776868	Zm00001eb351430	chr8	119551351	119551961									
K8L1	78.60																										
ufg58	78.62																										
umc1765	78.67		GRMZM2G051050	Chr8	117079361	117100135					Zm00001d010564	Chr8	120465369	120489619	Zm00001eb351610	chr8	120240101	120261054									
upl10	78.70		GRMZM2G328988	Chr8	117273598	117288664					Zm00001d010572	Chr8	120659293	120673593	Zm00001eb351670	chr8	120434009	120448490									
cadtfr15	78.75		GRMZM2G064426	Chr8	117330071	117333930					Zm00001d010574	Chr8	120713490	120716661	Zm00001eb351690	chr8	120488286	120492166									
LOC103635780	78.76		GRMZM2G063896	Chr8	117349862	117351374					Zm00001d010575	Chr8	120733570	120733881	Zm00001eb351700	chr8	120508316	120509033									
IDP77a	78.79		GRMZM2G068192	Chr8	117396878	117401717					Zm00001d010578	Chr8	120771225	120776089	Zm00001eb351740	chr8	120545889	120550988									
bnlg2046	78.80																										
pco101267	78.82		GRMZM2G173874	Chr8	117498214	117533097					Zm00001d010583	Chr8	120891791	120902147	Zm00001eb351750	chr8	120547585	120666722									
cdpk20	78.84		GRMZM2G030673	Chr8	117423561	117428562					Zm00001d010579	Chr8	120806361	120811444	Zm00001eb351760	chr8	120581194	120586275									
umc1411b	78.85		GRMZM2G179728	Chr8	117535930	117537364					Zm00001d010584	Chr8	120904982	120906366	Zm00001eb351770	chr8	120669436	120671014									
si947005e09	78.88		AC197705.4_FG011	Chr8	117605513	117618076					Zm00001d010585	Chr8	121006820	121019315	Zm00001eb351780	chr8	120771327	120785087									
B6UH30	78.90		AC197705.4_FG003	Chr8	117630364	117630962					Zm00001d010586	Chr8	121034171	121034963	Zm00001eb351790	chr8	120798652	120799612									
pdc1	79.00		AC197705.4_FG001	Chr8	117692828	117694964					Zm00001d010588	Chr8	121126170	121128814	Zm00001eb351810	chr8	120890750	120893394									
TIDP3511	79.02		AC197705.4_FG007	Chr8	117718701	117722383					Zm00001d010590	Chr8	121144352	121148411	Zm00001eb351830	chr8	120908908	120913019									
GRMZM2G047699	79.06		GRMZM2G047699	Chr8	117807467	117808251					Zm00001d010592	Chr8	121234827	121235653	Zm00001eb351850	chr8	120999488	121000533									
Zm00001eb351860	79.08		GRMZM2G047842	Chr8	117812138	117812715					Zm00001d010593	Chr8	121239784	121240132	Zm00001eb351860	chr8	121004362	121004710									
chx5	79.58		GRMZM2G366851	Chr8	118198091	118203632					Zm00001d010601	Chr8	121526743	121529490	Zm00001eb351920	chr8	121265335	121268661									
cl7841_1	79.60		GRMZM2G065566	Chr8	118205924	118208539					Zm00001d010602	Chr8	121532075	121534063	Zm00001eb351930	chr8	121270446	121273161									
Zm00001d010607	79.66		GRMZM2G034019	Chr8	118311628	118315025					Zm00001d010607	Chr8	121751703	121753400	Zm00001eb351970	chr8	121490066	121493716									
wprb3	79.67		GRMZM2G113554	Chr8	118383046	118386574					Zm00001d010610	Chr8	121822415	121825887	Zm00001eb351980	chr8	121561074	121564735									
cpp3	79.68		GRMZM2G173198	Chr8	121766217	121767657					Zm00001d010713	Chr8	125353037	125356933	Zm00001eb352860	chr8	125151125	125155059									
mir164h	79.70		zma-MIR164h	Chr8	118334042	118334260					zma-MIR164h	Chr8	121773384	121773602													
roa4	79.72		GRMZM2G162445	Chr8	118395998	118401227					Zm00001d010611	Chr8	121835234	121840580	Zm00001eb351990	chr8	121574054	121579419									
epf15	79.75		GRMZM2G162466	Chr8	118405102	118406524					Zm00001d010613	Chr8	121844509	121845862	Zm00001eb352020	chr8	121583399	121584667									
Zm00001d010614	79.77		GRMZM5G827266	Chr8	118416386	118418988					Zm00001d010614	Chr8	121855840	121858325	Zm00001eb352030	chr8	121594643	121597188									
wrky89	79.80		GRMZM2G034421	Chr8	118496550	118498937					Zm00001d010616	Chr8	121973116	121975989	Zm00001eb352050	chr8	121711805	121714933									
wrky44	80.14		GRMZM2G432583	Chr8	118562818	118564187					Zm00001d010617	Chr8	122038132	122039596	Zm00001eb352060	chr8	121776920	121778510									
AY104017	80.15		GRMZM2G132759	Chr8	118566246	118570591					Zm00001d010618	Chr8	122041622	122047006	Zm00001eb352080	chr8	121780361	121784768									
cl3622_1b	80.20		GRMZM2G122569	Chr8	118678191	118682292					Zm00001d010622	Chr8	122164068	122168126	Zm00001eb352100	chr8	121902855	121906849									
pco132911	80.30		GRMZM2G138840	Chr8	118754252	118764213					Zm00001d010625	Chr8	122237999	122247973	Zm00001eb352130	chr8	121976827	121986788									
chx10	80.34		GRMZM2G138817	Chr8	118793452	118797100					Zm00001d010629	Chr8	122278283	122281316	Zm00001eb352150	chr8	122016100	122020175									
skus4	80.50		GRMZM2G142584	Chr8	118896318	118898981					Zm00001d010630	Chr8	122403256	122405755	Zm00001eb352160	chr8	122120841	122123216									
LOC100283730	80.54		GRMZM2G142640	Chr8	118899496	118903214					Zm00001d010631	Chr8	122406423	122410156	Zm00001eb352180	chr8	122123873	122127598									
glk25	80.70		AC234155.1_FG002	Chr8	119108477	119111419					Zm00001d010634	Chr8	122651175	122654847	Zm00001eb352210	chr8	122369130	122372286									
bzip96	80.76		GRMZM2G161009	Chr8	119246143	119249647					Zm00001d010638	Chr8	122764919	122767912	Zm00001eb352240	chr8	122482486	122485851									
TIDP3504	80.78		GRMZM2G161040	Chr8	119270777	119272927					Zm00001d010640	Chr8	122789933	122790997	Zm00001eb352260	chr8	122506714	122509270									
IDP8548	80.79		GRMZM2G405844	Chr8	119332986	119334264					Zm00001d010644	Chr8	122849195	122850714	Zm00001eb352290	chr8	122566580	122568278									
atg18j	80.79		GRMZM2G103793	Chr8	119334838	119335859					Zm00001d010645	Chr8	122851051	122852068	Zm00001eb352300	chr8	122568722	122572074									
Zm00001eb352280	80.79		GRMZM2G161094	Chr8	119294258	119298604					Zm00001d010642	Chr8	122813247	122817179	Zm00001eb352280	chr8	122530744	122531619									
sdg105	80.80		GRMZM2G140577	Chr8	119356309	119359897					Zm00001d010646	Chr8	122873951	122875909	Zm00001eb352310	chr8	122588032	122598634									
Zm00001d010649	80.92		GRMZM2G005557	Chr8	119429656	119430421					Zm00001d010649	Chr8	122943984	122944412	Zm00001eb352340	chr8	122661305	122662304									
IDP7337	80.94		GRMZM2G004703	Chr8	119432505	119435152					Zm00001d010650	Chr8	122947080	122947421	Zm00001eb352350	chr8	122664279	122666904									
gta101d	80.95																										
nec1	81.00																										
T6-8(6187)(8)	81.00																										
T6-8(6873)(8)	81.00																										
LOC100303993	81.02		GRMZM2G062555	Chr8	119542661	119544845					Zm00001d010654	Chr8	123057413	123058486	Zm00001eb352390	chr8	122772542	122776340									
ca5p18	81.03		AC201832.3_FG006	Chr8	119573868	119575960																					
cyc1	81.06		GRMZM2G034647	Chr8	119587820	119590668					Zm00001d010656	Chr8	123103586	123106431	Zm00001eb352410	chr8	122821165	122824014									
bzip25	81.24		GRMZM2G080731	Chr8	119662868	119665630					Zm00001d010658	Chr8	123182660	123185472	Zm00001eb352420	chr8	122900242	122903175									
cdpk28	81.30		GRMZM2G340224	Chr8	119699671	119702660					Zm00001d010659	Chr8	123186799	123189450	Zm00001eb352430	chr8	122904216	122907342									
vq43	81.35		GRMZM2G036980	Chr8	119676468	119677532					Zm00001d010661	Chr8	123211885	123212355	Zm00001eb352450	chr8	122929179	122930283									
snrkb1	81.40		GRMZM2G025459	Chr8	119744949	119748072					Zm00001d010662	Chr8	123263372	123266229	Zm00001eb352470	chr8	122980936	122983977									
bzip108	81.43		GRMZM2G033230	Chr8	120135941	120137704					Zm00001d010667	Chr8	123641909	123643672	Zm00001eb352500	chr8	123359519	123361275									
glpdh3	81.50		GRMZM2G173195	Chr8	120280265	120283927					Zm00001d010670	Chr8	123786952	123790784	Zm00001eb352530	chr8	123504558	123508305									
GRMZM2G380561	81.53		GRMZM2G380561	Chr8	120295145	120298579					Zm00001d010671	Chr8	123808321	123811312	Zm00001eb352540	chr8	123525917	123529216									
pgk2	81.54		GRMZM2G083016	Chr8	120300948	120305946					Zm00001d010672	Chr8	123814340	123816096	Zm00001eb352550	chr8	123531759	123536738									
mca10	81.59		GRMZM2G066041	Chr8	120397497	120399854					Zm00001d010675	Chr8	123944597	123946927	Zm00001eb352560	chr8	123662341	123664716									
ereb93	81.60		GRMZM2G066158	Chr8	120401709	120402944					Zm00001d010676	Chr8	123949136	123949753	Zm00001eb352570	chr8	123666564	123667902									
ereb92	81.70		GRMZM2G174347	Chr8	120487038	120488230					Zm00001d000339	B73V4_ctg23	49432	50133	Zm00001eb352580	chr8	123729914	123731037									
pgl50	81.80		GRMZM2G179444	Chr8	120705512	120708026					Zm00001d010681	Chr8	124135102	124137466	Zm00001eb352630	chr8	123942479	123946730									
LOC103635819	81.82		GRMZM2G410318	Chr8	120811340	120815050					Zm00001d010684	Chr8	124240535	124284136	Zm00001eb352660	chr8	124103394	124114076									
si660006e05	81.84		GRMZM2G043069	Chr8	120946357	120948469					Zm00001d010687	Chr8	124481599	124483936	Zm00001eb352680	chr8	124291049	124293481									
LOC100191999	81.86		GRMZM2G042865	Chr8	120963148	120965266					Zm00001d010689	Chr8	124498926	124500368	Zm00001eb352700	chr8	124307329	124310137									
LOC100382397	81.87		GRMZM2G074631	Chr8	121012180	121014558					Zm00001d010690	Chr8	124548140	124549582	Zm00001eb352710	chr8	124357201	124359222									
Zm00001d010693	81.88		GRMZM2G010927	Chr8	121196849	121199067					Zm00001d010693	Chr8	124738149	124740137	Zm00001eb352720	chr8	124547599	124549579									
aas12	81.90		GRMZM2G366873	Chr8	121324635	121327442					Zm00001d010697	Chr8	124866876	124869473	Zm00001eb352750	chr8	124676347	124679034									
IDP2456	82.00		GRMZM2G082792	Chr8	121410699	121415051					Zm00001d010698	Chr8	124955542	124959901	Zm00001eb352760	chr8	124765168	124769556									
IDP8437	82.04		GRMZM2G384755	Chr8	121416706	121425204					Zm00001d010700	Chr8	124961672	124970124	Zm00001eb352780	chr8	124771294	124779793									
IDP4871	82.06		GRMZM2G082894	Chr8	121429032	121431846					Zm00001d010702	Chr8	124974034	124976815	Zm00001eb352790	chr8	124783590	124786446									
Zm00001d010704	82.10		GRMZM2G157690	Chr8	121586816	121587401					Zm00001d010704	Chr8	125139476	125140021	Zm00001eb352810	chr8	124938991	124949836									
bnl2.369	82.35																										
ubp40	82.38		GRMZM2G386851	Chr8	121653993	121658865					Zm00001d010710	Chr8	125242585	125262467	Zm00001eb352840	chr8	125040651	125060564									
cpp8	82.40		GRMZM2G096600	Chr8	121748701	121752582					Zm00001d010713	Chr8	125353037	125356933	Zm00001eb352860	chr8	125151125	125155059									
trud1	82.42		GRMZM2G173137	Chr8	121767977	121774229					Zm00001d010714	Chr8	125357230	125363502	Zm00001eb352870	chr8	125155260	125161684									
cl5838_2	82.45		GRMZM6G650316	scaffold_148	3	412					Zm00001d010715	Chr8	125482282	125483096	Zm00001eb352880	chr8	125280409	125281289									
ubp41	82.47		GRMZM2G060213	Chr8	121936384	121946840					Zm00001d010716	Chr8	125524850	125538429	Zm00001eb352890	chr8	125322704	125336671									
ktf1	82.50		GRMZM2G375222	Chr8	121985823	121998450					Zm00001d010719	Chr8	125575872	125588157	Zm00001eb352910	chr8	125373841	125386412									
Zm00001d010720	82.51										Zm00001d010720	Chr8	125869668	125880230	Zm00001eb352920	chr8	125667680	125678505									
tlc15	82.52										Zm00001d010723	Chr8	125888822	125894023	Zm00001eb352940	chr8	125686812	125692026									
umc1130	82.53										Zm00001d010724	Chr8	125953884	125957239	Zm00001eb352950	chr8	125751814	125755441									
pd2	83.00																										
bag14	83.96										Zm00001d010727	Chr8	126049914	126051817	Zm00001eb352990	chr8	125848036	125849865									
pco098884	84.00		GRMZM2G154936	Chr8	122280884	122283107					Zm00001d010728	Chr8	126076102	126078343	Zm00001eb353010	chr8	125873861	125876483									
tcptf7	84.20		GRMZM2G035944	Chr8	122433073	122435587					Zm00001d010730	Chr8	126238922	126239749	Zm00001eb353030	chr8	126035682	126038196									
cl40108_1	84.22		GRMZM2G035651	Chr8	122458159	122463865					Zm00001d010731	Chr8	126262318	126268366	Zm00001eb353050	chr8	126060857	126066517									
rop7	84.24		AC209819.3_FG012	Chr8	122478251	122480444					Zm00001d010732	Chr8	126282952	126285155	Zm00001eb353070	chr8	126080785	126083280									
ras7B2	84.25		GRMZM5G811797	Chr8	122480635	122483400					Zm00001d010733	Chr8	126285347	126288165	Zm00001eb353080	chr8	126083472	126086212									
cl4945_1	84.26		GRMZM2G095955	Chr8	122678587	122682868					Zm00001d010744	Chr8	126505748	126509894	Zm00001eb353180	chr8	126303795	126308008									
dof44	84.26		AC209819.3_FG009	Chr8	122590335	122590955					Zm00001d010740	Chr8	126441198	126441836	Zm00001eb353140	chr8	126239178	126240030									
lbd37	84.26		AC234149.1_FG002	Chr8	122851972	122852823					Zm00001d010749	Chr8	126702595	126703446	Zm00001eb353210	chr8	126500371	126501739									
cipk19	84.26		GRMZM2G096115	Chr8	122674721	122676803					Zm00001d010743	Chr8	126502112	126503641	Zm00001eb353170	chr8	126297959	126302011									
Zm00001d010736	84.26		AC209819.3_FG005	Chr8	122571213	122573373					Zm00001d010736	Chr8	126378027	126380486	Zm00001eb353110	chr8	126176136	126178761									
lbd38	84.27		GRMZM2G073044	Chr8	122998640	123000039					Zm00001d010751	Chr8	126849996	126850937	Zm00001eb353230	chr8	126647779	126649144									
pebp8	84.28		GRMZM2G179264	Chr8	123030387	123032175					Zm00001d010752	Chr8	126880531	126882389	Zm00001eb353250	chr8	126678681	126680474									
thx49	84.28		GRMZM2G179274	Chr8	123036463	123038206					Zm00001d010753	Chr8	126886521	126888573	Zm00001eb353260	chr8	126685029	126686229									
trps1	84.29		GRMZM2G068943	Chr8	123130508	123138783					Zm00001d010755	Chr8	126969528	126978127	Zm00001eb353280	chr8	126767666	126776743									
hox1	84.30		GRMZM2G136369	Chr8	123435516	123441977					Zm00001d010758	Chr8	127166352	127183436	Zm00001eb353320	chr8	126964622	126981586									
trap1	84.30														Zm00001eb353320	chr8	126964622	126981586									
vq44	84.32		GRMZM2G180668	Chr8	123339822	123340768					Zm00001d010759	Chr8	127187617	127188279	Zm00001eb353330	chr8	126985665	126986660									
mkkk74	84.34		GRMZM2G104283	Chr8	123373566	123377720					Zm00001d000396	B73V4_ctg173	7834	11320	Zm00001eb353340	chr8	127040855	127045511									
saur69	84.36		GRMZM2G350023	Chr8	123428382	123429875					Zm00001d010762	Chr8	127310338	127310730	Zm00001eb353350	chr8	127108148	127108756									
si683029b02b	84.74		GRMZM2G162884	Chr8	123738176	123742715					Zm00001d010782	Chr8	127602768	127607332	Zm00001eb353440	chr8	127385141	127389698									
cl35280_1	84.78		GRMZM2G127844	Chr8	123812410	123817255					Zm00001d010784	Chr8	127677367	127682293	Zm00001eb353460	chr8	127461497	127464614									
gata32	84.80		GRMZM2G135381	Chr8	123887193	123889333					Zm00001d010785	Chr8	127752529	127754303	Zm00001eb353470	chr8	127534859	127537205									
krp3	84.85		GRMZM2G173700	Chr8	123987283	123994126					Zm00001d010790	Chr8	127852075	127860775	Zm00001eb353510	chr8	127634517	127643144									
Zm00001d010791	84.87		GRMZM2G173710	Chr8	124015413	124020226					Zm00001d010791	Chr8	127880214	127887153	Zm00001eb353520	chr8	127662630	127665762									
pme38	84.90		GRMZM2G071339	Chr8	124117598	124119598					Zm00001d010793	Chr8	127990790	127992883	Zm00001eb353540	chr8	127773148	127775559									
iqd20	84.95		GRMZM2G058690	Chr8	124175541	124178204					Zm00001d010795	Chr8	128032677	128035296	Zm00001eb353550	chr8	127815100	127817723									
hex3	85.00		GRMZM2G058745	Chr8	124182497	124187982					Zm00001d010796	Chr8	128039610	128045077	Zm00001eb353560	chr8	127821637	127827658									
prf2	85.10		GRMZM2G109842	Chr8	124237915	124239012					Zm00001d010797	Chr8	128115856	128116962	Zm00001eb353570	chr8	127898290	127899431									
Zm00001d010798	85.30		GRMZM2G106819	Chr8	124326719	124327641					Zm00001d010798	Chr8	128194128	128195278	Zm00001eb353580	chr8	127976544	127977754									
Zm00001d010799	85.32		GRMZM2G106917	Chr8	124329164	124340821					Zm00001d010799	Chr8	128196797	128210614	Zm00001eb353590	chr8	127979235	127991898									
Zm00001d010801	85.43		GRMZM2G392988	Chr8	124361368	124364917					Zm00001d010801	Chr8	128221197	128224007	Zm00001eb353620	chr8	128003807	128004674									
LOC100383589	85.45		GRMZM2G095807	Chr8	124377661	124379437					Zm00001d010802	Chr8	128255294	128257515	Zm00001eb353640	chr8	128038314	128040087									
TIDP2716	85.46		GRMZM2G082707	Chr8	124460059	124462084					Zm00001d010803	Chr8	128340719	128342749	Zm00001eb353650	chr8	128112462	128114432									
AY104566	85.50		GRMZM2G319747	Chr8	124466844	124472346					Zm00001d010804	Chr8	128347494	128353068	Zm00001eb353660	chr8	128124010	128124838									
wrky119	85.52		GRMZM2G015433	Chr8	124481009	124482168					Zm00001d010805	Chr8	128361517	128362582	Zm00001eb353670	chr8	128132417	128134338									
IDP2454	85.54		GRMZM2G353822	Chr8	124537076	124538244																					
pco077238	85.56		GRMZM2G408989	Chr8	124641151	124644617					Zm00001d010808	Chr8	128526652	128530176	Zm00001eb353690	chr8	128298385	128301761									
snrkI4	85.58		AC205471.4_FG002	Chr8	124720270	124723827					Zm00001d010811	Chr8	128600595	128623332	Zm00001eb353700	chr8	128372001	128391664									
hsftf16	85.60		AC205471.4_FG003	Chr8	124710390	124712153					Zm00001d010812	Chr8	128602960	128604732	Zm00001eb353710	chr8	128374370	128376696									
AC205471.4_FG008	85.66		AC205471.4_FG008	Chr8	124726584	124727981					Zm00001d010813	Chr8	128624529	128626084	Zm00001eb353740	chr8	128396256	128397971									
cl43678_1	85.70		AC205471.4_FG007	Chr8	124755914	124756553					Zm00001d010814	Chr8	128678323	128678739	Zm00001eb353760	chr8	128449999	128450732									
ss4	85.80		GRMZM2G044744	Chr8	124838621	124847166					Zm00001d010821	Chr8	128734662	128743577	Zm00001eb353810	chr8	128506394	128515439									
csu841b	85.82		GRMZM2G420684	Chr8	124922168	124924175					Zm00001d010822	Chr8	128819168	128821322	Zm00001eb353820	chr8	128590759	128593066									
pco099200	85.90		GRMZM2G048117	Chr8	124996326	124999871					Zm00001d010824	Chr8	128893375	128896851	Zm00001eb353840	chr8	128665123	128669020									
ect5	85.94										Zm00001d010827	Chr8	129101920	129102856	Zm00001eb353860	chr8	128871065	128875568									
IDP8722	85.96		GRMZM6G218160	scaffold_49	1735	3278					Zm00001d010828	Chr8	129176182	129180135	Zm00001eb353870	chr8	128947746	128951914									
fla23	85.99		GRMZM6G488477	scaffold_490	804	1293					Zm00001d010832	Chr8	129280800	129281597	Zm00001eb353910	chr8	129052369	129053574									
alf9	86.00		GRMZM2G017142	Chr8	125066160	125069152					Zm00001d010834	Chr8	129331385	129334443	Zm00001eb353930	chr8	129103144	129106184									
LOC100281742	86.02		GRMZM2G029027	Chr8	125119625	125124894					Zm00001d010835	Chr8	129351635	129358502	Zm00001eb353940	chr8	129123330	129130299									
zip6	86.90		GRMZM2G034551	Chr8	125271195	125274092					Zm00001d010838	Chr8	129538321	129541025	Zm00001eb353960	chr8	129310125	129312895									
TB-8Lb(8)	87.00																										
umc1562	87.05		GRMZM2G059693	Chr8	125432314	125436769					Zm00001d010840	Chr8	129739531	129743950	Zm00001eb353970	chr8	129511420	129515733									
cchh1	87.10		GRMZM2G380515	Chr8	125606805	125613287					Zm00001d010842	Chr8	129920062	129926481	Zm00001eb353990	chr8	129691783	129698292									
LOC118473138	87.24		GRMZM5G871000	Chr8	125973168	125974101					Zm00001d010849	Chr8	130303051	130312915	Zm00001eb354060	chr8	130074785	130084887									
pco095139	87.28		AC208327.4_FG003	Chr8	126020981	126034902					Zm00001d010850	Chr8	130351343	130365339	Zm00001eb354080	chr8	130122882	130137038									
miR169q	87.29		zma-MIR169q	Chr8	126051663	126051768					zma-MIR169q	Chr8	130375286	130375391													
miR169v	87.29																										
