MaizeGDB: Details of Map Genetic 2
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML103-REFERENCE-NAM-1.0_gene_model	Zm-CML103-REFERENCE-NAM-1.0_chr	Zm-CML103-REFERENCE-NAM-1.0_start	Zm-CML103-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Sequence
IDP6936	89.79		GRMZM2G424491	Chr2	147902840	147935935	Zm00001d004977	Chr2	151850327	151853942	Zm00001eb093260	chr2	151625957	151659131																																	
ring129	89.80		GRMZM2G123660	Chr2	147944955	147959273	Zm00001d004979	Chr2	151892428	151907067	Zm00001eb093280	chr2	151668216	151682688																																	
GRMZM2G123652	89.80		GRMZM2G123652	Chr2	147937439	147943881	Zm00001d004978	Chr2	151887246	151891610	Zm00001eb093270	chr2	151660664	151667307																																	
umc2110	89.85		GRMZM2G101867	Chr2	148341982	148350516	Zm00001d004986	Chr2	152282189	152291110	Zm00001eb093320	chr2	152057387	152066883																																	
GRMZM2G173035	89.88		GRMZM2G173035	Chr2	148689498	148696054	Zm00001d004992	Chr2	152645285	152651759	Zm00001eb093380	chr2	152402164	152408835																																	
ccr2	89.90		GRMZM2G064896	Chr2	149136004	149139243	Zm00001d004997	Chr2	153083988	153087202	Zm00001eb093400	chr2	152841523	152844562																																	
l18	90.00																																														
cdpk2	90.00		GRMZM2G365815	Chr2	149142039	149144480	Zm00001d004998	Chr2	153089892	153092511	Zm00001eb093410	chr2	152847100	152850437																																	
K2L	90.00																																														
tom3	90.10		GRMZM2G141081	Chr2	149197052	149201004	Zm00001d005001	Chr2	153144332	153148743	Zm00001eb093430	chr2	152901305	152906124																																	
tom7	90.30		GRMZM2G115658	Chr2	149292250	149296295	Zm00001d005002	Chr2	153238644	153242689	Zm00001eb093440	chr2	152995948	152999988																																	
cal4	90.32		GRMZM2G115628	Chr2	149302366	149303449	Zm00001d005003	Chr2	153248802	153249887	Zm00001eb093450	chr2	153006044	153007318																																	
cl26857_1	90.33		GRMZM2G025024	Chr2	149351723	149356144	Zm00001d005004	Chr2	153295095	153299657	Zm00001eb093460	chr2	153052314	153056913																																	
gata1	90.35		GRMZM2G025002	Chr2	149357261	149359087	Zm00001d005005	Chr2	153300918	153302288	Zm00001eb093480	chr2	153058031	153059771																																	
vq15	90.36		GRMZM2G147443	Chr2	149503601	149504268	Zm00001d005007	Chr2	153449367	153449951	Zm00001eb093500	chr2	153206424	153207357																																	
GRMZM2G147446	90.36		GRMZM2G147446	Chr2	149499201	149502983	Zm00001d005006	Chr2	153444868	153448483	Zm00001eb093490	chr2	153202194	153205868																																	
hin19	90.37		GRMZM2G039969	Chr2	149548467	149549723	Zm00001d005010	Chr2	153499579	153500433	Zm00001eb093530	chr2	153256698	153258107																																	
wri1	90.40		GRMZM2G124524	Chr2	149971656	149977527	Zm00001d005016	Chr2	153920645	153926320	Zm00001eb093560	chr2	153662240	153668269																																	
mate18	90.41		GRMZM2G079127	Chr2	150148299	150150973	Zm00001d005018	Chr2	154107681	154110474	Zm00001eb093580	chr2	153850236	153852288																																	
LOC103649000	90.41		GRMZM2G079100	Chr2	150138628	150140887	Zm00001d005017	Chr2	154098613	154100666	Zm00001eb093570	chr2	153839943	153842106																																	
lacs8	90.42		GRMZM2G079236	Chr2	150152533	150159396	Zm00001d005019	Chr2	154112079	154118952	Zm00001eb093590	chr2	153853849	153860713																																	
Zm00001d005023	90.44		GRMZM2G377797	Chr2	150420659	150421474	Zm00001d005023	Chr2	154380003	154380449	Zm00001eb093610	chr2	154121741	154122556																																	
pco129008	90.46		GRMZM2G017941	Chr2	150652796	150657061	Zm00001d005027	Chr2	154617731	154621976	Zm00001eb093640	chr2	154359565	154363823																																	
nactf126	90.47		GRMZM2G018436	Chr2	150664743	150666249	Zm00001d005028	Chr2	154629678	154631157	Zm00001eb093650	chr2	154371389	154372991																																	
gras37	90.50		GRMZM2G015080	Chr2	150778730	150782551	Zm00001d005029	Chr2	154743078	154746493	Zm00001eb093670	chr2	154484874	154488700																																	
Zm00001eb093700	90.56		GRMZM2G075493	Chr2	150976948	150977850					Zm00001eb093700	chr2	154683254	154685804																																	
chx7	90.57		GRMZM2G130049	Chr2	151074219	151076969	Zm00001d005032	Chr2	155039785	155042337	Zm00001eb093710	chr2	154781486	154784474																																	
Zm00001eb093750	90.59		GRMZM2G007283	Chr2	151335183	151340249	Zm00001d005036	Chr2	155301263	155306254	Zm00001eb093750	chr2	155043164	155048143																																	
LOC103647138	90.60		GRMZM2G460138	Chr2	151390080	151390597	Zm00001d005037	Chr2	155349292	155350224	Zm00001eb093770	chr2	155091457	155091974																																	
LOC103649009	90.64						Zm00001d005050	Chr2	156267427	156268288																																					
IDP8930	90.66		GRMZM2G051491	Chr2	152242069	152244277	Zm00001d005053	Chr2	156307964	156310385	Zm00001eb093910	chr2	156035220	156037653																																	
mybr4	90.70		GRMZM2G032180	Chr2	152273149	152273832	Zm00001d005055	Chr2	156345821	156346504	Zm00001eb093920	chr2	156072875	156074158																																	
wrky23	90.75		GRMZM2G400559	Chr2	152320522	152321739	Zm00001d005056	Chr2	156393219	156394669	Zm00001eb093930	chr2	156120469	156121686																																	
wrky24	90.80		GRMZM2G099593	Chr2	152369498	152370911	Zm00001d005057	Chr2	156441979	156443513	Zm00001eb093940	chr2	156169453	156170852																																	
Zm00001d005062	90.81		GRMZM2G389362	Chr2	152803245	152807106	Zm00001d005062	Chr2	156883161	156887322	Zm00001eb093970	chr2	156610575	156614700																																	
IDP4963	90.82						Zm00001d005063	Chr2	156913472	156927315	Zm00001eb093980	chr2	156640569	156674207																																	
cl26752_1	90.83		GRMZM2G444808	Chr2	152841914	152871443	Zm00001d005065	Chr2	156948668	156951694	Zm00001eb094000	chr2	156675752	156678795																																	
v4	91.00																																														
npi297	91.80																																														
umc1079	92.33																																														
bnlg1831	92.50																																														
prh63	92.54		GRMZM2G153675	Chr2	153135403	153138194	Zm00001d005071	Chr2	157220798	157223456	Zm00001eb094040	chr2	156948040	156950830																																	
umc255a	92.55	2.06	GRMZM2G452717	Chr2	153139055	153143121	Zm00001d005072	Chr2	157224518	157228483	Zm00001eb094050	chr2	156951733	156955803																																	
cl15997_2a	92.60		GRMZM5G841268	Chr2	153494309	153495528	Zm00001d005076	Chr2	157557968	157559489	Zm00001eb094100	chr2	157286146	157286773																																	
IDP746	92.60																																														
mate5	92.60		GRMZM5G890665	Chr2	153549513	153553629	Zm00001d005080	Chr2	157613247	157617354	Zm00001eb094160	chr2	157554580	157559169																																	
LOC112543451	92.60		AC233966.1_FG003	Chr2	153558504	153559112	Zm00001d005082	Chr2	157619104	157622725	Zm00001eb094180	chr2	157560694	157564284																																	
glk35	92.61		GRMZM5G846506	Chr2	153730130	153732080	Zm00001d005087	Chr2	157736007	157737776	Zm00001eb094230	chr2	157677499	157679506																																	
mtg1	92.61						Zm00001d000951	Chr2	157586170	157586843																																					
clhc2	92.61		GRMZM5G804382	Chr2	153774846	153777065	Zm00001d005090	Chr2	157782896	157793519	Zm00001eb094250	chr2	157724325	157735034																																	
pbf1	92.62		GRMZM2G146283	Chr2	154144472	154148029	Zm00001d005100	Chr2	158142366	158156919	Zm00001eb094330	chr2	158084097	158087728																																	
cl37816_1	92.62		GRMZM2G146378	Chr2	154136722	154141624	Zm00001d005099	Chr2	158134866	158139401	Zm00001eb094320	chr2	158076559	158081145																																	
GRMZM2G146267	92.62		GRMZM2G146267	Chr2	154150352	154158967					Zm00001eb094340	chr2	158089815	158098689																																	
ton1	92.64		GRMZM2G151268	Chr2	154252206	154255981	Zm00001d005102	Chr2	158273978	158277824	Zm00001eb094350	chr2	158215871	158219519																																	
pco084268	92.67		GRMZM2G416684	Chr2	154424437	154428825	Zm00001d005105	Chr2	158411267	158415830	Zm00001eb094370	chr2	158352964	158357574																																	
IDP7449	92.68		GRMZM2G070284	Chr2	154493242	154500432	Zm00001d005106	Chr2	158478752	158485915	Zm00001eb094380	chr2	158420453	158427927																																	
snrk1a2	93.00		GRMZM2G180704	Chr2	154579939	154587570	Zm00001d005108	Chr2	158564427	158572132	Zm00001eb094400	chr2	158506020	158514124																																	
cl11887_1	93.04		GRMZM2G180691	Chr2	154590456	154602373	Zm00001d005110	Chr2	158575159	158586743	Zm00001eb094420	chr2	158516746	158528822																																	
cl21213_1	93.06		GRMZM2G161278	Chr2	155127406	155132315	Zm00001d005114	Chr2	159058949	159063855	Zm00001eb094460	chr2	159000646	159005543																																	
Zm00001d005125	93.09		GRMZM2G088293	Chr2	155653997	155661961	Zm00001d005125	Chr2	159692891	159695636																																					
upl9	93.10		GRMZM2G021299	Chr2	155706921	155736767	Zm00001d005127	Chr2	159740529	159770203	Zm00001eb094520	chr2	159637075	159666715																																	
ptk4	93.20		AC217842.3_FG001	Chr2	156421058	156425687	Zm00001d005135	Chr2	160460364	160465842	Zm00001eb094540	chr2	160344189	160349961																																	
phd52	93.22		GRMZM2G313944	Chr2	156485850	156497082	Zm00001d005137	Chr2	160527706	160580969	Zm00001eb094550	chr2	160411330	160464619																																	
bzip129	93.25						Zm00001d005143	Chr2	160785204	160795415	Zm00001eb094570	chr2	160668429	160679466																																	
plt22	93.30		GRMZM2G164440	Chr2	156962054	156963314	Zm00001d005146	Chr2	161023220	161023567	Zm00001eb094610	chr2	160906227	160907266																																	
fat3	93.32		GRMZM2G017382	Chr2	157033595	157035388	Zm00001d005148	Chr2	161094504	161096484	Zm00001eb094620	chr2	160977800	160981661																																	
ppr116	93.33		GRMZM2G138303	Chr2	157156055	157159153	Zm00001d005149	Chr2	161142292	161146791	Zm00001eb094630	chr2	161025793	161030538																																	
ask2	93.38		GRMZM2G052935	Chr2	157355447	157361044	Zm00001d005151	Chr2	161363227	161368845	Zm00001eb094670	chr2	161226305	161232000																																	
spds1	93.38		GRMZM2G064163	Chr2	157843938	157848341	Zm00001d005159	Chr2	161850986	161855350	Zm00001eb094730	chr2	161723863	161727988																																	
bbr2	93.38		GRMZM2G166230	Chr2	157868458	157869994	Zm00001d005160	Chr2	161883752	161884455	Zm00001eb094740	chr2	161755881	161757360																																	
LOC100382087	93.38		GRMZM2G166245	Chr2	157870135	157872675	Zm00001d005161	Chr2	161884678	161887223	Zm00001eb094750	chr2	161757465	161760100																																	
caspl10	93.38		GRMZM5G863076	Chr2	157667470	157669682	Zm00001d005158	Chr2	161666601	161668813	Zm00001eb094710	chr2	161539319	161541628																																	
parp2	93.39		GRMZM5G831712	Chr2	158095514	158128380	Zm00001d005168	Chr2	162092060	162124973	Zm00001eb094840	chr2	161964940	161997894																																	
cdpk33	93.39		GRMZM2G365035	Chr2	157924513	157932377	Zm00001d005164	Chr2	161924685	161932707	Zm00001eb094770	chr2	161797562	161805667																																	
Zm00001eb094860	93.41		GRMZM2G107956	Chr2	158213652	158215288	Zm00001d005169	Chr2	162168216	162170065	Zm00001eb094860	chr2	162040565	162042941																																	
cl28737_1	93.42		GRMZM2G107968	Chr2	158238301	158242555	Zm00001d005170	Chr2	162191711	162197329	Zm00001eb094870	chr2	162065948	162070202																																	
IDP8613	93.43		GRMZM2G009626	Chr2	158263926	158273549	Zm00001d005173	Chr2	162271491	162281270	Zm00001eb094880	chr2	162143875	162154255																																	
ras8C1	93.44		GRMZM2G111494	Chr2	158581340	158588299					Zm00001eb094940	chr2	162457724	162464867																																	
ugt5174	93.44		GRMZM2G463996	Chr2	158385419	158389913	Zm00001d005174	Chr2	162398074	162402945	Zm00001eb094890	chr2	162271068	162276069																																	
pco131625	93.45		GRMZM2G019251	Chr2	158692993	158700989	Zm00001d005179	Chr2	162701249	162708553	Zm00001eb094960	chr2	162573910	162581612																																	
B6T4F7	93.46		GRMZM2G069005	Chr2	158868333	158871537	Zm00001d005182	Chr2	162854863	162858098	Zm00001eb094970	chr2	162728173	162731169																																	
alf19	93.47		GRMZM2G047316	Chr2	158912747	158917610	Zm00001d005185	Chr2	162911443	162914557	Zm00001eb094990	chr2	162784088	162787674																																	
cybv1	93.48		GRMZM2G152438	Chr2	159004640	159013609	Zm00001d005188	Chr2	163003511	163010881	Zm00001eb095000	chr2	162874943	162883872																																	
hma4	93.49		GRMZM2G455491	Chr2	159019693	159023011	Zm00001d005189	Chr2	163016710	163020248	Zm00001eb095010	chr2	162889727	162893463																																	
cl14746_1a	93.50		GRMZM5G876616	Chr2	159085087	159087611	Zm00001d005193	Chr2	163079620	163082144	Zm00001eb095030	chr2	162952551	162955197																																	
hma3	93.50		GRMZM2G175576	Chr2	159040587	159044553	Zm00001d005190	Chr2	163038225	163041426	Zm00001eb095020	chr2	162910876	162914856																																	
umc1156	93.51		GRMZM2G063643	Chr2	159467436	159472706	Zm00001d005205	Chr2	163509070	163514363	Zm00001eb095100	chr2	163359197	163364502																																	
cl17704_1c	93.51						Zm00001d005195	Chr2	163095556	163101315	Zm00001eb095050	chr2	162968613	162974486																																	
pco128954a	93.51		GRMZM2G139900	Chr2	159306857	159309225	Zm00001d005200	Chr2	163303610	163305990	Zm00001eb095080	chr2	163176694	163179001																																	
Zm00001d005203	93.51						Zm00001d005203	Chr2	163456179	163457054	Zm00001eb095090	chr2	163306347	163307285																																	
nactf5	93.52		GRMZM2G162739	Chr2	159575160	159577058	Zm00001d005208	Chr2	163612209	163613834	Zm00001eb095110	chr2	163462313	163464023																																	
Zm00001d005219	93.53		GRMZM2G347869	Chr2	159956492	159957852	Zm00001d005219	Chr2	163988779	163994278	Zm00001eb095160	chr2	163839829	163845722																																	
pza02939	93.54		GRMZM2G163769	Chr2	160620927	160623348	Zm00001d005228	Chr2	164595462	164597890	Zm00001eb095190	chr2	164437014	164439438																																	
hfi1	93.55		GRMZM2G304548	Chr2	160784375	160785866	Zm00001d005230	Chr2	164746346	164746813	Zm00001eb095210	chr2	164587700	164588756																																	
Zm00001d005231	93.57		GRMZM2G347798	Chr9	139157598	139160068	Zm00001d005231	Chr2	164761161	164765303	Zm00001eb095230	chr2	164603123	164606933																																	
ipt9	93.60		GRMZM2G018046	Chr2	161360574	161361649	Zm00001d005239	Chr2	165340406	165341449	Zm00001eb095250	chr2	165161688	165163248																																	
fha7	93.62		GRMZM2G150608	Chr2	161415278	161423070	Zm00001d005240	Chr2	165391566	165398971	Zm00001eb095260	chr2	165213180	165220632																																	
bzip86	93.62		GRMZM2G171370	Chr2	161590575	161596682	Zm00001d005244	Chr2	165521128	165527158	Zm00001eb095290	chr2	165342521	165349232																																	
LOC113002608	93.62		GRMZM5G893607	Chr2	161642512	161648763					Zm00001eb095300	chr2	165399690	165406072																																	
GRMZM2G051367	93.63		GRMZM2G051367	Chr2	161678966	161683923	Zm00001d005248	Chr2	165633997	165638983	Zm00001eb095330	chr2	165455657	165460896																																	
cesa9	93.64		GRMZM2G018241	Chr2	161757546	161763704	Zm00001d005250	Chr2	165690684	165696645	Zm00001eb095350	chr2	165512355	165518348																																	
Zm00001d005251	93.65		GRMZM2G165133	Chr2	161831341	161832630	Zm00001d005251	Chr2	165786275	165787366	Zm00001eb095360	chr2	165607949	165609053																																	
GRMZM2G124103	93.66		GRMZM2G124103	Chr2	161981401	161984108	Zm00001d005253	Chr2	165939745	165942452	Zm00001eb095390	chr2	165761531	165763960																																	
dia1	93.70																																														
sfp7	93.70		GRMZM2G068212	Chr2	162036805	162097479	Zm00001d005256	Chr2	165995200	165998280	Zm00001eb095410	chr2	165816972	165884895																																	
sbt9	93.70		GRMZM2G068205	Chr2	162032690	162036969	Zm00001d005254	Chr2	165990939	165994756	Zm00001eb095400	chr2	165812612	165814371																																	
cl52258_1	93.71		GRMZM2G158575	Chr2	162230925	162242868	Zm00001d005264	Chr2	166202913	166214873	Zm00001eb095440	chr2	166024613	166036698																																	
cl57058_1b	93.72		GRMZM2G158593	Chr2	162245531	162246346	Zm00001d005265	Chr2	166217704	166218330	Zm00001eb095450	chr2	166039281	166040287																																	
LOC103649053	93.72		GRMZM2G083984	Chr2	162387672	162391388	Zm00001d005266	Chr2	166358877	166362593	Zm00001eb095460	chr2	166182346	166182898																																	
si606019c02	93.73		GRMZM2G088261	Chr2	162488775	162503862	Zm00001d005269	Chr2	166451535	166466680	Zm00001eb095480	chr2	166273248	166288490																																	
GRMZM2G086418	93.73		GRMZM2G086418	Chr2	162585368	162595679	Zm00001d005270	Chr2	166551926	166562036	Zm00001eb095500	chr2	166373925	166383826																																	
pab2	93.74		GRMZM2G102829	Chr2	163100314	163106027	Zm00001d005276	Chr2	167097474	167102855	Zm00001eb095540	chr2	166900507	166906461																																	
arm31	93.74		GRMZM2G411260	Chr2	162859808	162864889	Zm00001d005275	Chr2	166840385	166842121	Zm00001eb095530	chr2	166658652	166664196																																	
prx27	93.74		GRMZM2G136042	Chr2	163215542	163216918	Zm00001d005279	Chr2	167218110	167219679	Zm00001eb095550	chr2	167021674	167022917																																	
Zm00001d005281	93.74		GRMZM2G065276	Chr2	163595658	163616052	Zm00001d005281	Chr2	167625991	167646542	Zm00001eb095560	chr2	167384845	167405370																																	
cl33591_1c	93.75						Zm00001d005286	Chr2	167709555	167710604	Zm00001eb095600	chr2	167468425	167469407																																	
cyc11	93.75		GRMZM2G161382	Chr2	163951423	163953820	Zm00001d005293	Chr2	168005838	168007927	Zm00001eb095620	chr2	167752814	167755257																																	
IDP825	93.80		GRMZM5G874167	Chr2	164078393	164086440	Zm00001d005295	Chr2	168137133	168145157	Zm00001eb095630	chr2	167884100	167892257																																	
umc1658	93.83		GRMZM2G083972	Chr2	164195045	164198873	Zm00001d005297	Chr2	168256464	168265313	Zm00001eb095640	chr2	168003513	168012351																																	
pcs3	93.86		GRMZM2G389416	Chr2	164403971	164425022	Zm00001d005299	Chr2	168472380	168476285	Zm00001eb095670	chr2	168222060	168223326																																	
si606059b05	93.90		GRMZM2G042807	Chr2	164725957	164729707	Zm00001d005303	Chr2	168784695	168788171	Zm00001eb095730	chr2	168531736	168535409																																	
myb139	93.90		GRMZM2G087955	Chr2	164459324	164461196	Zm00001d005300	Chr2	168527945	168528802	Zm00001eb095690	chr2	168274815	168276647																																	
myb113	93.91		GRMZM2G090837	Chr2	164905509	164906823	Zm00001d005307	Chr2	168964648	168965706	Zm00001eb095760	chr2	168711390	168712901																																	
LOC100191504	93.91		GRMZM2G017334	Chr2	164961363	164965469	Zm00001d005308	Chr2	169022631	169026843	Zm00001eb095770	chr2	168769701	168773922																																	
ereb224	93.92						Zm00001d005309	Chr2	169095186	169095584	Zm00001eb095780	chr2	168842246	168842644																																	
hct20	93.92		GRMZM2G341253	Chr2	165106389	165108095	Zm00001d005312	Chr2	169181914	169183278	Zm00001eb095790	chr2	168928780	168930621																																	
cdlb3	93.93		AC210204.3_FG002	Chr2	165300681	165302426	Zm00001d005315	Chr2	169380169	169381164	Zm00001eb095820	chr2	169115433	169116854																																	
pco080190	93.94		GRMZM2G703231	Chr2	165355762	165358176	Zm00001d005317	Chr2	169450468	169452918	Zm00001eb095840	chr2	169185814	169188245																																	
LOC100381642	93.94		GRMZM2G142502	Chr2	165514604	165520224	Zm00001d005323	Chr2	169611582	169617202	Zm00001eb095880	chr2	169346855	169352766																																	
LOC103647253	93.94		GRMZM2G443057	Chr2	165380923	165382647					Zm00001eb095860	chr2	169208983	169209354																																	
LOC100280107	93.94		GRMZM2G142544	Chr2	165522060	165526699	Zm00001d005324	Chr2	169619009	169623924	Zm00001eb095890	chr2	169354285	169359450																																	
GRMZM2G442555	93.94		GRMZM2G442555	Chr2	165492844	165493884	Zm00001d005322	Chr2	169589993	169590781	Zm00001eb095870	chr2	169325218	169326345																																	
cl39673_1a	93.95		GRMZM2G027166	Chr2	165620649	165623133	Zm00001d005329	Chr2	169718350	169719510	Zm00001eb095930	chr2	169453179	169455530																																	
GRMZM2G085939	93.95		GRMZM2G085939	Chr2	165608808	165613804	Zm00001d005328	Chr2	169705296	169710634	Zm00001eb095920	chr2	169440636	169446060																																	
glp28	93.96		GRMZM2G386138	Chr2	165702428	165703054	Zm00001d005333	Chr2	169798951	169799577	Zm00001eb095950	chr2	169534236	169534976																																	
GRMZM2G047727	93.97		GRMZM2G047727	Chr2	165736653	165740672	Zm00001d005335	Chr2	169840387	169840530	Zm00001eb095960	chr2	169574372	169578004																																	
nrh3	93.98		GRMZM2G104999	Chr2	166013279	166017225	Zm00001d005343	Chr2	170142297	170146226	Zm00001eb096030	chr2	169856262	169860181																																	
hp2	93.99		GRMZM2G014154	Chr2	166064149	166067375	Zm00001d005344	Chr2	170204369	170207404	Zm00001eb096040	chr2	169909220	169912450																																	
dar1	94.00		GRMZM2G084881	Chr2	166248729	166253814	Zm00001d005347	Chr2	170386767	170391584	Zm00001eb096070	chr2	170091689	170096671																																	
GRMZM2G085153	94.00		GRMZM2G085153	Chr2	166242638	166246630	Zm00001d005346	Chr2	170380531	170384466	Zm00001eb096060	chr2	170085248	170089526																																	
pco090881	94.01		GRMZM2G476810	Chr2	166710355	166713793	Zm00001d005358	Chr2	170877680	170902373	Zm00001eb096130	chr2	170557593	170607427																																	
ctr3	94.01		GRMZM2G036902	Chr2	166302166	166315604	Zm00001d005348	Chr2	170425943	170436807	Zm00001eb096080	chr2	170130733	170150672																																	
LOC103647268	94.01		GRMZM2G466560	Chr2	166470235	166475798	Zm00001d005350	Chr2	170606178	170612205	Zm00001eb096100	chr2	170311263	170317123																																	
adt7	94.01		GRMZM2G466543	Chr2	166506882	166509171	Zm00001d005351	Chr2	170643478	170644746	Zm00001eb096110	chr2	170348204	170350270																																	
ccp44	94.02		GRMZM2G087728	Chr2	167246339	167247849					Zm00001eb096370	chr2	171085347	171087037																																	
ring133	94.02		GRMZM6G187096	Chr2	167962007	167970136	Zm00001d005393	Chr2	172153302	172161498	Zm00001eb096500	chr2	171859127	171867252																																	
ccp14	94.02		GRMZM2G045706	Chr2	167840075	167841704	Zm00001d005391	Chr2	172032915	172034444	Zm00001eb096480	chr2	171738430	171740162																																	
pat9	94.02		GRMZM2G321767	Chr2	167121307	167132106	Zm00001d005373	Chr2	171265620	171276393	Zm00001eb096340	chr2	170976179	170981584																																	
Zm00001eb096400	94.02		GRMZM2G044472	Chr2	167644822	167647438	Zm00001d005383	Chr2	171799598	171801287	Zm00001eb096400	chr2	171298747	171506758																																	
LOC111590888	94.02		GRMZM2G018855	Chr2	167187483	167187817	Zm00001d005374	Chr2	171332454	171332684	Zm00001eb096350	chr2	171037632	171037862																																	
GRMZM2G041369	94.02		GRMZM2G041369	Chr2	167438289	167440226	Zm00001d005377	Chr2	171501011	171501967	Zm00001eb096390	chr2	171206289	171207832																																	
GRMZM2G352855	94.02		GRMZM2G352855	Chr2	167872425	167874820	Zm00001d005392	Chr2	172065137	172067442	Zm00001eb096490	chr2	171770582	171773048																																	
Zm00001eb096360	94.02		GRMZM2G087728	Chr2	167246339	167247849	Zm00001d005375	Chr2	171336206	171337145	Zm00001eb096360	chr2	171041126	171042349																																	
umc2253	94.03		GRMZM5G872070	Chr2	167997798	167999287	Zm00001d005394	Chr2	172200289	172201842	Zm00001eb096510	chr2	171905689	171907324																																	
rcc7	94.04		GRMZM2G064873	Chr2	168037712	168048244	Zm00001d005395	Chr2	172237665	172248235	Zm00001eb096520	chr2	171942904	171953693																																	
pco123957	94.05		GRMZM2G064898	Chr2	168053201	168055998	Zm00001d005396	Chr2	172253192	172255990	Zm00001eb096530	chr2	171958622	171961398																																	
GRMZM2G504910	94.07		GRMZM2G504910	Chr2	168639840	168651492	Zm00001d005403	Chr2	172806062	172844621	Zm00001eb096590	chr2	172491438	172529903																																	
pip2i	94.08		GRMZM2G018649	Chr2	168927966	168929389	Zm00001d005410	Chr2	173113628	173114995	Zm00001eb096620	chr2	172798787	172800196																																	
pip2b	94.10		GRMZM2G092125	Chr2	169186912	169190423	Zm00001d005421	Chr2	173378742	173382478	Zm00001eb096680	chr2	173064231	173067773																																	
LOC100284471	94.11		GRMZM2G322661	Chr2	169334742	169343228	Zm00001d005423	Chr2	173516205	173516885																																					
cl803_1	94.12		GRMZM2G322661	Chr2	169334742	169343228	Zm00001d005424	Chr2	173518441	173524779	Zm00001eb096690	chr2	173203402	173210013																																	
kcs17	94.14		GRMZM2G340383	Chr2	169538353	169539790	Zm00001d005430	Chr2	173721407	173735527	Zm00001eb096730	chr2	173406653	173410357																																	
miR398a	94.16		zma-MIR398a	Chr2	170163081	170163220	zma-MIR398a	Chr2	174319898	174320037																																					
miR398c	94.16																																														
yuc9	94.20		GRMZM2G333478	Chr2	169999334	170000839	Zm00001d005439	Chr2	174188973	174190169	Zm00001eb096820	chr2	173873915	173875888																																	
IDP7761	94.21		GRMZM2G050885	Chr2	170126774	170130766	Zm00001d005442	Chr2	174337143	174340895	Zm00001eb096850	chr2	174022332	174026211																																	
sdg137	94.22		GRMZM2G025924	Chr2	170175284	170177778	Zm00001d005445	Chr2	174370956	174373091	Zm00001eb096860	chr2	174046621	174058632																																	
pet9	94.24		GRMZM2G016066	Chr2	170192624	170193707	Zm00001d005446	Chr2	174389496	174390471	Zm00001eb096870	chr2	174074813	174075876																																	
pti4	94.30		GRMZM2G001668	Chr2	170363991	170373719	Zm00001d005450	Chr2	174563818	174573581	Zm00001eb096890	chr2	174249235	174258963																																	
Zm00001eb096900	94.30		GRMZM2G028353	Chr2	170393027	170398878	Zm00001d005451	Chr2	174589103	174595166	Zm00001eb096900	chr2	174274771	174280618																																	
agluc2	94.30		GRMZM2G535833	Chr2	170466783	170471932	Zm00001d005453	Chr2	174636123	174667515	Zm00001eb096920	chr2	174321495	174353004																																	
umc2194	94.31		GRMZM2G173809	Chr2	170630783	170633324	Zm00001d005454	Chr2	174826099	174827859	Zm00001eb096930	chr2	174511178	174513624																																	
