Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence	source_file	map_id	linkage_group	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML103-REFERENCE-NAM-1.0_gene_model	Zm-CML103-REFERENCE-NAM-1.0_chr	Zm-CML103-REFERENCE-NAM-1.0_start	Zm-CML103-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-CML322-REFERENCE-NAM-1.0_gene_model	Zm-CML322-REFERENCE-NAM-1.0_chr	Zm-CML322-REFERENCE-NAM-1.0_start	Zm-CML322-REFERENCE-NAM-1.0_end	Zm-CML52-REFERENCE-NAM-1.0_gene_model	Zm-CML52-REFERENCE-NAM-1.0_chr	Zm-CML52-REFERENCE-NAM-1.0_start	Zm-CML52-REFERENCE-NAM-1.0_end	Zm-Il14H-REFERENCE-NAM-1.0_gene_model	Zm-Il14H-REFERENCE-NAM-1.0_chr	Zm-Il14H-REFERENCE-NAM-1.0_start	Zm-Il14H-REFERENCE-NAM-1.0_end	Zm-M162W-REFERENCE-NAM-1.0_gene_model	Zm-M162W-REFERENCE-NAM-1.0_chr	Zm-M162W-REFERENCE-NAM-1.0_start	Zm-M162W-REFERENCE-NAM-1.0_end	Zm-M37W-REFERENCE-NAM-1.0_gene_model	Zm-M37W-REFERENCE-NAM-1.0_chr	Zm-M37W-REFERENCE-NAM-1.0_start	Zm-M37W-REFERENCE-NAM-1.0_end	Zm-Mo18W-REFERENCE-NAM-1.0_gene_model	Zm-Mo18W-REFERENCE-NAM-1.0_chr	Zm-Mo18W-REFERENCE-NAM-1.0_start	Zm-Mo18W-REFERENCE-NAM-1.0_end	Zm-Ms71-REFERENCE-NAM-1.0_gene_model	Zm-Ms71-REFERENCE-NAM-1.0_chr	Zm-Ms71-REFERENCE-NAM-1.0_start	Zm-Ms71-REFERENCE-NAM-1.0_end	Zm-NC350-REFERENCE-NAM-1.0_gene_model	Zm-NC350-REFERENCE-NAM-1.0_chr	Zm-NC350-REFERENCE-NAM-1.0_start	Zm-NC350-REFERENCE-NAM-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-P39-REFERENCE-NAM-1.0_gene_model	Zm-P39-REFERENCE-NAM-1.0_chr	Zm-P39-REFERENCE-NAM-1.0_start	Zm-P39-REFERENCE-NAM-1.0_end	Zm-HP301-REFERENCE-NAM-1.0_gene_model	Zm-HP301-REFERENCE-NAM-1.0_chr	Zm-HP301-REFERENCE-NAM-1.0_start	Zm-HP301-REFERENCE-NAM-1.0_end	Zm-Ki11-REFERENCE-NAM-1.0_gene_model	Zm-Ki11-REFERENCE-NAM-1.0_chr	Zm-Ki11-REFERENCE-NAM-1.0_start	Zm-Ki11-REFERENCE-NAM-1.0_end	Zm-NC358-REFERENCE-NAM-1.0_gene_model	Zm-NC358-REFERENCE-NAM-1.0_chr	Zm-NC358-REFERENCE-NAM-1.0_start	Zm-NC358-REFERENCE-NAM-1.0_end
glu11	74.24		GRMZM2G055699	Chr6	137839420	137843385					Zm00001d037918	Chr6	141972442	141976417	Zm00001eb285520	chr6	148684439	148688508																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
LOC103630213	74.24		GRMZM5G826767	Chr6	137703441	137704496					Zm00001d037915	Chr6	141874632	141875420	Zm00001eb285480	chr6	148586428	148587768																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
mn6	74.25		GRMZM2G035526	Chr6	138049053	138052221					Zm00001d037926	Chr6	142176497	142179576	Zm00001eb285570	chr6	148888664	148891792																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
srp31	74.25		GRMZM2G170365	Chr6	138014011	138018427					Zm00001d037925	Chr6	142153338	142157700	Zm00001eb285560	chr6	148865415	148870005																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
Zm00001d037921	74.25		GRMZM2G055606	Chr6	137869248	137882617					Zm00001d037921	Chr6	142003418	142016000	Zm00001eb285540	chr6	148715499	148727724																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
IDP764	74.26		GRMZM2G078985	Chr6	138246886	138249271					Zm00001d037929	Chr6	142399394	142401680	Zm00001eb285610	chr6	149111669	149113989																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
mir164g	74.26		zma-MIR164g	Chr6	138496099	138496269					zma-MIR164g	Chr6	142646355	142646525																						maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
lea36	74.27		GRMZM2G450501	Chr6	138550333	138551025					Zm00001d037936	Chr6	142700250	142700531	Zm00001eb285680	chr6	149412498	149413322																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
umc1379	74.28		GRMZM2G117439	Chr6	138623697	138624760					Zm00001d037937	Chr6	142777670	142778191	Zm00001eb285690	chr6	149489655	149490698																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
ereb69	74.30		GRMZM2G085964	Chr6	138751831	138753113					Zm00001d037941	Chr6	142909977	142911255	Zm00001eb285760	chr6	149622474	149623755																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
ring398	74.32		GRMZM2G340444	Chr6	138774420	138776148					Zm00001d037943	Chr6	142933942	142934535	Zm00001eb285770	chr6	149645965	149647286																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
znf7	74.50		GRMZM2G302912	Chr6	138844999	138846317					Zm00001d037945	Chr6	143003756	143004352	Zm00001eb285790	chr6	149715847	149717248																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
pld13	74.60		GRMZM2G066485	Chr6	138879310	138901971					Zm00001d037946	Chr6	143056934	143084269	Zm00001eb285800	chr6	149769308	149797630																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
prh22	74.70		GRMZM2G069713	Chr6	139060066	139063172					Zm00001d037949	Chr6	143243175	143246248	Zm00001eb285830	chr6	149955406	149959124																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
tor1	74.80		GRMZM2G349554	Chr6	139140734	139151624					Zm00001d037950	Chr6	143301519	143339329	Zm00001eb285840	chr6	150013949	150065518																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
me7	74.90										Zm00001d037961	Chr6	143608955	143614548	Zm00001eb285890	chr6	150321630	150375807																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
me2	75.00		GRMZM2G122479	Chr6	139464390	139470075					Zm00001d037962	Chr6	143657539	143663237	Zm00001eb285890	chr6	150321630	150375807																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
fb1	75.10		GRMZM5G840013	Chr6	139584078	139588874					Zm00001d037966	Chr6	143777350	143782102	Zm00001eb285900	chr6	150489852	150494689																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
Zm00001d037967	75.11		GRMZM2G123503	Chr6	139628016	139633560					Zm00001d037967	Chr6	143821245	143826772	Zm00001eb285910	chr6	150533795	150539421																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
IDP8101	75.12		GRMZM2G136016	Chr6	139675727	139680921					Zm00001d000199	B73V4_ctg178	309330	314476	Zm00001eb285930	chr6	150583653	150588999																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
TIDP3214	75.15		GRMZM2G435627	Chr6	139769881	139770970					Zm00001d000197	B73V4_ctg178	216729	217247	Zm00001eb285950	chr6	150680721	150681810																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
mate37	75.16		GRMZM2G132995	Chr6	139780158	139782498					Zm00001d000196	B73V4_ctg178	204778	207105	Zm00001eb285960	chr6	150690833	150693459																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
mate38	75.17		GRMZM2G133006	Chr6	139782759	139785372					Zm00001d000195	B73V4_ctg178	202000	204559	Zm00001eb285970	chr6	150693338	150696165																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
fha15	75.20		GRMZM2G113156	Chr6	140068111	140076698					Zm00001d037971	Chr6	143885595	143894219	Zm00001eb286040	chr6	150945733	150955729																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
LOC103630247	75.21		GRMZM2G366411	Chr6	140098255	140101098					Zm00001d037973	Chr6	143915647	143918223	Zm00001eb286050	chr6	150975552	150978516																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
Zm00001d037972	75.21		GRMZM2G068496	Chr6	140094027	140095937					Zm00001d037972	Chr6	143911485	143913119																						maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
LOC100284524	75.22		GRMZM2G068436	Chr6	140106934	140115460					Zm00001d037974	Chr6	143924167	143932622	Zm00001eb286060	chr6	150984158	150992862																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
cl44852_1a	75.24		GRMZM2G068323	Chr6	140114500	140120463					Zm00001d037975	Chr6	143931547	143937625	Zm00001eb286070	chr6	150992485	150997952																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
LOC100280235	75.25		GRMZM2G068275	Chr6	140126711	140128557					Zm00001d037976	Chr6	143943587	143951372	Zm00001eb286080	chr6	151003574	151011644																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
Zm00001d037982	75.28		GRMZM2G416667	Chr6	140341420	140383003					Zm00001d037982	Chr6	144216057	144258410	Zm00001eb286120	chr6	151277180	151318662																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
chlg1	75.30		GRMZM2G162672	Chr6	140479362	140500562					Zm00001d037984	Chr6	144381242	144390852	Zm00001eb286140	chr6	151434967	151444808																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
esp5	75.32		GRMZM2G162659	Chr6	140501700	140502699					Zm00001d037985	Chr6	144391967	144392983	Zm00001eb286150	chr6	151445811	151446813																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
nactf174	75.34		GRMZM2G133215	Chr6	140520480	140529973					Zm00001d037987	Chr6	144420313	144421016	Zm00001eb286160	chr6	151472489	151474860																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
esp1	75.35		AC233879.1_FG002	Chr6	140536934	140537348					Zm00001d037988	Chr6	144427562	144428509	Zm00001eb286170	chr6	151481816	151482230																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
NP_001149216	75.36		AC233895.1_FG001	Chr6	140596596	140599178					Zm00001d037992	Chr6	144487080	144490321	Zm00001eb286210	chr6	151540877	151544456																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
rbp1	75.37		AC213884.3_FG001	Chr6	140654815	140658705					Zm00001d037993	Chr6	144580998	144584809	Zm00001eb286220	chr6	151634816	151638843																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
myb119	75.40		AC213884.3_FG002	Chr6	140735955	140737064					Zm00001d037994	Chr6	144651004	144652113	Zm00001eb286230	chr6	151704676	151706551																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
myb93	75.42		GRMZM2G093660	Chr6	140832154	140833178					Zm00001d037998	Chr6	144731260	144732225	Zm00001eb286260	chr6	151785088	151786454																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
myb71	75.45		GRMZM2G093647	Chr6	140863600	140864545					Zm00001d037999	Chr6	144762649	144763524	Zm00001eb286270	chr6	151816536	151817444																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
ereb164	75.46		GRMZM2G093595	Chr6	140882370	140883690					Zm00001d038001	Chr6	144781755	144782501	Zm00001eb286280	chr6	151835236	151836634																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
umc1388	75.48		GRMZM2G093325	Chr6	140896934	140916033					Zm00001d038002	Chr6	144795979	144802557	Zm00001eb286290	chr6	151849929	151856504																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
erdh3	75.50		GRMZM2G093325	Chr6	140896934	140916033					Zm00001d038003	Chr6	144813893	144814871	Zm00001eb286310	chr6	151867960	151868757																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
caspl34	75.52		GRMZM2G304108	Chr6	140967094	140970252					Zm00001d038004	Chr6	144866036	144869120	Zm00001eb286320	chr6	151919923	151923007																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
IDP6799	75.54		GRMZM6G157558	Chr6	141037374	141038317					Zm00001d038006	Chr6	144945936	144965898	Zm00001eb286340	chr6	151996513	152016721																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
pza02478	75.56		GRMZM2G141760	Chr6	141098824	141107819					Zm00001d038007	Chr6	145000655	145009587	Zm00001eb286350	chr6	152051260	152060418																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
pco139210	75.60		GRMZM2G173563	Chr6	141169508	141176496					Zm00001d038012	Chr6	145094748	145101745	Zm00001eb286400	chr6	152145572	152152311																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
lbd31	75.80		GRMZM2G044150	Chr6	141232270	141233226					Zm00001d038013	Chr6	145148378	145149283	Zm00001eb286410	chr6	152198751	152199994																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
mads58	75.82		GRMZM2G073357	Chr6	141270744	141271664					Zm00001d038015	Chr6	145193067	145193978	Zm00001eb286420	chr6	152243744	152244952																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
GRMZM2G383125	75.82		GRMZM2G383125	Chr6	141464463	141466213					Zm00001d038019	Chr6	145386455	145388049	Zm00001eb286450	chr6	152437247	152440496																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
Zm00001d038016	75.82		GRMZM2G030116	Chr6	141335789	141337061					Zm00001d038016	Chr6	145258369	145259274	Zm00001eb286430	chr6	152308436	152310224																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
csu60a	75.83		GRMZM2G084719	Chr6	141493173	141497370					Zm00001d038022	Chr6	145415188	145419374	Zm00001eb286480	chr6	152465846	152470265																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
impb3	75.83		GRMZM2G084767	Chr6	141471970	141476877					Zm00001d038021	Chr6	145393970	145398983	Zm00001eb286470	chr6	152444732	152449747																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
wrky83	75.84		GRMZM2G012724	Chr6	141604322	141606522					Zm00001d038023	Chr6	145529821	145531626	Zm00001eb286490	chr6	152580226	152582428																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
cl67235_-1a	76.00		GRMZM2G013677	Chr6	141659592	141663820					Zm00001d038027	Chr6	145584488	145588965	Zm00001eb286530	chr6	152636176	152639859																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
mmp62	76.03		GRMZM5G822317	Chr6	141704202	141706072					Zm00001d038030	Chr6	145631230	145632801	Zm00001eb286550	chr6	152681679	152683853																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
LOC111064652	76.03		GRMZM2G357834	Chr6	141701127	141702544					Zm00001d038029	Chr6	145629023	145629361	Zm00001eb286540	chr6	152679501	152680406																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
mir164b	76.20		zma-MIR164b	Chr6	141801314	141801441					zma-MIR164b	Chr6	145727415	145727542																						maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
IDP648	76.23		GRMZM2G383564	Chr6	141861398	141865083									Zm00001eb286620	chr6	152833719	152839975																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
IDP7703	76.24		GRMZM2G023105	Chr6	141987795	142056340					Zm00001d038039	Chr6	145912636	145942513	Zm00001eb286670	chr6	152987098	152993399																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
IDP635	76.26		GRMZM2G088669	Chr6	142098994	142101119					Zm00001d038047	Chr6	146025759	146027781	Zm00001eb286710	chr6	153076567	153078740																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
cps2	76.28		AC215201.3_FG005	Chr6	142273603	142277674					Zm00001d000399	B73V4_ctg4	28493	32925	Zm00001eb286730	chr6	153147110	153151531																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
nbcs9	76.29		GRMZM2G119970	Chr6	142393787	142396033					Zm00001d000434	B73V4_ctg3	46642	48363	Zm00001eb286740	chr6	153338322	153341282																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
cipk22	76.30		GRMZM2G041463	Chr6	142446220	142449306					Zm00001d038048	Chr6	146337395	146338774	Zm00001eb286750	chr6	153387643	153390626																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
lic2	76.40		GRMZM2G137535	Chr6	142501768	142506498					Zm00001d038049	Chr6	146401513	146405955	Zm00001eb286760	chr6	153451995	153456515																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
pcrf2	76.46		GRMZM2G137498	Chr6	142535120	142538542					Zm00001d038051	Chr6	146434683	146437999	Zm00001eb286770	chr6	153485071	153488694																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
lic1	76.50		GRMZM2G041961	Chr6	142593372	142596579					Zm00001d038052	Chr6	146472452	146475558	Zm00001eb286780	chr6	153522970	153526073																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
hagtf29	76.60		GRMZM2G062657	Chr6	142637425	142646491					Zm00001d038054	Chr6	146525775	146534899	Zm00001eb286800	chr6	153576316	153585384																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
gsl1	76.80		GRMZM2G062527	Chr6	142667076	142668318					Zm00001d038056	Chr6	146555470	146556601	Zm00001eb286810	chr6	153606139	153607738																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
acpt7	76.82		GRMZM2G062481	Chr6	142675237	142678942					Zm00001d038057	Chr6	146563551	146567353	Zm00001eb286820	chr6	153614084	153617824																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
hyd2	77.00										Zm00001d038058	Chr6	146568999	146572316	Zm00001eb286830	chr6	153619712	153622498																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
tan1	77.02		GRMZM2G039113	Chr6	142758475	142760706					Zm00001d038060	Chr6	146619927	146621546	Zm00001eb286860	chr6	153670259	153672315																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
umc2065	77.03		GRMZM2G340807	Chr6	142752579	142753820					Zm00001d038061	Chr6	146627115	146627729	Zm00001eb286870	chr6	153677381	153678492																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
cyp28	77.04		GRMZM2G132478	Chr6	142832872	142835221					Zm00001d038064	Chr6	146725709	146727657	Zm00001eb286910	chr6	153776425	153778447																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
arf5	77.04		GRMZM2G176495	Chr6	142787739	142791709					Zm00001d038063	Chr6	146680443	146684009	Zm00001eb286900	chr6	153730657	153734614																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
anx4	77.05		GRMZM2G132461	Chr6	142837866	142839734					Zm00001d038065	Chr6	146729701	146732419	Zm00001eb286920	chr6	153781225	153783216																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
anx3	77.06		GRMZM2G132442	Chr6	142847163	142849242					Zm00001d038066	Chr6	146740027	146741896	Zm00001eb286930	chr6	153790284	153792639																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
Zm00001eb286960	77.07		GRMZM2G023655	Chr6	142951358	142952830					Zm00001d038069	Chr6	146851503	146852691	Zm00001eb286960	chr6	153901558	153903276																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
npi616a	77.08		GRMZM2G023836	Chr6	143014447	143017186					Zm00001d038072	Chr6	146915089	146916918	Zm00001eb286990	chr6	153963915	153967592																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
zar8	77.09		GRMZM2G354338	Chr6	143057719	143058385					Zm00001d038075	Chr6	146934845	146935081	Zm00001eb287000	chr6	153979278	153985618																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
GRMZM2G085042	77.11		GRMZM2G085042	Chr6	143085022	143090026					Zm00001d038076	Chr6	146985214	146990181	Zm00001eb287010	chr6	154035835	154040848																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
LOC103630310	77.15		GRMZM2G168574	Chr6	143130958	143133366					Zm00001d038078	Chr6	147030922	147034036	Zm00001eb287030	chr6	154082465	154084205																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
srs6	77.20		GRMZM2G450459	Chr6	143217455	143220101					Zm00001d038081	Chr6	147117119	147118645	Zm00001eb287060	chr6	154167747	154169173																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
hpat1	77.24		GRMZM2G055020	Chr6	143225934	143231317					Zm00001d038082	Chr6	147124493	147129831	Zm00001eb287070	chr6	154175056	154180387																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
IDP7332	77.28		GRMZM2G005973	Chr6	143320298	143325895					Zm00001d038084	Chr6	147215793	147221548	Zm00001eb287080	chr6	154266298	154272053																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
pco064714	77.30		GRMZM2G305851	Chr6	143329440	143338797					Zm00001d038085	Chr6	147225144	147234198	Zm00001eb287090	chr6	154275439	154284783																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
dwil1	77.40		GRMZM2G013657	Chr6	143487859	143494583					Zm00001d038087	Chr6	147379164	147385725	Zm00001eb287100	chr6	154429974	154436942																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
npi252	77.50		GRMZM2G054056	Chr6	143540400	143552236					Zm00001d038091	Chr6	147431407	147442852	Zm00001eb287140	chr6	154493234	154494036																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
ring401	77.52		GRMZM2G135909	Chr6	143595833	143607605					Zm00001d038092	Chr6	147483399	147495234	Zm00001eb287150	chr6	154534141	154546348																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
LOC100278777	77.54		GRMZM2G445766	Chr6	143704009	143745729					Zm00001d038093	Chr6	147577082	147627637	Zm00001eb287160	chr6	154626731	154678996																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
AY110260	77.68		GRMZM2G319109	Chr6	143854557	143881835					Zm00001d038097	Chr6	147746791	147774056	Zm00001eb287190	chr6	154797669	154831989																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
K6L3	77.75																																			maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
cl34612_1	78.08		GRMZM2G109352	Chr6	144059925	144064390					Zm00001d038101	Chr6	147948838	147953091	Zm00001eb287230	chr6	154999824	155004465																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
IDP4314	78.10		GRMZM2G308707	Chr6	144112086	144146764					Zm00001d038104	Chr6	148044310	148054129	Zm00001eb287240	chr6	155095370	155105159																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
ring402	78.14		GRMZM2G424582	Chr6	144173434	144191971					Zm00001d038106	Chr6	148079948	148099610	Zm00001eb287260	chr6	155130942	155150596																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
cl27352_1	78.18		GRMZM2G427337	Chr6	144308806	144318825					Zm00001d038107	Chr6	148214266	148220654	Zm00001eb287280	chr6	155265265	155271711																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
pco089972	78.20										Zm00001d038108	Chr6	148221465	148224285	Zm00001eb287290	chr6	155272452	155276135																		maizegdb_genetic1_1203642_map_text_BROWSER.txt	1203642	6																																																																																
